dropped_target,remaining_targets,selected_k,selected_cumulative_variance_fraction,panel,analysis_role,positive_pairs,total_pairs,full_continuous_spearman,full_roc_auc,full_average_precision,normalized_low_mode_continuous_spearman,normalized_low_mode_minus_full_continuous_spearman,normalized_low_mode_roc_auc,normalized_low_mode_minus_full_roc_auc,normalized_low_mode_average_precision,normalized_low_mode_minus_full_average_precision,spectral_kernel_continuous_spearman,spectral_kernel_minus_full_continuous_spearman,spectral_kernel_roc_auc,spectral_kernel_minus_full_roc_auc,spectral_kernel_average_precision,spectral_kernel_minus_full_average_precision
ABL1,19,5,0.513569974799837,PKIS1,post_hoc_discovery,18,171,0.0918232654138767,0.600217864923747,0.257912301679337,0.13264933880529,0.0408260733914129,0.60239651416122,0.0021786492374728,0.256779314022284,-0.00113298765705311,0.114505483956128,0.0226822185422517,0.593681917211329,-0.00653594771241828,0.263289020441241,0.00537671876190354
ABL1,19,5,0.513569974799837,DAVIS,locked_no_retuning_evaluation,18,171,0.235022919816641,0.806826434277415,0.381932283631707,0.292927256581947,0.0579043367653059,0.818809005083515,0.0119825708061002,0.423415469370396,0.0414831857386885,0.265339477284182,0.0303165574675403,0.804647785039942,-0.00217864923747269,0.401534889635213,0.019602606003506
ABL1,19,5,0.513569974799837,PKIS2,locked_no_retuning_evaluation,18,171,0.186504907960736,0.722948438634713,0.285002694838907,0.237751697986416,0.0512467900256798,0.741830065359477,0.018881626724764,0.289788477179005,0.00478578234009736,0.212057503539972,0.0255525955792353,0.733478576615831,0.0105301379811183,0.293893120811059,0.00889042597215184
ABL1,19,5,0.513569974799837,KiRHub,locked_no_retuning_evaluation,18,171,0.260906712746298,0.729484386347131,0.273463884530245,0.325228598171215,0.0643218854249166,0.764342774146696,0.0348583877995643,0.289427809451057,0.0159639249208121,0.299359205126359,0.038452492380061,0.755628177196805,0.0261437908496732,0.295596111620682,0.0221322270904367
AKT1,19,5,0.520643991611099,PKIS1,post_hoc_discovery,18,171,0.144922840617275,0.615468409586057,0.241075701277327,0.193320853433173,0.0483980128158975,0.637254901960784,0.0217864923747276,0.238918840581518,-0.00215686069580873,0.166196270429837,0.0212734298125615,0.631808278867102,0.0163398692810458,0.273474125797818,0.0323984245204915
AKT1,19,5,0.520643991611099,DAVIS,locked_no_retuning_evaluation,18,171,0.251647586819305,0.721859114015977,0.258261194974575,0.314632682938537,0.062985096119231,0.776325344952796,0.0544662309368191,0.326438532533853,0.0681773375592789,0.273410612715098,0.0217630258957928,0.746187363834423,0.0243282498184458,0.264865673019485,0.00660447804491049
AKT1,19,5,0.520643991611099,PKIS2,locked_no_retuning_evaluation,18,171,0.265733074135407,0.701888162672476,0.255690046399485,0.318271053831569,0.0525379796961625,0.74001452432825,0.0381263616557733,0.26588344051606,0.0101933941165759,0.280483356133151,0.0147502819977441,0.726579520697168,0.0246913580246914,0.273601186566532,0.0179111401670478
AKT1,19,5,0.520643991611099,KiRHub,locked_no_retuning_evaluation,18,171,0.287668898648811,0.730210602759622,0.249808970593088,0.360587515299878,0.0729186166510668,0.795933188090051,0.0657225853304285,0.349725562719055,0.0999165921259673,0.32125662994696,0.0335877312981496,0.760348583877996,0.0301379811183733,0.270344296634837,0.0205353260417489
AKT2,19,5,0.53450833380164,PKIS1,post_hoc_discovery,18,171,0.156754745962032,0.644153957879448,0.305153034590272,0.200767993856049,0.0440132478940169,0.668845315904139,0.0246913580246914,0.31190298343328,0.00674994884300817,0.17593299253606,0.0191782465740274,0.658315177923021,0.014161220043573,0.325134676070494,0.0199816414802224
AKT2,19,5,0.53450833380164,DAVIS,locked_no_retuning_evaluation,18,171,0.273497012023904,0.749092229484386,0.313450084646708,0.319610243118055,0.0461132310941512,0.777777777777778,0.0286855482933914,0.351337240959107,0.0378871563123994,0.291415268677851,0.0179182566539468,0.747639796659404,-0.00145243282498186,0.30306906395202,-0.0103810206946881
AKT2,19,5,0.53450833380164,PKIS2,locked_no_retuning_evaluation,18,171,0.285655314757482,0.718591140159768,0.303778268305827,0.324967000263998,0.0393116855065159,0.749092229484386,0.0305010893246187,0.293694616857501,-0.0100836514483262,0.295893632850937,0.0102383180934553,0.730573710965868,0.0119825708061002,0.310584975287494,0.00680670698166658
AKT2,19,5,0.53450833380164,KiRHub,locked_no_retuning_evaluation,18,171,0.314702282381741,0.742556281771968,0.297886536460386,0.371113831089351,0.0564115487076104,0.800290486564996,0.0577342047930283,0.366054011957455,0.0681674754970686,0.341798065615475,0.0270957832337341,0.769063180827887,0.0265068990559186,0.314094616921706,0.0162080804613199
