fold,ligands,scaffold_groups,selected_k,selected_cumulative_variance_fraction,full_geometry_spearman_to_all_rows,normalized_low_mode_correlation_spearman_to_all_rows,spectral_kernel_spearman_to_all_rows,mean_squared_canonical_correlation,minimum_canonical_correlation,maximum_principal_angle_degrees
0,50782,20323,5,0.513914092126894,0.998640580508864,0.998584594120554,0.99866157540448,0.998390644532785,0.998007902678464,3.61713758864239
1,50256,20043,5,0.515409266173053,0.998957253517739,0.997548845936832,0.998339653671701,0.997017583098482,0.994077069879356,6.23907958942382
2,51501,20017,5,0.518201345814579,0.998607338590805,0.996974985456661,0.997909258311573,0.99592130983573,0.992792640134029,6.88314505871105
3,55261,19802,5,0.520381356237798,0.99815944748433,0.996173680273984,0.997540098063658,0.995722484780158,0.990868125048752,7.74905344834952
4,51779,19800,5,0.516931442799355,0.998355399843413,0.998693067747904,0.998484868366379,0.998100744125823,0.996833274454568,4.56097316665446
