fold,train_ligands,test_ligands,train_groups,test_groups,minimum_training_residual_target_sd,maximum_training_residual_target_sd,rank7_training_energy_share,rank7_test_reconstruction_r2
1,207663,51916,80071,19969,0.37531327866076386,0.88282794306450485,0.61642336199817027,0.61413396022222799
2,207663,51916,80022,20018,0.37474781794552786,0.88125705115253894,0.6154876874170121,0.61758842129687375
3,207663,51916,80022,20018,0.37379120460568688,0.88058539356590304,0.61654532203671097,0.61338396573378562
4,207663,51916,80022,20018,0.37332093944407169,0.88042185988331922,0.61598161077579816,0.61589638581054518
5,207664,51915,80023,20017,0.37450676695236096,0.87802293298698042,0.6155303005636239,0.61790074326666922
