basis,mean_squared_offdiagonal_target_correlation_before_subtraction,mean_squared_offdiagonal_target_correlation_after_subtraction,absolute_reduction_in_mean_squared_offdiagonal_target_correlation,relative_reduction_in_mean_squared_offdiagonal_target_correlation,mean_out_of_fold_target_r2,median_out_of_fold_target_r2,minimum_out_of_fold_target_r2,maximum_out_of_fold_target_r2
physicochemical_7,0.037998045239727406,0.029121484377130843,0.0088765608625965622,0.23360572383644654,0.10683480232126966,0.068093238651621479,0.023455939667515247,0.40514059622250231
morgan_count_plus_size_rp_7_locked_seed_20260910,0.037998045239727406,0.028967620823050867,0.0090304244166765392,0.23765497303095801,0.090348124999616086,0.059754027171206037,0.0051797594924130053,0.38681276197704118
morgan_normalized_bit_rp_7_seed_a,0.037998045239727406,0.037647318811961789,0.00035072642776561719,0.0092301176429709746,0.0070194495217551726,0.0067795240182320082,0.0004728544395538048,0.017881472442324853
morgan_normalized_bit_rp_7_seed_b,0.037998045239727406,0.036529611931805421,0.0014684333079219847,0.038644969725619469,0.011735362261123278,0.0096958862557460779,0.0016564222048365274,0.023764737137774383
stable_hash_nuisance_7,0.037998045239727406,0.037997253798722368,7.9144100503802939e-07,2.0828466307802814e-05,-3.6315937087744167e-05,-3.5308912894604916e-05,-7.2922525570451313e-05,9.5203384226083543e-06
outcome_rank7_svd_transported_oracle,0.037998045239727406,0.038676160761948922,-0.000678115522221516,-0.017846063342030507,0.61579327900188063,0.6224107059684103,0.45287154303855315,0.72581120314024128
