grouping,control,physicochemical_minus_control_point,bootstrap_mean,bootstrap_median,conditional_coarsened_sensitivity_low95,conditional_coarsened_sensitivity_high95
murcko_scaffold,morgan_count_plus_size_rp_7_locked_seed_20260910,-0.0040492491945114673,-0.0039478407607694346,-0.0038468173595236355,-0.011566816260261917,0.0030444724015877486
murcko_scaffold,morgan_normalized_bit_rp_7_seed_a,0.22437560619347557,0.22414392757173418,0.2231599226126123,0.21114569295337274,0.24247672748289331
murcko_scaffold,morgan_normalized_bit_rp_7_seed_b,0.19496075411082708,0.19482863187032567,0.19407445422239678,0.1825829234807316,0.21124722581924446
murcko_scaffold,stable_hash_nuisance_7,0.23358489537013874,0.23333803891979354,0.23221501428059133,0.22007578880676429,0.25283299961415429
murcko_scaffold,outcome_rank7_svd_transported_oracle,0.25145178717847705,0.25128945689934035,0.25142520737356833,0.23344024970257948,0.26837749919755405
murcko_generic_framework,morgan_count_plus_size_rp_7_locked_seed_20260910,-0.0040492491945114673,-0.0038892539808498263,-0.003809100219564765,-0.015850480545062821,0.0073243420562563895
murcko_generic_framework,morgan_normalized_bit_rp_7_seed_a,0.22437560619347557,0.2241633624825643,0.22412132609159552,0.20158439546030396,0.24744891338387923
murcko_generic_framework,morgan_normalized_bit_rp_7_seed_b,0.19496075411082708,0.19478477932622223,0.19469041930556918,0.17398928482454781,0.21620995024279388
murcko_generic_framework,stable_hash_nuisance_7,0.23358489537013874,0.23340595035514061,0.23319325802256374,0.21046523672788878,0.25763613847647437
murcko_generic_framework,outcome_rank7_svd_transported_oracle,0.25145178717847705,0.25113002760498082,0.25237918455503355,0.21386966237312793,0.28227463279231346
generic_murcko_or_acyclic_topology,morgan_count_plus_size_rp_7_locked_seed_20260910,-0.0040492491945114673,-0.0038741813933063766,-0.0039043964769437944,-0.015757480057976683,0.007412518539663124
generic_murcko_or_acyclic_topology,morgan_normalized_bit_rp_7_seed_a,0.22437560619347557,0.22420336866050097,0.22412761736041159,0.20191326413383748,0.24760429418537966
generic_murcko_or_acyclic_topology,morgan_normalized_bit_rp_7_seed_b,0.19496075411082708,0.19478578067005103,0.19472285366952435,0.17411575021629791,0.21590301356111524
generic_murcko_or_acyclic_topology,stable_hash_nuisance_7,0.23358489537013874,0.2334142850133111,0.23314870777458957,0.21060711612898206,0.25796440184831682
generic_murcko_or_acyclic_topology,outcome_rank7_svd_transported_oracle,0.25145178717847705,0.25139942372586921,0.25207998993767489,0.21421194082563094,0.28337417262423109
