basis,panel,partial_spearman_component,partial_spearman_remainder,standardized_beta_component,standardized_beta_remainder,joint_rank_r2,semipartial_rank_r2_component,semipartial_rank_r2_remainder
physicochemical_7,DAVIS,0.19721396135844879,0.14661966832047191,0.20471361755360984,0.15083637710271314,0.085803607219284039,0.036995017146130627,0.020084542913800241
physicochemical_7,PKIS2,0.15480583695966829,0.16279879127290342,0.16057483988431998,0.16908569328427153,0.072966222570000516,0.022761703531444577,0.025238497227607293
physicochemical_7,PKIS1,0.054457622754294173,0.10850943590658771,0.057433191734588759,0.11494729889312366,0.021032123099603117,0.002911894734712428,0.011663994546469603
physicochemical_7,KiRHub,0.22344799331447804,0.16408502312884865,0.23050300181158204,0.16725291468108872,0.10750440799592642,0.046903250160278742,0.024694324846851745
morgan_count_plus_size_rp_7_locked_seed_20260910,DAVIS,0.22332806263563004,0.096637633456386637,0.24832636304162092,0.10523338045517772,0.097919253333690115,0.047353431793582201,0.0085037962502578779
morgan_count_plus_size_rp_7_locked_seed_20260910,PKIS2,0.19795542068245309,0.11143529801839998,0.21994462573182591,0.12212418995402273,0.08917093744953819,0.037147749812714292,0.011452734551461452
morgan_count_plus_size_rp_7_locked_seed_20260910,PKIS1,0.085127809515034472,0.079221161863477205,0.096243475047127658,0.089521801617149996,0.025578635794888505,0.0071129276943155961,0.0061540841467928598
morgan_count_plus_size_rp_7_locked_seed_20260910,KiRHub,0.28221505664123153,0.091762798587841893,0.31198888533405972,0.09773259072827864,0.13626821178764781,0.074745327249217342,0.0073347383401984878
morgan_normalized_bit_rp_7_seed_a,DAVIS,-0.052126646649714524,0.25819771001788638,-0.062619668083162106,0.32062250086701138,0.082543047588469753,0.0024996945092327083,0.065531997838414235
morgan_normalized_bit_rp_7_seed_a,PKIS2,-0.082894486940905718,0.28172481143301897,-0.099335050613379106,0.35064032620917596,0.090872908946489916,0.0062902868185179539,0.078377090385874149
morgan_normalized_bit_rp_7_seed_a,PKIS1,0.087913103892953995,0.089763404472165728,0.10839068267731013,0.11069031157085016,0.038448579814292838,0.0074894394999925895,0.0078106042507736229
morgan_normalized_bit_rp_7_seed_a,KiRHub,0.044450656936585814,0.23860429599348301,0.052694515284712001,0.29098091801436748,0.10591065441522485,0.0017700936397355704,0.053975221475617396
morgan_normalized_bit_rp_7_seed_b,DAVIS,0.22231338778068513,-0.052887967421752412,0.43351913407637865,-0.10069348397365693,0.12211084974572772,0.045644002879313028,0.0024624641599659824
morgan_normalized_bit_rp_7_seed_b,PKIS2,0.21923731139959099,-0.046026367332267989,0.42658720445655285,-0.087471022334237356,0.12469140558208958,0.044195986495170425,0.0018582134016627005
morgan_normalized_bit_rp_7_seed_b,PKIS1,0.10660499738115548,-0.0065594012002044965,0.21308076270057769,-0.013036418379083174,0.040739224036672739,0.011026956676321364,4.1274684551284579e-05
morgan_normalized_bit_rp_7_seed_b,KiRHub,0.22565375126647982,-0.031283777319365921,0.43396967294276961,-0.058640832668396058,0.1474814708892902,0.045738924102252776,0.00083515568139869156
stable_hash_nuisance_7,DAVIS,0.10990872614119751,0.17253846668812631,0.12937552882325332,0.20494123361876879,0.089422170523299704,0.011134215212136644,0.027939203930533396
stable_hash_nuisance_7,PKIS2,0.10678901284253392,0.18075010215563975,0.12541796033731253,0.21460209984322901,0.092930519737105866,0.010463447575163043,0.030635379868227508
stable_hash_nuisance_7,PKIS1,0.0026679656006021336,0.14084633485121978,0.003221472631668304,0.1717786659054901,0.030158676140923268,6.9034189079664188e-06,0.01962880165479497
stable_hash_nuisance_7,KiRHub,0.20919791431189605,0.15749570873092747,0.24287030497268075,0.1810600496270299,0.14265688084771055,0.039237756870933893,0.021807235100083977
