control,panel,grouping,physicochemical_minus_control_point,bootstrap_mean,bootstrap_median,conditional_coarsened_sensitivity_low95,conditional_coarsened_sensitivity_high95
morgan_count_plus_size_rp_7_locked_seed_20260910,DAVIS,murcko_scaffold,-0.042666876615622629,-0.042261156906227067,-0.04143167692354785,-0.050123651187305135,-0.037454587603388781
morgan_count_plus_size_rp_7_locked_seed_20260910,DAVIS,murcko_generic_framework,-0.042666876615622629,-0.042422893184094528,-0.041701986204603914,-0.051462819352044845,-0.036784762954506542
morgan_count_plus_size_rp_7_locked_seed_20260910,DAVIS,generic_murcko_or_acyclic_topology,-0.042666876615622629,-0.042525261145883821,-0.041865571432945253,-0.051351109011621585,-0.036935226373087916
morgan_count_plus_size_rp_7_locked_seed_20260910,PKIS2,murcko_scaffold,-0.060313086380873487,-0.060045319931591554,-0.059126874778569385,-0.069341197671316107,-0.054535903458471612
morgan_count_plus_size_rp_7_locked_seed_20260910,PKIS2,murcko_generic_framework,-0.060313086380873487,-0.0600704557204529,-0.059393684910356126,-0.070137122911992034,-0.053802787947180249
morgan_count_plus_size_rp_7_locked_seed_20260910,PKIS2,generic_murcko_or_acyclic_topology,-0.060313086380873487,-0.060184871953006362,-0.059433925126953446,-0.070275689223057561,-0.053960205924934494
morgan_count_plus_size_rp_7_locked_seed_20260910,PKIS1,murcko_scaffold,-0.042582897033158804,-0.042954979420628363,-0.042304714666246773,-0.049451770788227115,-0.038576327380405631
morgan_count_plus_size_rp_7_locked_seed_20260910,PKIS1,murcko_generic_framework,-0.042582897033158804,-0.042956268507219182,-0.042486670428252118,-0.050269871887397503,-0.037711775074684949
morgan_count_plus_size_rp_7_locked_seed_20260910,PKIS1,generic_murcko_or_acyclic_topology,-0.042582897033158804,-0.043067516260109268,-0.042588145757062823,-0.050365398662450281,-0.037876322569075395
morgan_count_plus_size_rp_7_locked_seed_20260910,KiRHub,murcko_scaffold,-0.071305663810486197,-0.070188842437682336,-0.068879878579520298,-0.083736260371697027,-0.062895283584178618
morgan_count_plus_size_rp_7_locked_seed_20260910,KiRHub,murcko_generic_framework,-0.071305663810486197,-0.070306177310641371,-0.068996225292725727,-0.085686598695692145,-0.061715895322949625
morgan_count_plus_size_rp_7_locked_seed_20260910,KiRHub,generic_murcko_or_acyclic_topology,-0.071305663810486197,-0.070445808762744588,-0.069111697218613738,-0.08578531844445314,-0.061819163965760877
morgan_normalized_bit_rp_7_seed_a,DAVIS,murcko_scaffold,0.12593088305405764,0.12677992992953599,0.12681441824456438,0.12297908820917915,0.13042221609871102
morgan_normalized_bit_rp_7_seed_a,DAVIS,murcko_generic_framework,0.12593088305405764,0.12664798190939835,0.12665695652744435,0.12166323312644621,0.13160834022228357
morgan_normalized_bit_rp_7_seed_a,DAVIS,generic_murcko_or_acyclic_topology,0.12593088305405764,0.12662159062577921,0.12665520695280968,0.12158826385335067,0.13153135893835816
morgan_normalized_bit_rp_7_seed_a,PKIS2,murcko_scaffold,0.10668206292345185,0.1069870228800623,0.10703810136160646,0.10279420190966083,0.11077803584003641
morgan_normalized_bit_rp_7_seed_a,PKIS2,murcko_generic_framework,0.10668206292345185,0.1068973722263775,0.10695062262987315,0.10170272977382375,0.11171418948768082
morgan_normalized_bit_rp_7_seed_a,PKIS2,generic_murcko_or_acyclic_topology,0.10668206292345185,0.10688671486744789,0.10692525379767046,0.10168812082562424,0.11172455571739122
morgan_normalized_bit_rp_7_seed_a,PKIS1,murcko_scaffold,-0.078247975960844499,-0.078355945710699079,-0.078333705117943228,-0.082371767114120351,-0.074428479575903081
