seed,locked_representative,mean_squared_offdiagonal_target_correlation_before_subtraction,mean_squared_offdiagonal_target_correlation_after_subtraction,absolute_reduction_in_mean_squared_offdiagonal_target_correlation,relative_reduction_in_mean_squared_offdiagonal_target_correlation,mean_out_of_fold_target_r2,median_out_of_fold_target_r2,minimum_out_of_fold_target_r2,maximum_out_of_fold_target_r2
20260910,True,0.037998045239727406,0.028967620823050867,0.0090304244166765392,0.23765497303095801,0.090348124999616086,0.059754027171206037,0.0051797594924130053,0.38681276197704118
20260911,False,0.037998045239727406,0.030865684670339708,0.0071323605693876975,0.18770335485391576,0.08394978457364026,0.042978607655275614,0.0088270413677823401,0.38234808175665091
20260912,False,0.037998045239727406,0.029096771333259296,0.0089012739064681101,0.23425610055229165,0.090058661815466401,0.052927748284061271,0.018961582256075027,0.38722458603620513
20260913,False,0.037998045239727406,0.031308606068417573,0.0066894391713098328,0.17604692896980778,0.081046103378940831,0.041647632982842575,0.013606389003462005,0.37979766950806448
20260914,False,0.037998045239727406,0.030660691124566767,0.0073373541151606388,0.19309819936445963,0.083823017289159849,0.048403998020039307,0.012066494230228431,0.38118415963449059
20260915,False,0.037998045239727406,0.029657873093376398,0.0083401721463510076,0.21948950515041912,0.089448042592210092,0.055282946194180782,0.012703314170193214,0.38268883666756903
20260916,False,0.037998045239727406,0.029160297844539468,0.0088377473951879379,0.23258426425441403,0.091371890978120693,0.056145958113773931,0.018171529966316657,0.38219209283754274
20260917,False,0.037998045239727406,0.031265072766523856,0.0067329724732035495,0.17719260111212634,0.082581245498643319,0.043535505857143553,0.0075304979472298195,0.38042028293733843
20260918,False,0.037998045239727406,0.029766219885612184,0.0082318253541152214,0.21663812709788424,0.086283676206221044,0.047155659594111221,0.013076458307607952,0.38739532653984432
20260919,False,0.037998045239727406,0.030801355348236564,0.0071966898914908421,0.18939631883922856,0.082779457276317456,0.043178402545224037,0.0084731988518109702,0.38316730600617088
20260920,False,0.037998045239727406,0.030344589404224381,0.0076534558355030244,0.20141709362199625,0.087090164690958136,0.047799941692631465,0.019978176901148337,0.38440739630797915
20260921,False,0.037998045239727406,0.029814815388806194,0.0081832298509212122,0.21535923227875808,0.091132794411318552,0.051913877459666136,0.022729332720200168,0.3889830460510918
20260922,False,0.037998045239727406,0.030454715630583492,0.0075433296091439138,0.19851888594672426,0.088137383467905769,0.044991479257171674,0.021366071839171719,0.3860981371665686
20260923,False,0.037998045239727406,0.028120117783959543,0.0098779274557678626,0.25995883192013186,0.098466749793481342,0.06220815789720624,0.017385903786762857,0.38939750291813369
20260924,False,0.037998045239727406,0.030060991505747928,0.0079370537339794774,0.20888058014313834,0.086467207225796011,0.042075540170637249,0.019406817200529614,0.37994418391952789
20260925,False,0.037998045239727406,0.030391564547160625,0.0076064806925667805,0.20018084205589909,0.084859121137393495,0.049773913605779485,0.011179309400793924,0.3827046741582657
20260926,False,0.037998045239727406,0.030618928143837387,0.0073791170958900192,0.19419728171108827,0.086877101495803105,0.04461645398901154,0.016391450688443387,0.37663276601650586
20260927,False,0.037998045239727406,0.030044788497152992,0.007953256742574414,0.20930699704150019,0.090346090042763061,0.054465844057155655,0.013638252590474798,0.38365390064262661
20260928,False,0.037998045239727406,0.030052680264710398,0.007945364975017008,0.20909930826415341,0.087025552300754885,0.046415450854064122,0.015606199899402817,0.38000571532191285
20260929,False,0.037998045239727406,0.030668505571774893,0.0073295396679525122,0.19289254543782142,0.083756538805775355,0.038037750292939099,0.013956518167502208,0.37821752354196758
