panel_scope,k,method,metric,observed,random_mean,observed_minus_random_mean,delta_2.5_percentile,delta_97.5_percentile,one_sided_target_panel_p,random_panels
DAVIS,3,raw_vina_deim,full_target_r2,0.19828510094195714,0.07148225742362538,0.12680284351833176,-0.043923430603181046,0.49548175983837905,0.11294352823588207,2000
DAVIS,3,raw_vina_deim,full_mean_row_spearman,0.43583100608664516,0.39935780021482276,0.03647320587182239,-0.11388757608306477,0.25086716791979946,0.39980009995002497,2000
DAVIS,3,raw_vina_deim,full_top5_overlap,0.45600000000000007,0.42671276190476193,0.029287238095238137,-0.07523809523809522,0.16628571428571431,0.375312343828086,2000
DAVIS,3,raw_vina_deim,held_out_target_r2,0.06525241852940826,-1.3250964924464093,1.3903489109758178,-0.050332422408663674,10.324502502226013,0.15792103948025987,2000
DAVIS,3,raw_vina_deim,held_out_mean_row_spearman,0.3280718954248366,0.3171789974323062,0.010892897992530355,-0.12196078431372548,0.17686741363211952,0.5152423788105946,2000
DAVIS,3,raw_vina_deim,held_out_top5_overlap,0.43104761904761907,0.43220161904761906,-0.001154000000000016,-0.09847619047619055,0.09353333333333332,0.5782108945527237,2000
DAVIS,3,residual_vina_deim,full_target_r2,-0.008725434383748332,0.07148225742362538,-0.08020769180737372,-0.2509339659288865,0.2884712245126736,0.8220889555222389,2000
DAVIS,3,residual_vina_deim,full_mean_row_spearman,0.4007848191908342,0.39935780021482276,0.0014270189760114242,-0.14893376297887573,0.2158209810239885,0.5972013993003499,2000
DAVIS,3,residual_vina_deim,full_top5_overlap,0.4154285714285715,0.42671276190476193,-0.011284190476190453,-0.1158095238095238,0.12571428571428572,0.6581709145427287,2000
DAVIS,3,residual_vina_deim,held_out_target_r2,-6.41458904770235,-1.3250964924464093,-5.089492555255941,-6.530173888640422,3.844661035994255,0.8655672163918041,2000
DAVIS,3,residual_vina_deim,held_out_mean_row_spearman,0.35167600373482727,0.3171789974323062,0.03449700630252101,-0.09835667600373482,0.20047152194211018,0.35282358820589704,2000
DAVIS,3,residual_vina_deim,held_out_top5_overlap,0.4367619047619048,0.43220161904761906,0.00456028571428571,-0.09276190476190482,0.09924761904761904,0.49725137431284355,2000
DAVIS,3,sequence_diverse,full_target_r2,-0.0016501782363622208,0.07148225742362538,-0.07313243565998759,-0.2438587097815004,0.29554648066005973,0.8200899550224887,2000
DAVIS,3,sequence_diverse,full_mean_row_spearman,0.23215467239527393,0.39935780021482276,-0.16720312781954885,-0.317563909774436,0.047190834228428236,0.9020489755122438,2000
DAVIS,3,sequence_diverse,full_top5_overlap,0.3165714285714286,0.42671276190476193,-0.11014133333333333,-0.21466666666666667,0.026857142857142857,0.9150424787606197,2000
DAVIS,3,sequence_diverse,held_out_target_r2,-0.08519350734362582,-1.3250964924464093,1.2399029851027836,-0.20077834828169777,10.17405657635298,0.7541229385307346,2000
DAVIS,3,sequence_diverse,held_out_mean_row_spearman,0.20082633053221288,0.3171789974323062,-0.11635266690009338,-0.2492063492063492,0.049621848739495794,0.8840579710144928,2000
DAVIS,3,sequence_diverse,held_out_top5_overlap,0.3586666666666667,0.43220161904761906,-0.07353495238095241,-0.17085714285714293,0.021152380952380943,0.894552723638181,2000
DAVIS,3,conservative_residual_vina_deim,full_target_r2,-0.008725434383748332,0.07148225742362538,-0.08020769180737372,-0.2509339659288865,0.2884712245126736,0.8220889555222389,2000
DAVIS,3,conservative_residual_vina_deim,full_mean_row_spearman,0.4007848191908342,0.39935780021482276,0.0014270189760114242,-0.14893376297887573,0.2158209810239885,0.5972013993003499,2000
