k,support_type,support_id,jaccard_to_primary,selected_targets
10,leave_one_scaffold_fold_out,3,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,leave_one_scaffold_fold_out,4,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,0,0.8181818181818182,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK1;LCK;MAP2K1;CDK2
10,random_ligand_support,1,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,2,0.8181818181818182,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;CDK2;AKT1
10,random_ligand_support,3,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,4,1.0,MAPKAPK2;AKT2;PLK1;EGFR;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,5,1.0,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;MAP2K1;CDK2
10,random_ligand_support,6,0.8181818181818182,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;CDK2;AKT1
10,random_ligand_support,7,0.6666666666666666,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK1;LCK;MAP2K1;CSF1R
10,random_ligand_support,8,0.6666666666666666,MAPKAPK2;AKT2;EGFR;PLK1;KIT;IGF1R;MAPK1;LCK;MAP2K1;CSF1R
10,random_ligand_support,9,0.8181818181818182,MAPKAPK2;AKT2;EGFR;PLK1;KIT;IGF1R;MAPK14;LCK;CDK2;AKT1
10,random_ligand_support,10,0.8181818181818182,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;CDK2;AKT1
10,random_ligand_support,11,0.8181818181818182,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK14;LCK;CDK2;AKT1
10,random_ligand_support,12,0.8181818181818182,MAPKAPK2;AKT2;EGFR;PLK1;IGF1R;KIT;MAPK1;LCK;MAP2K1;CDK2
10,random_ligand_support,13,0.6666666666666666,MAPKAPK2;AKT2;EGFR;IGF1R;PLK1;KIT;MAPK1;LCK;MAP2K1;CSF1R
