panel,k,contrast,metric,fold,difference
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,1,0.6752924140075345
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,2,0.49434959817742385
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,3,0.5596704222714044
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,4,0.0810241191818799
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,5,0.0035233082153627304
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,1,0.37575757575757573
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,2,0.48808080808080806
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,3,0.45367965367965357
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,4,0.2519480519480521
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,5,0.3264069264069265
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,1,0.21333333333333337
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,2,0.1333333333333332
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,3,0.15714285714285725
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,4,0.08571428571428563
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,5,0.17142857142857149
PKIS1,10,residual_minus_raw,full_target_r2,1,0.2541086151631541
PKIS1,10,residual_minus_raw,full_target_r2,2,0.015475302469611263
PKIS1,10,residual_minus_raw,full_target_r2,3,0.02397064379392788
PKIS1,10,residual_minus_raw,full_target_r2,4,0.013331500615100356
PKIS1,10,residual_minus_raw,full_target_r2,5,0.011730451865433644
PKIS1,10,residual_minus_raw,full_mean_row_spearman,1,-0.005388471177944831
PKIS1,10,residual_minus_raw,full_mean_row_spearman,2,0.020989974937343336
PKIS1,10,residual_minus_raw,full_mean_row_spearman,3,0.008395989974937401
PKIS1,10,residual_minus_raw,full_mean_row_spearman,4,0.01294903926482871
PKIS1,10,residual_minus_raw,full_mean_row_spearman,5,0.02992898913951547
PKIS1,10,residual_minus_raw,full_top5_overlap,1,0.01388888888888884
PKIS1,10,residual_minus_raw,full_top5_overlap,2,-0.01666666666666672
PKIS1,10,residual_minus_raw,full_top5_overlap,3,0.019444444444444597
PKIS1,10,residual_minus_raw,full_top5_overlap,4,-0.01388888888888895
PKIS1,10,residual_minus_raw,full_top5_overlap,5,0.033333333333333326
PKIS1,10,residual_minus_raw,held_out_target_r2,1,0.3273830014278851
PKIS1,10,residual_minus_raw,held_out_target_r2,2,0.09422197192415471
PKIS1,10,residual_minus_raw,held_out_target_r2,3,0.0038703856423895067
PKIS1,10,residual_minus_raw,held_out_target_r2,4,0.03714802275522333
PKIS1,10,residual_minus_raw,held_out_target_r2,5,0.05246857815110617
PKIS1,10,residual_minus_raw,held_out_mean_row_spearman,1,-0.057407407407407574
PKIS1,10,residual_minus_raw,held_out_mean_row_spearman,2,0.03518518518518515
PKIS1,10,residual_minus_raw,held_out_mean_row_spearman,3,0.008922558922558887
PKIS1,10,residual_minus_raw,held_out_mean_row_spearman,4,-0.023905723905723875
PKIS1,10,residual_minus_raw,held_out_mean_row_spearman,5,0.0885521885521886
PKIS1,10,residual_minus_raw,held_out_top5_overlap,1,-0.019444444444444486
PKIS1,10,residual_minus_raw,held_out_top5_overlap,2,-0.005555555555555536
PKIS1,10,residual_minus_raw,held_out_top5_overlap,3,0.011111111111111072
PKIS1,10,residual_minus_raw,held_out_top5_overlap,4,-0.005555555555555647
PKIS1,10,residual_minus_raw,held_out_top5_overlap,5,0.03888888888888886
PKIS1,10,residual_minus_sequence,full_target_r2,1,0.1474452910347156
PKIS1,10,residual_minus_sequence,full_target_r2,2,-0.04230793583893999
PKIS1,10,residual_minus_sequence,full_target_r2,3,0.15724397794573608
PKIS1,10,residual_minus_sequence,full_target_r2,4,0.006602148973194333
PKIS1,10,residual_minus_sequence,full_target_r2,5,0.08589334577348551
PKIS1,10,residual_minus_sequence,full_mean_row_spearman,1,0.06652046783625731
PKIS1,10,residual_minus_sequence,full_mean_row_spearman,2,0.08588137009189645
PKIS1,10,residual_minus_sequence,full_mean_row_spearman,3,0.06998746867167915
PKIS1,10,residual_minus_sequence,full_mean_row_spearman,4,0.07825814536340847
PKIS1,10,residual_minus_sequence,full_mean_row_spearman,5,0.15916875522138685
PKIS1,10,residual_minus_sequence,full_top5_overlap,1,0.09722222222222221
PKIS1,10,residual_minus_sequence,full_top5_overlap,2,0.050000000000000155
PKIS1,10,residual_minus_sequence,full_top5_overlap,3,0.09444444444444444
PKIS1,10,residual_minus_sequence,full_top5_overlap,4,0.03888888888888886
PKIS1,10,residual_minus_sequence,full_top5_overlap,5,0.16388888888888886
PKIS1,10,residual_minus_sequence,held_out_target_r2,1,0.20511357420375087
PKIS1,10,residual_minus_sequence,held_out_target_r2,2,0.13040602441587967
PKIS1,10,residual_minus_sequence,held_out_target_r2,3,0.15509182518296494
PKIS1,10,residual_minus_sequence,held_out_target_r2,4,0.12347242445621709
PKIS1,10,residual_minus_sequence,held_out_target_r2,5,0.1425255619927429
PKIS1,10,residual_minus_sequence,held_out_mean_row_spearman,1,0.039225589225589164
PKIS1,10,residual_minus_sequence,held_out_mean_row_spearman,2,0.11313131313131314
PKIS1,10,residual_minus_sequence,held_out_mean_row_spearman,3,0.048484848484848464
PKIS1,10,residual_minus_sequence,held_out_mean_row_spearman,4,0.0668350168350168
PKIS1,10,residual_minus_sequence,held_out_mean_row_spearman,5,0.23989898989898994
PKIS1,10,residual_minus_sequence,held_out_top5_overlap,1,0.005555555555555647
PKIS1,10,residual_minus_sequence,held_out_top5_overlap,2,0.011111111111111183
PKIS1,10,residual_minus_sequence,held_out_top5_overlap,3,0.005555555555555536
PKIS1,10,residual_minus_sequence,held_out_top5_overlap,4,0.030555555555555558
PKIS1,10,residual_minus_sequence,held_out_top5_overlap,5,0.0888888888888888
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,1,0.21118629141390155
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,2,0.26895087745086066
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,3,0.23757798513884543
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,4,0.29298182723255106
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,5,0.29667917725336046
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,1,0.24642857142857144
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,2,0.21012949039264817
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,3,0.2096073517126148
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,4,0.25146198830409355
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,5,0.2226817042606517
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,1,0.18055555555555547
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,2,0.15000000000000008
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,3,0.15000000000000002
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,4,0.16111111111111098
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,5,0.17500000000000004
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,1,0.5318515540428544
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,2,0.47234672734451066
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,3,0.524568513615954
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,4,0.5546278952356873
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,5,0.573945821611085
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,1,0.4338383838383838
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,2,0.32373737373737377
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,3,0.35084175084175084
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,4,0.46127946127946123
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,5,0.34511784511784516
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,1,0.16666666666666663
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,2,0.09999999999999998
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,3,0.12222222222222223
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,4,0.15555555555555545
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,5,0.16111111111111098
