chemical_support_sensitivity,target_sensitivity,residual_scaling,n_docking44_ligands,n_dockstring_ligands,n_targets,docking44_target,dockstring_target,descriptor,docking44_slope_per_descriptor_sd,dockstring_slope_per_descriptor_sd,docking44_target_slope_rank,dockstring_target_slope_rank
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,3b66,AR,rotatable_bonds,0.086628345768542114,0.33531919312563685,7,9
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,3b66,AR,ring_count,0.53927771551593595,0.65889177416029698,9,9
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,3ln1,PTGS2,heavy_atoms,0.44371321100905498,0.44474969130330388,8,8
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,3ln1,PTGS2,molecular_weight,0.41124646918273394,0.43543535525639404,8,8
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,3ln1,PTGS2,labute_asa,0.44564304358089768,0.44605726114658217,8,8
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,3ln1,PTGS2,tpsa,0.27571088128794219,0.21891170151555719,9,8
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,3ln1,PTGS2,clogp,0.073652426848194938,0.18322053757017936,7,7
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,3ln1,PTGS2,rotatable_bonds,0.22732093555230626,0.18181796766034652,9,8
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,3ln1,PTGS2,ring_count,0.35419137413525159,0.36990708012266849,8,8
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,4ey7,ACHE,heavy_atoms,-0.17296441947794661,0.041044211119759713,3,6
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,4ey7,ACHE,molecular_weight,-0.09316139133741215,0.045259246748862982,4,6
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,4ey7,ACHE,labute_asa,-0.15040793428109225,0.041303463807712347,3,6
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,4ey7,ACHE,tpsa,-0.021464799057545066,0.019327392467732938,4,5
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,4ey7,ACHE,clogp,-0.12559198746590247,-0.025408863388374989,2,6
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,4ey7,ACHE,rotatable_bonds,-0.0074452921725787144,-0.09945592461112783,5,4
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,4ey7,ACHE,ring_count,-0.25284905105170924,0.10262749890314248,3,6
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6cm4,DRD2,heavy_atoms,-0.036432134651351589,-0.21940769136187988,5,3
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6cm4,DRD2,molecular_weight,-0.016648589548451231,-0.2036750496616746,5,3
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6cm4,DRD2,labute_asa,-0.029978860714581331,-0.21699987484948044,5,3
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6cm4,DRD2,tpsa,0.0078206912916749093,-0.053393599801783889,5,3
primary_seeded_support,all_9_mapped_targets,unscaled_two_way_residual,12651,15000,9,6cm4,DRD2,clogp,-0.04330814789641188,-0.18106411543972376,5,1
