dataset,n_ligands,n_targets,support_rule,group_definition,folds,chemical_groups,strict_fold_local_target_offsets,strict_fold_local_residual_target_scales,strict_fold_local_descriptor_scaling,strict_fold_local_regression_coefficients,mean_out_of_fold_target_r2,median_out_of_fold_target_r2,minimum_out_of_fold_target_r2,maximum_out_of_fold_target_r2,out_of_fold_residual_pc1_r2,out_of_fold_pr_before_descriptor_removal,out_of_fold_pr_after_descriptor_removal,out_of_fold_pr_increase,out_of_fold_pr_ratio,out_of_fold_mean_squared_target_correlation_before_descriptor_removal,out_of_fold_mean_squared_target_correlation_after_descriptor_removal,out_of_fold_absolute_mean_squared_target_correlation_reduction,out_of_fold_relative_mean_squared_target_correlation_reduction,descriptor_removal_interpretation,pc1_definition_scope
Docking-44,12651,44,"all 12,651 analyzable ligands",frozen source Butina clusters,5,8150,True,True,True,True,0.21973852271310992,0.22162476153684524,0.0174382457922857,0.57369829270027317,0.58572309006707468,9.294143343764464,14.746371479452172,5.452228135687708,1.5866305192447525,0.086841026186168097,0.046134531690476266,0.040706494495691831,0.46874727629802582,"Removing the group-held-out, fold-locally predicted descriptor component reduces mean squared target correlation; this is a predictive decomposition of score structure, not a causal attribution",PC1 loadings are descriptive loadings of the pooled out-of-fold surface; every ligand-level descriptor prediction is group-held-out
DOCKSTRING-58,15000,58,"sorted simple random sample without replacement of 15,000 complete ligands; NumPy seed 71",RDKit Bemis-Murcko scaffolds; every acyclic molecule is a singleton,5,11905,True,True,True,True,0.16982830943845095,0.11782603250305007,0.0044201014146114659,0.57701672864918963,0.68650821867474232,17.923478828457238,28.46641503690876,10.542936208451522,1.5882193021430877,0.039227700681763455,0.018201556776858613,0.021026143904904843,0.53600245590432161,"Removing the group-held-out, fold-locally predicted descriptor component reduces mean squared target correlation; this is a predictive decomposition of score structure, not a causal attribution",PC1 loadings are descriptive loadings of the pooled out-of-fold surface; every ligand-level descriptor prediction is group-held-out
