dataset,target,family,out_of_fold_descriptor_r2
Docking-44,1m2z,Nuclear receptor,0.054835229701541643
Docking-44,1pbq,Ion channel,0.34561833438190059
Docking-44,1xoq,Enzyme,0.30566944485928049
Docking-44,2rh1,Adrenergic GPCR,0.26434834112566086
Docking-44,2vt4,Adrenergic GPCR,0.37330567722664287
Docking-44,2ydo,Peptide GPCR,0.074638482858089494
Docking-44,2z5x,Enzyme,0.063245036423317469
Docking-44,3b66,Nuclear receptor,0.18609189954282568
Docking-44,3kk6,Enzyme,0.10661744011494223
Docking-44,3ln1,Enzyme,0.14004650028493715
Docking-44,3rze,Histamine GPCR,0.33709566111204214
Docking-44,4djh,Opioid GPCR,0.37649385473602803
Docking-44,4ey7,Enzyme,0.21416512499322438
Docking-44,4iar,Serotonin GPCR,0.26283055368052466
Docking-44,4mqs,Muscarinic GPCR,0.2839664992954638
Docking-44,4n6h,Opioid GPCR,0.23088316207853932
Docking-44,5cxv,Muscarinic GPCR,0.077624197141949125
Docking-44,5i71,Transporter,0.57369829270027317
Docking-44,5tvn,Serotonin GPCR,0.099450131839174061
Docking-44,5u09,Cannabinoid GPCR,0.05997932525345484
Docking-44,5va1,Ion channel,0.31801333439813151
Docking-44,6cm4,Dopamine GPCR,0.0174382457922857
Docking-44,6kpf,Cannabinoid GPCR,0.051369792401174563
Docking-44,6kux,Adrenergic GPCR,0.028741146705612564
Docking-44,6lqa,Ion channel,0.5230270792988897
Docking-44,6pdj,Enzyme,0.067746651782734535
Docking-44,6x3x,Ion channel,0.1407876759447928
Docking-44,6y1z,Serotonin GPCR,0.12179523377277557
Docking-44,7f8y,Peptide GPCR,0.2701823818193303
Docking-44,7kwe,Enzyme,0.28658292668746199
Docking-44,7ljd,Dopamine GPCR,0.040728208337681648
Docking-44,7wc9,Serotonin GPCR,0.16168171844344104
Docking-44,7xnk,Ion channel,0.14440313719167808
Docking-44,7ym8,Adrenergic GPCR,0.10616349409436976
Docking-44,8e9y,Muscarinic GPCR,0.23017142706225735
Docking-44,8ef6,Opioid GPCR,0.46838546983580343
Docking-44,8fhs,Ion channel,0.53835208749064067
Docking-44,8pjk,Serotonin GPCR,0.35389962866871305
Docking-44,8st0,Ion channel,0.33835288759241711
Docking-44,8wty,Transporter,0.2472876969725657
Docking-44,8xvk,Peptide GPCR,0.18134236232430057
Docking-44,8yn3,Histamine GPCR,0.2290843980804661
Docking-44,9eo4,Transporter,0.028164107346493217
Docking-44,V1A,Peptide GPCR,0.34419071798300571
DOCKSTRING-58,PPARD,Nuclear receptor,0.21675422107501274
DOCKSTRING-58,ABL1,Kinase,0.12015719495514265
DOCKSTRING-58,ADAM17,Protease,0.044142528770099387
