dataset,target,family,out_of_fold_descriptor_r2
DOCKSTRING-58,ADRB1,GPCR,0.23680496910338467
DOCKSTRING-58,ADRB2,GPCR,0.20214538913175339
DOCKSTRING-58,AKT2,Kinase,0.1715261661686116
DOCKSTRING-58,MAOB,Other enzyme,0.57701672864918963
DOCKSTRING-58,CASP3,Protease,0.20968532665173734
DOCKSTRING-58,DHFR,Other enzyme,0.063547335712041186
DOCKSTRING-58,ESR2,Nuclear receptor,0.14799241002816776
DOCKSTRING-58,PTK2,Kinase,0.031866947924253153
DOCKSTRING-58,FGFR1,Kinase,0.022826457907655584
DOCKSTRING-58,HMGCR,Other enzyme,0.12314567112306118
DOCKSTRING-58,HSP90AA1,Chaperone,0.041854738310704076
DOCKSTRING-58,KIT,Kinase,0.020400433446116528
DOCKSTRING-58,MAPKAPK2,Kinase,0.087651836149696738
DOCKSTRING-58,MAP2K1,Kinase,0.32253985768312743
DOCKSTRING-58,NOS1,Other enzyme,0.06226517458159242
DOCKSTRING-58,PARP1,Other enzyme,0.39992072619170338
DOCKSTRING-58,PDE5A,Other enzyme,0.11112072204462697
DOCKSTRING-58,PGR,Nuclear receptor,0.50676916634486657
DOCKSTRING-58,PTPN1,Other enzyme,0.01695177613513954
DOCKSTRING-58,ROCK1,Kinase,0.37447231384715429
DOCKSTRING-58,AKT1,Kinase,0.48957805061931403
DOCKSTRING-58,AR,Nuclear receptor,0.51522199099625343
DOCKSTRING-58,CDK2,Kinase,0.090202655486603556
DOCKSTRING-58,CSF1R,Kinase,0.10410532207743795
DOCKSTRING-58,ESR1,Nuclear receptor,0.067212663602493672
DOCKSTRING-58,NR3C1,Nuclear receptor,0.22848607415819855
DOCKSTRING-58,IGF1R,Kinase,0.0044201014146114659
DOCKSTRING-58,JAK2,Kinase,0.044642373334907837
DOCKSTRING-58,LCK,Kinase,0.18856372088418949
DOCKSTRING-58,MET,Kinase,0.045758772590557939
DOCKSTRING-58,MMP13,Protease,0.020869393046005547
DOCKSTRING-58,PTGS2,Other enzyme,0.2543902416849475
DOCKSTRING-58,PPARA,Nuclear receptor,0.09344384593212629
DOCKSTRING-58,PPARG,Nuclear receptor,0.081228270082079224
DOCKSTRING-58,REN,Protease,0.36725883498825618
DOCKSTRING-58,ADORA2A,GPCR,0.095311510994060766
DOCKSTRING-58,ACHE,Other enzyme,0.058092140611057053
DOCKSTRING-58,BACE1,Protease,0.14229166757729306
DOCKSTRING-58,CA2,Other enzyme,0.063133968199329926
DOCKSTRING-58,CYP2C9,Other enzyme,0.3091665349120547
DOCKSTRING-58,CYP3A4,Other enzyme,0.51811899693651675
DOCKSTRING-58,HSD11B1,Other enzyme,0.10804968786859592
DOCKSTRING-58,DPP4,Protease,0.23988381720899898
DOCKSTRING-58,DRD2,GPCR,0.18579250635069144
DOCKSTRING-58,DRD3,GPCR,0.11360919308106043
DOCKSTRING-58,EGFR,Kinase,0.10268498301393369
DOCKSTRING-58,F10,Protease,0.1203354616359058
DOCKSTRING-58,GBA,Other enzyme,0.18105220307997438
DOCKSTRING-58,MAPK1,Kinase,0.019428353612398475
DOCKSTRING-58,MAPK14,Kinase,0.048897766654256825
DOCKSTRING-58,PLK1,Kinase,0.11549487005095749
DOCKSTRING-58,SRC,Kinase,0.15217979151680838
DOCKSTRING-58,THRB,Nuclear receptor,0.33519352788351386
DOCKSTRING-58,F2,Protease,0.1556011353357778
DOCKSTRING-58,KDR,Kinase,0.078783428074149398
