dataset,surface,n_targets,mean_offdiagonal_correlation,mean_squared_offdiagonal_correlation,pairwise_correlation_variance,mean_square_plus_variance,participation_ratio,participation_ratio_from_correlation_moment_identity,maximum_absolute_moment_identity_error,maximum_absolute_pr_identity_error
Docking-44,raw,44,0.68499187328474431,0.53466697052618051,0.065453104060037376,0.53466697052618062,1.8340455747972353,1.8340455747972355,1.1102230246251565e-16,2.2204460492503131e-16
Docking-44,residual,44,0.0029459423675794556,0.086737252760921202,0.086728574184488094,0.086737252760921188,9.3029119427164524,9.3029119427164524,1.3877787807814457e-17,0
DOCKSTRING-58,raw,58,0.61531484576505535,0.43144062891207813,0.052828269493204204,0.43144062891207802,2.266322970109516,2.266322970109516,1.1102230246251565e-16,0
DOCKSTRING-58,residual,58,-0.0025222831789313842,0.038347100252547207,0.038340738340112486,0.038347100252547207,18.205875537641621,18.205875537641621,0,0
