residual_scaling,descriptor,spearman_rho_box_volume_vs_target_descriptor_slope,exact_two_sided_p,distinct_target_label_placements,null_q025,null_q975
unscaled_two_way_residual,heavy_atoms,-0.13846111042157372,0.41379310344827586,58,-0.2142191179808062,0.21421911798080617
unscaled_two_way_residual,molecular_weight,-0.13054904696891237,0.44827586206896552,58,-0.2142191179808062,0.21421911798080617
unscaled_two_way_residual,labute_asa,-0.13846111042157372,0.41379310344827586,58,-0.2142191179808062,0.21421911798080617
unscaled_two_way_residual,tpsa,-0.011868095178992033,0.96551724137931039,58,-0.2142191179808062,0.21421911798080617
unscaled_two_way_residual,clogp,-0.20966968149552592,0.10344827586206896,58,-0.2142191179808062,0.21421911798080617
unscaled_two_way_residual,rotatable_bonds,-0.13846111042157372,0.41379310344827586,58,-0.2142191179808062,0.21421911798080617
unscaled_two_way_residual,ring_count,-0.17010936423221915,0.27586206896551724,58,-0.2142191179808062,0.21421911798080617
target_standardized_two_way_residual,heavy_atoms,-0.13846111042157372,0.41379310344827586,58,-0.2142191179808062,0.21421911798080617
target_standardized_two_way_residual,molecular_weight,-0.13054904696891237,0.44827586206896552,58,-0.2142191179808062,0.21421911798080617
target_standardized_two_way_residual,labute_asa,-0.13846111042157372,0.41379310344827586,58,-0.2142191179808062,0.21421911798080617
target_standardized_two_way_residual,tpsa,-0.011868095178992033,0.96551724137931039,58,-0.2142191179808062,0.21421911798080617
target_standardized_two_way_residual,clogp,-0.19384555459020322,0.17241379310344829,58,-0.2142191179808062,0.21421911798080617
target_standardized_two_way_residual,rotatable_bonds,-0.13054904696891237,0.44827586206896552,58,-0.2142191179808062,0.21421911798080617
target_standardized_two_way_residual,ring_count,-0.16219730077955782,0.31034482758620691,58,-0.2142191179808062,0.21421911798080617
