docking44_target,true_dockstring_target,assigned_dockstring_target,correct_target_identity,assigned_pair_mean_squared_rank_distance,chemical_support_sensitivity,residual_scaling,descriptor_set
1m2z,NR3C1,NR3C1,True,0.14285714285714285,primary_seeded_support,unscaled_two_way_residual,all_7_descriptors
2rh1,ADRB2,ADRB1,False,0.2857142857142857,primary_seeded_support,unscaled_two_way_residual,all_7_descriptors
2vt4,ADRB1,ADRB2,False,0.14285714285714285,primary_seeded_support,unscaled_two_way_residual,all_7_descriptors
2ydo,ADORA2A,ADORA2A,True,0.7142857142857143,primary_seeded_support,unscaled_two_way_residual,all_7_descriptors
3b66,AR,AR,True,0.7142857142857143,primary_seeded_support,unscaled_two_way_residual,all_7_descriptors
3ln1,PTGS2,PTGS2,True,0.2857142857142857,primary_seeded_support,unscaled_two_way_residual,all_7_descriptors
4ey7,ACHE,DRD2,False,1.5714285714285714,primary_seeded_support,unscaled_two_way_residual,all_7_descriptors
6cm4,DRD2,ACHE,False,0.7142857142857143,primary_seeded_support,unscaled_two_way_residual,all_7_descriptors
6pdj,LCK,LCK,True,2.2857142857142856,primary_seeded_support,unscaled_two_way_residual,all_7_descriptors
