chemical_support_sensitivity,target_sensitivity,residual_scaling,n_docking44_ligands,n_dockstring_ligands,n_targets,statistic,spearman_rho,exact_target_label_permutation_two_sided_p,exact_target_label_permutations
strict_nonempty_murcko_scaffold_disjoint,all_9_mapped_targets,target_standardized_two_way_residual,6212,13474,9,prespecified_mean_of_7_descriptor_spearman_rho,0.79523809523809519,0.001984126984126984,362880
primary_seeded_support,human_structure_only_7,unscaled_two_way_residual,12651,15000,7,heavy_atoms,0.75,,
primary_seeded_support,human_structure_only_7,unscaled_two_way_residual,12651,15000,7,molecular_weight,0.8214285714285714,,
primary_seeded_support,human_structure_only_7,unscaled_two_way_residual,12651,15000,7,labute_asa,0.75,,
primary_seeded_support,human_structure_only_7,unscaled_two_way_residual,12651,15000,7,tpsa,0.8928571428571429,,
primary_seeded_support,human_structure_only_7,unscaled_two_way_residual,12651,15000,7,clogp,0.5714285714285714,,
primary_seeded_support,human_structure_only_7,unscaled_two_way_residual,12651,15000,7,rotatable_bonds,0.75,,
primary_seeded_support,human_structure_only_7,unscaled_two_way_residual,12651,15000,7,ring_count,0.5714285714285714,,
primary_seeded_support,human_structure_only_7,unscaled_two_way_residual,12651,15000,7,prespecified_mean_of_7_descriptor_spearman_rho,0.72959183673469385,0.029365079365079365,5040
primary_seeded_support,human_structure_only_7,target_standardized_two_way_residual,12651,15000,7,heavy_atoms,0.75,,
primary_seeded_support,human_structure_only_7,target_standardized_two_way_residual,12651,15000,7,molecular_weight,0.8214285714285714,,
primary_seeded_support,human_structure_only_7,target_standardized_two_way_residual,12651,15000,7,labute_asa,0.75,,
primary_seeded_support,human_structure_only_7,target_standardized_two_way_residual,12651,15000,7,tpsa,0.8571428571428571,,
primary_seeded_support,human_structure_only_7,target_standardized_two_way_residual,12651,15000,7,clogp,0.4642857142857143,,
primary_seeded_support,human_structure_only_7,target_standardized_two_way_residual,12651,15000,7,rotatable_bonds,0.5714285714285714,,
primary_seeded_support,human_structure_only_7,target_standardized_two_way_residual,12651,15000,7,ring_count,0.6428571428571429,,
primary_seeded_support,human_structure_only_7,target_standardized_two_way_residual,12651,15000,7,prespecified_mean_of_7_descriptor_spearman_rho,0.69387755102040827,0.049801587301587298,5040
primary_seeded_support,different_receptor_structure_only_6,unscaled_two_way_residual,12651,15000,6,heavy_atoms,0.82857142857142863,,
primary_seeded_support,different_receptor_structure_only_6,unscaled_two_way_residual,12651,15000,6,molecular_weight,0.94285714285714284,,
primary_seeded_support,different_receptor_structure_only_6,unscaled_two_way_residual,12651,15000,6,labute_asa,0.82857142857142863,,
primary_seeded_support,different_receptor_structure_only_6,unscaled_two_way_residual,12651,15000,6,tpsa,1,,
primary_seeded_support,different_receptor_structure_only_6,unscaled_two_way_residual,12651,15000,6,clogp,0.7142857142857143,,
primary_seeded_support,different_receptor_structure_only_6,unscaled_two_way_residual,12651,15000,6,rotatable_bonds,0.77142857142857146,,
primary_seeded_support,different_receptor_structure_only_6,unscaled_two_way_residual,12651,15000,6,ring_count,0.77142857142857146,,
primary_seeded_support,different_receptor_structure_only_6,unscaled_two_way_residual,12651,15000,6,prespecified_mean_of_7_descriptor_spearman_rho,0.83673469387755095,0.013888888888888888,720
primary_seeded_support,different_receptor_structure_only_6,target_standardized_two_way_residual,12651,15000,6,heavy_atoms,0.82857142857142863,,
primary_seeded_support,different_receptor_structure_only_6,target_standardized_two_way_residual,12651,15000,6,molecular_weight,0.94285714285714284,,
primary_seeded_support,different_receptor_structure_only_6,target_standardized_two_way_residual,12651,15000,6,labute_asa,0.82857142857142863,,
primary_seeded_support,different_receptor_structure_only_6,target_standardized_two_way_residual,12651,15000,6,tpsa,0.94285714285714284,,
primary_seeded_support,different_receptor_structure_only_6,target_standardized_two_way_residual,12651,15000,6,clogp,0.7142857142857143,,
primary_seeded_support,different_receptor_structure_only_6,target_standardized_two_way_residual,12651,15000,6,rotatable_bonds,0.54285714285714282,,
primary_seeded_support,different_receptor_structure_only_6,target_standardized_two_way_residual,12651,15000,6,ring_count,0.82857142857142863,,
primary_seeded_support,different_receptor_structure_only_6,target_standardized_two_way_residual,12651,15000,6,prespecified_mean_of_7_descriptor_spearman_rho,0.80408163265306121,0.015277777777777777,720
