dataset,surface_or_contrast,within_family_pairs,between_family_pairs,mean_signed_within_family_correlation,mean_signed_between_family_correlation,signed_within_minus_between,target_label_permutations,qap_seed,qap_null_mean,qap_null_q025,qap_null_q975,qap_one_sided_p_for_positive_statistic,qap_two_sided_p,scope
Docking-44,before_descriptor_removal,77,869,0.089708218613096968,-0.004803549092559577,0.094511767705656544,10000,20260802,-9.9798394065769852e-05,-0.058259487366933878,0.07929052691374347,0.0122987701229877,0.012498750124987501,fixed target panel; broad family labels permuted over target labels; signed correlations
Docking-44,after_descriptor_removal,77,869,0.07876526920130586,-0.011814541958924969,0.090579811160230825,10000,20260802,-9.8667271710886493e-05,-0.043381721180282259,0.056205046016812095,0.0019998000199980001,0.0019998000199980001,fixed target panel; broad family labels permuted over target labels; signed correlations
Docking-44,after_minus_before,77,869,,,-0.0039319565454257188,10000,20260802,1.1311223548833627e-06,-0.039166721685884358,0.026888462076881843,0.6359364063593641,0.82111788821117893,fixed target panel; broad family labels permuted over target labels; signed correlations
DOCKSTRING-58,before_descriptor_removal,375,1278,0.046026273546422296,-0.016445233161719058,0.062471506708141354,10000,20260803,7.3411479277292962e-05,-0.018845169155336339,0.031332053701629295,0.00049995000499950004,0.00049995000499950004,fixed target panel; broad family labels permuted over target labels; signed correlations
DOCKSTRING-58,after_descriptor_removal,375,1278,0.022138937827559643,-0.022281908462302019,0.044420846289861662,10000,20260803,0.00011305777671362393,-0.0122103465527459,0.018997750286495155,0.00049995000499950004,0.00049995000499950004,fixed target panel; broad family labels permuted over target labels; signed correlations
DOCKSTRING-58,after_minus_before,375,1278,,,-0.018050660418279692,10000,20260803,3.964629743633099e-05,-0.020099799173764019,0.010792919875291233,0.96560343965603435,0.034596540345965404,fixed target panel; broad family labels permuted over target labels; signed correlations
