dataset,n_ligands,descriptor_support_ligands,n_targets,chemical_groups,input_rows,missing_cells_before_preprocessing,positive_cells_clipped,support_rule,raw_pr,residual_pr,pr_expansion_ratio,ligand_main_effect_fraction_of_grand_centered_ss,target_main_effect_fraction_of_grand_centered_ss,interaction_fraction_of_grand_centered_ss,combined_ligand_and_target_main_effect_fraction_of_grand_centered_ss,column_standardized_ligand_main_effect_fraction,column_standardized_interaction_fraction,oof_pr_after_descriptor_removal,oof_residual_pc1_descriptor_r2
Docking-44,12651,12651,44,8150,12651,8159,0,"all 12,651 analyzable ligands",1.8340455747972353,9.3029119427164524,5.0723450226938578,0.53818252145709322,0.19435297651071015,0.26746450203219635,0.73253549796780337,0.69215114889190954,0.30784885110809102,14.746371479452172,0.58572309006707468
DOCKSTRING-58,260060,15000,58,11905,260155,339,5393,"sorted simple random sample without replacement of 15,000 complete ligands; NumPy seed 71",2.266322970109516,18.205875537641621,8.0332219978169555,0.43906506896055009,0.24924075615236738,0.31169417488708528,0.68830582511291749,0.62194734842427668,0.37805265157572204,28.46641503690876,0.68650821867474232
