analysis_status,predictor,pairs,positive_pairs,roc_auc,roc_auc_qap_p_positive,average_precision,average_precision_qap_p_positive,seed,permutations
exploratory_post_hoc_structural_control,receptor_domain_sequence_identity,190,15,0.7180952380952381,0.006979860402791944,0.4263313038513235,1.999960000799984e-05,20260803,50000
exploratory_post_hoc_structural_control,klifs_pocket_identity,190,15,0.7081904761904761,0.010319793604127917,0.486352801189536,1.999960000799984e-05,20260803,50000
exploratory_post_hoc_structural_control,same_klifs_group,190,15,0.6514285714285715,0.043099138017239656,0.1264916453885421,0.015999680006399872,20260803,50000
exploratory_post_hoc_structural_control,same_klifs_family,190,15,0.5971428571428572,0.0012199756004879902,0.19155437271010486,0.0020799584008319833,20260803,50000
exploratory_post_hoc_structural_control,raw_Vina_target_geometry,190,15,0.5965714285714285,0.15495690086198277,0.2355064642070323,0.011319773604527909,20260803,50000
exploratory_post_hoc_structural_control,centered_Vina_target_geometry,190,15,0.7104761904761905,0.0068598628027439455,0.3014656490938134,0.0013999720005599889,20260803,50000
