analysis_status,predictor,endpoint,controls,partial_spearman,target_label_qap_p_positive,null_q025,null_q975,permutations,seed
exploratory_post_hoc,centered_Vina_target_geometry,DAVIS,klifs_pocket_identity,0.274470207079121,0.0068598628027439455,-0.10555770367110347,0.1870408616676534,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,DAVIS,receptor_domain_sequence_identity,0.24649342569090868,0.010379792404151917,-0.10858169203576588,0.18701451181464226,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,DAVIS,sequence_plus_pocket,0.23969073406233637,0.010739785204295913,-0.10947127027184475,0.185475345191658,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,DAVIS,sequence_pocket_family_group,0.2373285882622087,0.010979780404391912,-0.11296161440815877,0.184230900078005,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,PKIS2,klifs_pocket_identity,0.28140570157305494,0.005779884402311954,-0.1035581560852167,0.1827428582115471,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,PKIS2,receptor_domain_sequence_identity,0.2530044365024451,0.00869982600347993,-0.1064478128615844,0.18145779593074718,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,PKIS2,sequence_plus_pocket,0.24695084113819438,0.009119817603647927,-0.10801019965626289,0.18031822747259438,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,PKIS2,sequence_pocket_family_group,0.2541923844135503,0.008079838403231935,-0.11049108582602327,0.17942792824404505,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,PKIS1,klifs_pocket_identity,0.17060516522554617,0.029439411211775766,-0.1018241867769124,0.18074500431383417,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,PKIS1,receptor_domain_sequence_identity,0.1402096733424837,0.04697906041879162,-0.10512702168728624,0.18193866158865174,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,PKIS1,sequence_plus_pocket,0.12884659210934202,0.05533889322213556,-0.10798209403940745,0.17847229679645257,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,PKIS1,sequence_pocket_family_group,0.11336567488130429,0.07329853402931942,-0.11074244110839633,0.17805942450222675,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,old_three_panel_mean,klifs_pocket_identity,0.263039808962936,0.00871982560348793,-0.10064062889246718,0.186301778703015,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,old_three_panel_mean,receptor_domain_sequence_identity,0.23360453970686507,0.013159736805263895,-0.10340762583850233,0.18629679604841906,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,old_three_panel_mean,sequence_plus_pocket,0.22470029531877914,0.014039719205615888,-0.10604034117073596,0.18324814222911492,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,old_three_panel_mean,sequence_pocket_family_group,0.22163693503785972,0.014579708405831884,-0.10862927055404528,0.1841370627369001,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,KiRHub,klifs_pocket_identity,0.31525295499214595,0.004159916801663967,-0.10057892594766187,0.18896897191359563,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,KiRHub,receptor_domain_sequence_identity,0.28339002947191927,0.006499870002599948,-0.1045692310786754,0.18952486875854882,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,KiRHub,sequence_plus_pocket,0.27989487786881373,0.006799864002719946,-0.10568711764190057,0.18884215058804246,50000,20260803
exploratory_post_hoc,centered_Vina_target_geometry,KiRHub,sequence_pocket_family_group,0.2855745199964602,0.006139877202455951,-0.10768791567445686,0.18901794156199195,50000,20260803
