dataset,calibration_ligands,repetition,panel_targets_k,reference_scope,cluster_adjusted_rand_index,sample_vs_fixed_full_source_panel_medoid_overlap,sample_vs_fixed_full_source_panel_medoid_jaccard,fixed_full_source_panel_mean_nearest_distance_on_reference_map,sample_map_medoids_mean_nearest_distance_on_reference_map,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map,sample_map_medoids_maximum_nearest_distance_on_reference_map,random_panels_on_reference_map,fraction_random_panels_with_mean_coverage_no_worse_than_sample,random_mean_nearest_distance_median,random_mean_nearest_distance_q025,random_mean_nearest_distance_q975
Docking-44,200,4,6,row_disjoint_complement_map,0.75828532390896231,3,0.33333333333333331,0.43141983291542851,0.44370286416301413,0.012283031247585618,0.80099115394975073,200,0,0.4918401262367077,0.45702067631090099,0.53876118006782026
Docking-44,200,4,8,full_source_map_including_calibration_rows,0.9119108865945782,5,0.45454545454545453,0.39776751007762828,0.41064627556452715,0.012878765486898869,0.71586601120942073,10000,0.00020000000000000001,0.45146929174025086,0.42406608569847343,0.49102562770282659
Docking-44,200,4,8,row_disjoint_complement_map,0.88790886128627655,5,0.45454545454545453,0.39707940843154821,0.4102938391400125,0.013214430708464286,0.71561863992803365,200,0,0.45124787527111121,0.4244145286091332,0.49020268029831926
Docking-44,200,4,10,full_source_map_including_calibration_rows,0.73640409864691148,5,0.33333333333333331,0.36509410302902534,0.38206110363410917,0.016967000605083826,0.72936212415386759,10000,0.0011000000000000001,0.4161252495631686,0.39268031268843251,0.44809726808011024
Docking-44,200,4,10,row_disjoint_complement_map,0.66510342517377108,5,0.33333333333333331,0.36435513107765694,0.38188530768692286,0.017530176609265924,0.73268604028309592,200,0.0050000000000000001,0.41301508798290576,0.39194811203184615,0.44898534504836218
Docking-44,200,5,6,full_source_map_including_calibration_rows,0.72126657724448739,3,0.33333333333333331,0.43214781831379373,0.44249327005545902,0.01034545174166529,0.80001247747940463,10000,0.00040000000000000002,0.49302754320570502,0.45780395109194238,0.54568422458736376
Docking-44,200,5,6,row_disjoint_complement_map,0.72126657724448739,3,0.33333333333333331,0.43176973044113948,0.44259044180246748,0.010820711361328006,0.79945757861262423,200,0,0.49205488876948333,0.45738653348465097,0.53906579908450469
Docking-44,200,5,8,full_source_map_including_calibration_rows,0.71776171849101633,5,0.45454545454545453,0.39776751007762828,0.40647839233647698,0.0087108822588486956,0.75178241165801596,10000,0,0.45146929174025086,0.42406608569847343,0.49102562770282659
Docking-44,200,5,8,row_disjoint_complement_map,0.71776171849101633,5,0.45454545454545453,0.39737726737667417,0.40657343162312132,0.0091961642464471471,0.75305115796870892,200,0,0.45136860608854668,0.42465452481054683,0.49026887004214209
Docking-44,200,5,10,full_source_map_including_calibration_rows,0.73689921096545141,8,0.66666666666666663,0.36509410302902534,0.37235622255325801,0.0072621195242326686,0.71984168127088488,10000,0,0.4161252495631686,0.39268031268843251,0.44809726808011024
Docking-44,200,5,10,row_disjoint_complement_map,0.73689921096545141,8,0.66666666666666663,0.36496956094030181,0.37225943649213949,0.0072898755518376879,0.72107212194634041,200,0,0.41353714061233171,0.39233052965142173,0.44895196478406724
