dataset,calibration_ligands,repetition,reference_scope,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr,reference_abs_top10pct_edges,reference_abs_top10pct_sign_agreement,top_positive_10_intersection,top_positive_10_precision,top_positive_10_recall,top_positive_10_jaccard,top_negative_10_intersection,top_negative_10_precision,top_negative_10_recall,top_negative_10_jaccard,top_positive_25_intersection,top_positive_25_precision,top_positive_25_recall,top_positive_25_jaccard,top_negative_25_intersection,top_negative_25_precision,top_negative_25_recall,top_negative_25_jaccard
Docking-44,200,0,full_source_map_including_calibration_rows,0.94837332691511111,0.051626673084888886,0.10718240706846642,0.89640591966173366,9.3029119427164524,7.6320720945643696,95,1,4,0.40000000000000002,0.40000000000000002,0.25,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,0,row_disjoint_complement_map,0.94673784259501703,0.053262157404982968,0.10874369950941111,0.89534883720930236,9.3200984093807886,7.6320720945643696,95,1,4,0.40000000000000002,0.40000000000000002,0.25,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,17,0.68000000000000005,0.68000000000000005,0.51515151515151514,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,1,full_source_map_including_calibration_rows,0.95335894456250037,0.046641055437499634,0.094349491546969685,0.90909090909090906,9.3029119427164524,8.4858594703051331,95,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,3,0.29999999999999999,0.29999999999999999,0.17647058823529413,15,0.59999999999999998,0.59999999999999998,0.42857142857142855,20,0.80000000000000004,0.80000000000000004,0.66666666666666663
Docking-44,200,1,row_disjoint_complement_map,0.95200469686852629,0.04799530313147371,0.095797403386213134,0.90697674418604646,9.3039733001375513,8.4858594703051331,95,1,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,3,0.29999999999999999,0.29999999999999999,0.17647058823529413,15,0.59999999999999998,0.59999999999999998,0.42857142857142855,20,0.80000000000000004,0.80000000000000004,0.66666666666666663
Docking-44,200,2,full_source_map_including_calibration_rows,0.95400258110898795,0.045997418891012054,0.089079226896149236,0.90591966173361527,9.3029119427164524,9.3612000659377816,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,18,0.71999999999999997,0.71999999999999997,0.5625,12,0.47999999999999998,0.47999999999999998,0.31578947368421051
Docking-44,200,2,row_disjoint_complement_map,0.95259936045280202,0.047400639547197976,0.090374680626855372,0.90486257928118397,9.2916169943533173,9.3612000659377816,95,1,7,0.69999999999999996,0.69999999999999996,0.53846153846153844,6,0.59999999999999998,0.59999999999999998,0.42857142857142855,18,0.71999999999999997,0.71999999999999997,0.5625,12,0.47999999999999998,0.47999999999999998,0.31578947368421051
Docking-44,200,3,full_source_map_including_calibration_rows,0.93045022913641062,0.069549770863589377,0.11706089748678696,0.90697674418604646,9.3029119427164524,8.2567357067156468,95,1,2,0.20000000000000001,0.20000000000000001,0.1111111111111111,5,0.5,0.5,0.33333333333333331,13,0.52000000000000002,0.52000000000000002,0.35135135135135137,15,0.59999999999999998,0.59999999999999998,0.42857142857142855
Docking-44,200,3,row_disjoint_complement_map,0.92756625320658592,0.072433746793414078,0.11957879077804928,0.90486257928118397,9.3005358727482843,8.2567357067156468,95,1,2,0.20000000000000001,0.20000000000000001,0.1111111111111111,4,0.40000000000000002,0.40000000000000002,0.25,13,0.52000000000000002,0.52000000000000002,0.35135135135135137,14,0.56000000000000005,0.56000000000000005,0.3888888888888889
Docking-44,200,4,full_source_map_including_calibration_rows,0.93845636585254932,0.061543634147450677,0.10156266589024311,0.89217758985200846,9.3029119427164524,9.4100189052547787,95,1,3,0.29999999999999999,0.29999999999999999,0.17647058823529413,5,0.5,0.5,0.33333333333333331,15,0.59999999999999998,0.59999999999999998,0.42857142857142855,14,0.56000000000000005,0.56000000000000005,0.3888888888888889
Docking-44,200,4,row_disjoint_complement_map,0.93661734961801246,0.063382650381987538,0.10321885404576268,0.89217758985200846,9.286387562704741,9.4100189052547787,95,1,3,0.29999999999999999,0.29999999999999999,0.17647058823529413,5,0.5,0.5,0.33333333333333331,15,0.59999999999999998,0.59999999999999998,0.42857142857142855,14,0.56000000000000005,0.56000000000000005,0.3888888888888889
