dataset,transformation,tail_fraction_per_side,ligands_per_support,repetition,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr
Docking-44,raw,0.10000000000000001,1265,0,0.98646139270387179,0.013538607296128213,0.032491922765313368,0.99577167019027479,1.7851299118708401,1.8315402133030805
Docking-44,row_centered_residual,0.10000000000000001,1265,0,0.97938897406002812,0.020611025939971883,0.06004282620722013,0.95560253699788589,9.7220280821967719,9.401629751716559
Docking-44,raw,0.14999999999999999,1897,0,0.99231855898440691,0.0076814410155930934,0.037560030574743643,0.9968287526427061,1.7785370063355856,1.8844850862846834
Docking-44,row_centered_residual,0.14999999999999999,1897,0,0.98411665799008929,0.015883342009910706,0.05489852452521142,0.94820295983086678,9.6109036785738784,8.9659141182194269
Docking-44,raw,0.20000000000000001,2530,0,0.99349926804557076,0.0065007319544292397,0.026785561389291081,0.9978858350951374,1.8084126547562802,1.846864464378575
Docking-44,row_centered_residual,0.20000000000000001,2530,0,0.98914212020962822,0.010857879790371783,0.049522717263953124,0.95877378435517968,9.6558229914818146,8.8125416028008079
Docking-44,raw,0.25,3162,0,0.99493394195881846,0.0050660580411815426,0.020654969204048693,0.99577167019027479,1.8197240998822908,1.8354808780447194
Docking-44,row_centered_residual,0.25,3162,0,0.99184235185315683,0.0081576481468431661,0.039442810700489384,0.96194503171247359,9.4494860154003053,9.1559108503802964
Docking-44,raw,0.29999999999999999,3795,0,0.99554249657144944,0.0044575034285505577,0.014716067151863852,0.9989429175475687,1.8315922608539346,1.8180750399503738
Docking-44,row_centered_residual,0.29999999999999999,3795,0,0.99351242199895218,0.0064875780010478223,0.033658482228424325,0.95983086680761098,9.3227899913189205,9.2600478825951438
Docking-44,raw,0.34999999999999998,4427,0,0.99701918375821263,0.0029808162417873652,0.013533842466030203,0.9978858350951374,1.8341609866177786,1.8131148858653563
Docking-44,row_centered_residual,0.34999999999999998,4427,0,0.99478647026595257,0.0052135297340474285,0.03003299258192052,0.96405919661733619,9.3140146950841789,9.3776152134250133
Docking-44,raw,0.40000000000000002,5060,0,0.99743638236799004,0.0025636176320099624,0.014824754788894593,0.9978858350951374,1.8290620140907323,1.8340700392916183
Docking-44,row_centered_residual,0.40000000000000002,5060,0,0.9955109157437193,0.0044890842562806954,0.027958255550180645,0.96511627906976749,9.2505048238408474,9.2161928861572893
Docking-44,raw,0.10000000000000001,1265,1,0.98555959564775653,0.014440404352243474,0.023804474726446548,0.99577167019027479,1.8550182070546251,1.8594730749258961
Docking-44,row_centered_residual,0.10000000000000001,1265,1,0.97544063351877497,0.024559366481225031,0.06707051331999607,0.93868921775898517,9.6810149702299988,9.0149314667746125
Docking-44,raw,0.14999999999999999,1897,1,0.99250947557718017,0.0074905244228198331,0.019699824523868571,0.9989429175475687,1.8334624014729881,1.8061916497599229
Docking-44,row_centered_residual,0.14999999999999999,1897,1,0.98591344833332972,0.014086551666670277,0.04877540953123307,0.94714587737843547,9.3884612301539185,9.5650225247656451
Docking-44,raw,0.20000000000000001,2530,1,0.99412573924987635,0.0058742607501236499,0.023005133450303035,0.9968287526427061,1.8576031159650603,1.8190150602932469
Docking-44,row_centered_residual,0.20000000000000001,2530,1,0.9877028254032747,0.012297174596725302,0.045191207235804456,0.94608879492600417,9.4342443379056249,9.5234830461057776
Docking-44,raw,0.25,3162,1,0.994117787344869,0.0058822126551310028,0.026502356058846224,0.9968287526427061,1.8432093677384269,1.8255622773354594
Docking-44,row_centered_residual,0.25,3162,1,0.98609064399197255,0.013909356008027451,0.049379642913547891,0.94608879492600417,9.5405191064554593,9.0074799288208318
Docking-44,raw,0.29999999999999999,3795,1,0.99436908738743157,0.0056309126125684283,0.024108815098190618,0.9978858350951374,1.8195843052933067,1.8483993831401944
Docking-44,row_centered_residual,0.29999999999999999,3795,1,0.98654231503130085,0.013457684968699146,0.048508338085801087,0.94503171247357298,9.5377494396378264,8.9470285208166587
Docking-44,raw,0.34999999999999998,4427,1,0.99553603299090865,0.0044639670090913519,0.018855059828291252,0.9989429175475687,1.8302464893757351,1.8461133791797779
Docking-44,row_centered_residual,0.34999999999999998,4427,1,0.98935626883859962,0.010643731161400383,0.043852882472754082,0.94926004228329808,9.5873768945777176,8.9491814278099984
Docking-44,raw,0.40000000000000002,5060,1,0.99661370747542477,0.0033862925245752296,0.013685396679398186,1,1.8386338502910708,1.8261438604969791
Docking-44,row_centered_residual,0.40000000000000002,5060,1,0.99333189532840804,0.0066681046715919567,0.034304065764010759,0.96405919661733619,9.5256326789526433,9.1021121928851194
Docking-44,raw,0.10000000000000001,1265,2,0.9809547197479711,0.019045280252028896,0.038207629666045358,0.9968287526427061,1.8764198106798982,1.822683712104723
Docking-44,row_centered_residual,0.10000000000000001,1265,2,0.9708702725720969,0.029129727427903096,0.070207446437357421,0.92177589852008457,9.2032699595541967,9.6491612304387857
Docking-44,raw,0.14999999999999999,1897,2,0.99351850286748722,0.0064814971325127813,0.020313244575282031,0.9989429175475687,1.8378938982366164,1.8459156312996805
Docking-44,row_centered_residual,0.14999999999999999,1897,2,0.98487689412764912,0.015123105872350884,0.050988763891286933,0.94714587737843547,9.5421810853089539,9.148810240371672
Docking-44,raw,0.20000000000000001,2530,2,0.99255827844516697,0.0074417215548330251,0.019630927988495767,0.9978858350951374,1.8525700087887895,1.8724249111525595
Docking-44,row_centered_residual,0.20000000000000001,2530,2,0.98829876469423605,0.011701235305763946,0.045169511766247929,0.94926004228329808,9.5154638121984529,9.1157115789788357
