dataset,calibration_ligands,panel_targets_k,reference_scope,repetitions,cluster_adjusted_rand_index_mean,cluster_adjusted_rand_index_q025,cluster_adjusted_rand_index_q975,sample_vs_fixed_full_source_panel_medoid_overlap_mean,sample_vs_fixed_full_source_panel_medoid_overlap_q025,sample_vs_fixed_full_source_panel_medoid_overlap_q975,sample_vs_fixed_full_source_panel_medoid_jaccard_mean,sample_vs_fixed_full_source_panel_medoid_jaccard_q025,sample_vs_fixed_full_source_panel_medoid_jaccard_q975,fixed_full_source_panel_mean_nearest_distance_on_reference_map_mean,fixed_full_source_panel_mean_nearest_distance_on_reference_map_q025,fixed_full_source_panel_mean_nearest_distance_on_reference_map_q975,sample_map_medoids_mean_nearest_distance_on_reference_map_mean,sample_map_medoids_mean_nearest_distance_on_reference_map_q025,sample_map_medoids_mean_nearest_distance_on_reference_map_q975,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map_mean,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map_q025,sample_minus_fixed_full_source_panel_mean_nearest_distance_on_reference_map_q975,sample_map_medoids_maximum_nearest_distance_on_reference_map_mean,sample_map_medoids_maximum_nearest_distance_on_reference_map_q025,sample_map_medoids_maximum_nearest_distance_on_reference_map_q975,random_panels_on_reference_map_mean,random_panels_on_reference_map_q025,random_panels_on_reference_map_q975,fraction_random_panels_with_mean_coverage_no_worse_than_sample_mean,fraction_random_panels_with_mean_coverage_no_worse_than_sample_q025,fraction_random_panels_with_mean_coverage_no_worse_than_sample_q975,random_mean_nearest_distance_median_mean,random_mean_nearest_distance_median_q025,random_mean_nearest_distance_median_q975,random_mean_nearest_distance_q025_mean,random_mean_nearest_distance_q025_q025,random_mean_nearest_distance_q025_q975,random_mean_nearest_distance_q975_mean,random_mean_nearest_distance_q975_q025,random_mean_nearest_distance_q975_q975
DOCKSTRING-58,200,6,full_source_map_including_calibration_rows,100,0.62255012720830483,0.41056067067125696,0.85161384444537325,2.71,1,4,0.30704329004329001,0.090909090909090912,0.5,0.56629741220678842,0.56629741220678864,0.56629741220678864,0.57622867824590085,0.56865291187112166,0.58945568730679632,0.0099312660391120341,0.0023554996643329689,0.023158275100007699,0.90184615306954286,0.86172460027918285,0.92389439938589124,10000,10000,10000,0.0014509999999999998,0,0.012044999999999952,0.62715641132076028,0.62715641132076039,0.62715641132076039,0.59359080196324432,0.59359080196324443,0.59359080196324443,0.6872939310382834,0.6872939310382834,0.6872939310382834
DOCKSTRING-58,200,6,row_disjoint_complement_map,100,0.62255012720830483,0.41056067067125696,0.85161384444537325,2.71,1,4,0.30704329004329001,0.090909090909090912,0.5,0.56629715235653921,0.56628031997543582,0.5663138151251923,0.576239901915089,0.56866418470329516,0.58947905201647466,0.0099427495585496968,0.002358555602192061,0.02318731735017773,0.90186014397579906,0.86178329515483687,0.92393890646176569,200,200,200,0.00040000000000000002,0,0.0052499999999999145,0.62941892226019069,0.62939967471987124,0.6294354571605828,0.59719531127008452,0.59718181024803985,0.59721095299229487,0.67916592024788069,0.67914100895358087,0.67918388982240674
DOCKSTRING-58,200,8,full_source_map_including_calibration_rows,100,0.59468005441284988,0.40454545213739462,0.81552524359031175,3.6499999999999999,1,6,0.31218470418470418,0.066666666666666666,0.59999999999999998,0.53608801513880344,0.53608801513880355,0.53608801513880355,0.54733311438631249,0.53952918869106092,0.55980949735036722,0.011245099247509027,0.0034411735522573844,0.023721482211563696,0.88631172196065722,0.83357233750752746,0.91563035058073872,10000,10000,10000,0.0014510000000000002,0,0.017024999999999992,0.58865614151348522,0.58865614151348522,0.58865614151348522,0.5618688011837516,0.56186880118375171,0.56186880118375171,0.63708014428473947,0.63708014428473936,0.63708014428473936
DOCKSTRING-58,200,8,row_disjoint_complement_map,100,0.59468005441284988,0.40454545213739462,0.81552524359031175,3.6499999999999999,1,6,0.31218470418470418,0.066666666666666666,0.59999999999999998,0.53608754897939181,0.53606790333699994,0.53610372533600326,0.54734547911620568,0.53955145039621921,0.55983156262306755,0.01125793013681381,0.0034529812513141799,0.023743717948748851,0.88632778776562393,0.8335754755189082,0.91566256064446738,200,200,200,0.00095,0,0.014999999999999999,0.59139351132353191,0.59137506880572144,0.59140920994480473,0.56338729053446968,0.56336778627641237,0.5634042197194572,0.62761103308336952,0.62758132465002259,0.62763380071667207
DOCKSTRING-58,200,10,full_source_map_including_calibration_rows,100,0.63271595158002791,0.44661006117288909,0.83746443120300063,5.04,2,8,0.3516819291819292,0.1111111111111111,0.66666666666666663,0.50753775223979414,0.50753775223979436,0.50753775223979436,0.51886841139324713,0.51060982459179505,0.52968296915486424,0.011330659153452723,0.0030720723520006737,0.022145216915069866,0.8638680610271543,0.80219180584248329,0.9015522617675894,10000,10000,10000,0.001366,0,0.011187499999999987,0.55504003660467927,0.55504003660467904,0.55504003660467904,0.5330540397503899,0.53305403975039001,0.53305403975039001,0.59361836613889174,0.59361836613889174,0.59361836613889174
DOCKSTRING-58,200,10,row_disjoint_complement_map,100,0.63271595158002791,0.44661006117288909,0.83746443120300063,5.04,2,8,0.3516819291819292,0.1111111111111111,0.66666666666666663,0.50753681123468586,0.5075178119063124,0.50755385969616906,0.51888029644924116,0.51062289216124701,0.52969472812951313,0.011343485214555362,0.0030775356730677965,0.022166706733447228,0.86388681896721731,0.80217384541127423,0.90158917516150516,200,200,200,0.00050000000000000001,0,0.01,0.5538628930480235,0.553838131395334,0.5538778655782729,0.53464170254847732,0.53462184511094024,0.53465928901688919,0.58763300257764151,0.58760757570408839,0.5876564932767242
DOCKSTRING-58,500,6,full_source_map_including_calibration_rows,100,0.71974432102977814,0.45159788224194214,0.95607057776182891,3.54,2,5,0.43643290043290045,0.20000000000000001,0.7142857142857143,0.56629741220678842,0.56629741220678864,0.56629741220678864,0.57116525047118505,0.56732741065114267,0.57809211380507997,0.0048678382643964069,0.0010299984443540744,0.011794701598291378,0.89762665599250657,0.84823033169298856,0.91991643054856909,10000,10000,10000,0.00010899999999999999,0,0.00075749999999999743,0.62715641132076028,0.62715641132076039,0.62715641132076039,0.59359080196324432,0.59359080196324443,0.59359080196324443,0.6872939310382834,0.6872939310382834,0.6872939310382834
DOCKSTRING-58,500,6,row_disjoint_complement_map,100,0.71974432102977814,0.45159788224194214,0.95607057776182891,3.54,2,5,0.43643290043290045,0.20000000000000001,0.7142857142857143,0.56629819761376088,0.5662610255669337,0.56632661886377555,0.57118051003167447,0.56735326451926571,0.57809655283603134,0.0048823124179136548,0.0010328698377653294,0.01182528915699891,0.89763653279960776,0.84820714383075879,0.91999578443463104,200,200,200,0,0,0,0.62941949054541391,0.62939283765516829,0.62944683696700909,0.59719613131265614,0.59716132429560675,0.59722887256001156,0.6791660956140676,0.67913299682553918,0.67920271352181139
DOCKSTRING-58,500,8,full_source_map_including_calibration_rows,100,0.65751228985093957,0.41864325677158043,0.86697005810990968,5.0099999999999998,2.4750000000000001,7,0.47313264513264514,0.18461538461538463,0.77777777777777779,0.53608801513880344,0.53608801513880355,0.53608801513880355,0.54163748398569633,0.53697087703216118,0.54832863586498637,0.0055494688468926863,0.00088286189335760044,0.012240620726182849,0.8689187265637337,0.80633872383743554,0.9051534262489056,10000,10000,10000,0.00016999999999999999,0,0.0004049999999999983,0.58865614151348522,0.58865614151348522,0.58865614151348522,0.5618688011837516,0.56186880118375171,0.56186880118375171,0.63708014428473947,0.63708014428473936,0.63708014428473936
DOCKSTRING-58,500,8,row_disjoint_complement_map,100,0.65751228985093957,0.41864325677158043,0.86697005810990968,5.0099999999999998,2.4750000000000001,7,0.47313264513264514,0.18461538461538463,0.77777777777777779,0.53608865049744636,0.53605120507814397,0.53611639760247554,0.54165416643747444,0.53698436089452495,0.54834070156048498,0.0055655159400281587,0.0008903953312723006,0.012259744325773096,0.86896855590566668,0.80641429639546147,0.90501977036659487,200,200,200,0.0001,0,0,0.59139632852376789,0.59136565280750852,0.59142261814988906,0.56338939457577664,0.56336004552544527,0.56341709549861652,0.62761182407547811,0.62757315438541295,0.6276482628384864
