dataset,transformation,tail_fraction_per_side,low_threshold_inclusive,high_threshold_inclusive,low_ligands,high_ligands,low_median_mw,high_median_mw,median_mw_separation,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr,control_geometry_spearman_mean,control_geometry_spearman_q025,control_geometry_spearman_q975,control_repetitions,observed_minus_control_mean_geometry_spearman,observed_below_control_q025
Docking-44,raw,0.10000000000000001,168.14799999999997,439.55200000000031,1265,1265,142.589,556.90700000000004,414.31800000000004,0.1747329990202218,0.82526700097977823,0.56303321993653399,0.93974630021141647,1.148677388946044,3.5502715565345171,0.98765811684502269,0.98071145311389885,0.99268381967701724,100,-0.81292511782480092,True
Docking-44,row_centered_residual,0.10000000000000001,168.14799999999997,439.55200000000031,1265,1265,142.589,556.90700000000004,414.31800000000004,0.20958271173639165,0.79041728826360835,0.30867313508314148,0.56976744186046513,12.813538374159481,11.321461618165488,0.97818165545834301,0.96774323766489956,0.98536539375590471,100,-0.76859894372195137,True
Docking-44,raw,0.14999999999999999,187.26799999999997,394.55900000000003,1897,1897,157.17599999999999,482.48500000000018,325.3090000000002,0.20123737878704601,0.79876262121295394,0.50873498605909129,0.97145877378435519,1.1704053867119986,3.2092329165720304,0.99192293980368917,0.98734868780987484,0.99525968019521693,100,-0.79068556101664322,True
Docking-44,row_centered_residual,0.14999999999999999,187.26799999999997,394.55900000000003,1897,1897,157.17599999999999,482.48500000000018,325.3090000000002,0.20280002025538724,0.79719997974461276,0.31167265147154494,0.57610993657505283,13.206655206129939,10.803852419063924,0.98577012693954802,0.9783348381356779,0.98995809055483397,100,-0.78297010668416078,True
Docking-44,raw,0.20000000000000001,204.18499999999997,368.35899999999998,2530,2530,168.14799999999997,439.54150000000027,271.3935000000003,0.20743806452900038,0.79256193547099962,0.48333931705872457,0.97251585623678649,1.1762070967477662,3.0515033675076064,0.99403146863641434,0.98978459267376528,0.99605043194542453,100,-0.78659340410741396,True
Docking-44,row_centered_residual,0.20000000000000001,204.18499999999997,368.35899999999998,2530,2530,168.14799999999997,439.54150000000027,271.3935000000003,0.20105693716361428,0.79894306283638572,0.31471588414371104,0.57293868921775903,13.240914586476768,10.435938918969503,0.9893857073295691,0.98264464910323313,0.99284425467598747,100,-0.78832877016595482,True
Docking-44,raw,0.25,218.29999999999995,349.3370000000001,3162,3162,178.05399999999997,413.60550000000012,235.55150000000015,0.22734823139037175,0.77265176860962825,0.46785527320197623,0.97251585623678649,1.1871945866144871,2.9948416981364807,0.99507348357543579,0.99187454572882228,0.9970636835966763,100,-0.76772525218506404,True
Docking-44,row_centered_residual,0.25,218.29999999999995,349.3370000000001,3162,3162,178.05399999999997,413.60550000000012,235.55150000000015,0.20505891408374152,0.79494108591625845,0.31539473657739814,0.57505285412262153,13.631705826297773,10.148256588661397,0.99120636288475961,0.98618330211218397,0.99393294807700139,100,-0.78614744880101806,True
Docking-44,raw,0.29999999999999999,231.339,332.46299999999997,3795,3795,187.28299999999996,394.55600000000032,207.27300000000037,0.24979302899295039,0.75020697100704958,0.44982473962376457,0.97568710359408028,1.1995736262246399,2.9207081396133376,0.99592437554069135,0.99372103760453734,0.99739553494864008,100,-0.74613134654774094,True
Docking-44,row_centered_residual,0.29999999999999999,231.339,332.46299999999997,3795,3795,187.28299999999996,394.55600000000032,207.27300000000037,0.21171100154916855,0.78828899845083145,0.3172469297116941,0.58350951374207183,13.754705241813312,9.9011829907601356,0.99278063794760329,0.98854743926156685,0.99503888300823529,100,-0.78106963639843474,True
Docking-44,raw,0.34999999999999998,245.32599999999999,318.68600000000004,4427,4427,195.262,379.9170000000002,184.6550000000002,0.29086205276868565,0.7091379472313144,0.4297630753948451,0.98202959830866809,1.216289928029425,2.846752616283311,0.99660244610378423,0.99482682157714675,0.99781845262236202,100,-0.70574039333509853,True
Docking-44,row_centered_residual,0.34999999999999998,245.32599999999999,318.68600000000004,4427,4427,195.262,379.9170000000002,184.6550000000002,0.23107162231938144,0.76892837768061861,0.31647637329059869,0.60042283298097254,13.923539515832976,9.7313483940380632,0.99383043597311405,0.98996016924800578,0.99576210487067285,100,-0.76275881365373266,True
Docking-44,raw,0.40000000000000002,258.27799999999996,306.45300000000015,5060,5060,204.18700000000001,368.35899999999998,164.17199999999997,0.35104419604309095,0.64895580395690899,0.41153341862941273,0.98202959830866809,1.2329762577313832,2.7801570406864293,0.99707726880978997,0.99556158078910451,0.99815195672320978,100,-0.64603307276669897,True
Docking-44,row_centered_residual,0.40000000000000002,258.27799999999996,306.45300000000015,5060,5060,204.18700000000001,368.35899999999998,164.17199999999997,0.25931093482970891,0.74068906517029109,0.31321769593011534,0.62156448202959835,14.057994732134942,9.6366338788065971,0.99469661600729098,0.99165165354797224,0.99640455926229843,100,-0.73538568117758207,True
DOCKSTRING-58,raw,0.10000000000000001,276.32100000000003,515.03900000000021,1500,1500,248.54300000000001,562.74000000000024,314.19700000000023,0.13354499739341619,0.86645500260658381,0.31288336947700768,0.97761645493042948,1.5369212044717879,3.0285404871328705,0.99057044396826244,0.98768073127400713,0.99321707069056664,100,-0.85702544657484625,True
DOCKSTRING-58,row_centered_residual,0.10000000000000001,276.32100000000003,515.03900000000021,1500,1500,248.54300000000001,562.74000000000024,314.19700000000023,0.1737052568261509,0.8262947431738491,0.2238891563258692,0.573502722323049,19.47617340756862,23.047466293341365,0.97605038026569102,0.97118528476010846,0.98012618053267109,100,-0.80234512343954012,True
DOCKSTRING-58,raw,0.14999999999999999,295.34199999999998,486.5010000000002,2250,2250,264.28250000000003,536.56700000000023,272.28450000000021,0.23814731805191369,0.76185268194808631,0.2943683100696054,0.97580157289776159,1.6037820521218182,3.0501962345782654,0.9939913932228055,0.99208552567615893,0.99515674037588353,100,-0.7558440751708918,True
DOCKSTRING-58,row_centered_residual,0.14999999999999999,295.34199999999998,486.5010000000002,2250,2250,264.28250000000003,536.56700000000023,272.28450000000021,0.23415259133815425,0.76584740866184575,0.2146565128831516,0.59286146400483963,19.355689763573192,23.663973145148976,0.98459855543358543,0.98150934448167293,0.98703935706954726,100,-0.75044596409543118,True
DOCKSTRING-58,raw,0.20000000000000001,311.34500000000003,465.95900000000017,3000,3000,276.32849999999996,514.85800000000017,238.52950000000021,0.33139736564493683,0.66860263435506317,0.2688045025105496,0.98124621899576525,1.6887161246570441,3.0242901295037354,0.99542836393590262,0.99396397701387817,0.99641771418299074,100,-0.66403099829096579,True
DOCKSTRING-58,row_centered_residual,0.20000000000000001,311.34500000000003,465.95900000000017,3000,3000,276.32849999999996,514.85800000000017,238.52950000000021,0.29527352115696454,0.70472647884303541,0.20472960447178573,0.61343012704174227,19.537497891973363,24.039195954732627,0.98822991393892323,0.98631509233625669,0.99010495590678493,100,-0.69295639278195864,True
DOCKSTRING-58,raw,0.25,325.36800000000005,449.49500000000023,3750,3750,286.29850000000005,498.57300000000021,212.27450000000016,0.40948415146085937,0.59051584853914063,0.25897134776977865,0.98245614035087714,1.7508483522372456,3.0803385114061475,0.99630753320601362,0.99499530229615885,0.99713847669041256,100,-0.58682338174515425,True
DOCKSTRING-58,row_centered_residual,0.25,325.36800000000005,449.49500000000023,3750,3750,286.29850000000005,498.57300000000021,212.27450000000016,0.35055518409903796,0.64944481590096204,0.19687861597623629,0.63278886872353302,19.550301847887351,23.799697948677796,0.99043939294517802,0.98788764422365116,0.99183256683862042,100,-0.63988420884614006,True
DOCKSTRING-58,raw,0.29999999999999999,338.40000000000009,434.86100000000027,4500,4500,295.34199999999998,486.47550000000024,191.13350000000025,0.48555166308942088,0.51444833691057912,0.24170313978363048,0.98548094373865702,1.8176968006710035,3.0663841035689838,0.99686024948717844,0.99569062664024033,0.99765570420109972,100,-0.51130858639775756,True
DOCKSTRING-58,row_centered_residual,0.29999999999999999,338.40000000000009,434.86100000000027,4500,4500,295.34199999999998,486.47550000000024,191.13350000000025,0.41464916148152409,0.58535083851847591,0.18723281154315383,0.6594071385359952,19.67035464366495,23.603524092872536,0.9920206371648248,0.99034671603039237,0.99327768022686247,100,-0.57737147568330072,True
DOCKSTRING-58,raw,0.34999999999999998,349.75200000000007,421.51200000000028,5250,5250,303.42149999999998,475.59600000000023,172.17450000000025,0.55117598724311967,0.44882401275688033,0.22945921314630274,0.98548094373865702,1.8656224487542525,3.0577345060150227,0.99731439033152713,0.99621351165913619,0.99806952565020712,100,-0.44613840308840746,True
DOCKSTRING-58,row_centered_residual,0.34999999999999998,349.75200000000007,421.51200000000028,5250,5250,303.42149999999998,475.59600000000023,172.17450000000025,0.47497227882748877,0.52502772117251117,0.17811961932911277,0.67634603750756206,19.627979053424024,23.369060636768758,0.99314513586922715,0.99144698411140919,0.9942416306353018,100,-0.51817285704173832,True
DOCKSTRING-58,raw,0.40000000000000002,361.47000000000008,409.48600000000016,6000,6000,311.34700000000009,465.95850000000019,154.61150000000009,0.59812055394724095,0.40187944605275905,0.2165715092083734,0.98608590441621291,1.9153522372255862,3.0301787116922032,0.99761444814243094,0.99631764867951766,0.99824862330933706,100,-0.39949389419518999,True
DOCKSTRING-58,row_centered_residual,0.40000000000000002,361.47000000000008,409.48600000000016,6000,6000,311.34700000000009,465.95850000000019,154.61150000000009,0.52840277282981141,0.47159722717018859,0.16903549243462099,0.68784029038112526,19.649122206066096,23.218740125764707,0.99392616180843563,0.99257874133966251,0.99504730352227255,100,-0.46552338897862422,True
