dataset,transformation,thresholds_tested,minimum_tail_fraction,maximum_tail_fraction,minimum_geometry_spearman,maximum_geometry_spearman,median_geometry_spearman,minimum_equal_n_random_control_mean,maximum_equal_n_random_control_mean,minimum_observed_minus_control_mean,maximum_observed_minus_control_mean,observed_below_control_q025_at_every_threshold
DOCKSTRING-58,raw,7,0.10000000000000001,0.40000000000000002,0.13354499739341619,0.59812055394724095,0.40948415146085937,0.99057044396826244,0.99761444814243094,-0.85702544657484625,-0.39949389419518999,True
DOCKSTRING-58,row_centered_residual,7,0.10000000000000001,0.40000000000000002,0.1737052568261509,0.52840277282981141,0.35055518409903796,0.97605038026569102,0.99392616180843563,-0.80234512343954012,-0.46552338897862422,True
Docking-44,raw,7,0.10000000000000001,0.40000000000000002,0.1747329990202218,0.35104419604309095,0.22734823139037175,0.98765811684502269,0.99707726880978997,-0.81292511782480092,-0.64603307276669897,True
Docking-44,row_centered_residual,7,0.10000000000000001,0.40000000000000002,0.20105693716361428,0.25931093482970891,0.20958271173639165,0.97818165545834301,0.99469661600729098,-0.78832877016595482,-0.73538568117758207,True
