dataset,transformation,first_mw_decile,second_mw_decile,decile_separation,first_median_molecular_weight,second_median_molecular_weight,median_mw_separation,geometry_spearman,geometry_dissimilarity,edge_correlation_rmse,edge_sign_agreement,first_pr,second_pr
DOCKSTRING-58,raw,8,9,1,449.49250000000023,486.47550000000024,36.983000000000004,0.95319338358702432,0.046806616412975677,0.047759406105683702,0.98971566848154868,3.0733614137718459,2.9388869759875029
DOCKSTRING-58,raw,8,10,2,449.49250000000023,562.74000000000024,113.2475,0.80814546587338065,0.19185453412661935,0.080434680502369127,0.97882637628554148,3.0733614137718459,3.0285404871328705
DOCKSTRING-58,raw,9,10,1,486.47550000000024,562.74000000000024,76.264499999999998,0.89112337765736427,0.10887662234263573,0.0535357075127183,0.98669086509376891,2.9388869759875029,3.0285404871328705
DOCKSTRING-58,row_centered_residual,1,2,1,248.54300000000001,295.34199999999998,46.798999999999978,0.82176555904491644,0.17823444095508356,0.11003260552344858,0.82516636418632794,19.47617340756862,18.435612375207139
DOCKSTRING-58,row_centered_residual,1,3,2,248.54300000000001,325.36800000000005,76.825000000000045,0.69195830968604666,0.30804169031395334,0.1412294032415054,0.76164549304295226,19.47617340756862,19.472537803034768
DOCKSTRING-58,row_centered_residual,1,4,3,248.54300000000001,349.76650000000006,101.22350000000006,0.61080319461449362,0.38919680538550638,0.15725677693817725,0.73079249848759831,19.47617340756862,20.254654994759505
DOCKSTRING-58,row_centered_residual,1,5,4,248.54300000000001,373.46900000000011,124.9260000000001,0.51736767676985584,0.48263232323014416,0.1741358210059179,0.69872958257713247,19.47617340756862,20.783240159806041
DOCKSTRING-58,row_centered_residual,1,6,5,248.54300000000001,396.47950000000014,147.93650000000014,0.4299675206941776,0.57003247930582246,0.18909127980476489,0.66848154869933452,19.47617340756862,21.042293357080773
DOCKSTRING-58,row_centered_residual,1,7,6,248.54300000000001,421.50950000000012,172.96650000000011,0.36128356041414811,0.63871643958585189,0.19639735488846727,0.64307320024198422,19.47617340756862,22.332933545856253
DOCKSTRING-58,row_centered_residual,1,8,7,248.54300000000001,449.49250000000023,200.94950000000023,0.29841447204959931,0.70158552795040063,0.20588425764055621,0.62008469449485781,19.47617340756862,22.877338694545063
DOCKSTRING-58,row_centered_residual,1,9,8,248.54300000000001,486.47550000000024,237.93250000000023,0.24479865126417732,0.75520134873582268,0.20948892164965419,0.61343012704174227,19.47617340756862,24.521254932615516
