dataset,calibration_ligands,reference_scope,repetitions,geometry_spearman_mean,geometry_spearman_q025,geometry_spearman_q975,geometry_dissimilarity_mean,geometry_dissimilarity_q025,geometry_dissimilarity_q975,edge_correlation_rmse_mean,edge_correlation_rmse_q025,edge_correlation_rmse_q975,edge_sign_agreement_mean,edge_sign_agreement_q025,edge_sign_agreement_q975,first_pr_mean,first_pr_q025,first_pr_q975,second_pr_mean,second_pr_q025,second_pr_q975,reference_abs_top10pct_edges_mean,reference_abs_top10pct_edges_q025,reference_abs_top10pct_edges_q975,reference_abs_top10pct_sign_agreement_mean,reference_abs_top10pct_sign_agreement_q025,reference_abs_top10pct_sign_agreement_q975,top_positive_10_intersection_mean,top_positive_10_intersection_q025,top_positive_10_intersection_q975,top_positive_10_precision_mean,top_positive_10_precision_q025,top_positive_10_precision_q975,top_positive_10_recall_mean,top_positive_10_recall_q025,top_positive_10_recall_q975,top_positive_10_jaccard_mean,top_positive_10_jaccard_q025,top_positive_10_jaccard_q975,top_negative_10_intersection_mean,top_negative_10_intersection_q025,top_negative_10_intersection_q975,top_negative_10_precision_mean,top_negative_10_precision_q025,top_negative_10_precision_q975,top_negative_10_recall_mean,top_negative_10_recall_q025,top_negative_10_recall_q975,top_negative_10_jaccard_mean,top_negative_10_jaccard_q025,top_negative_10_jaccard_q975,top_positive_25_intersection_mean,top_positive_25_intersection_q025,top_positive_25_intersection_q975,top_positive_25_precision_mean,top_positive_25_precision_q025,top_positive_25_precision_q975,top_positive_25_recall_mean,top_positive_25_recall_q025,top_positive_25_recall_q975,top_positive_25_jaccard_mean,top_positive_25_jaccard_q025,top_positive_25_jaccard_q975,top_negative_25_intersection_mean,top_negative_25_intersection_q025,top_negative_25_intersection_q975,top_negative_25_precision_mean,top_negative_25_precision_q025,top_negative_25_precision_q975,top_negative_25_recall_mean,top_negative_25_recall_q025,top_negative_25_recall_q975,top_negative_25_jaccard_mean,top_negative_25_jaccard_q025,top_negative_25_jaccard_q975
DOCKSTRING-58,200,full_source_map_including_calibration_rows,100,0.91981192911586251,0.89575257727505153,0.93660405287078341,0.080188070884137694,0.063395947129216562,0.10424742272494847,0.076580063239949953,0.070048787347044117,0.089813863260652799,0.87684815486993339,0.85630671506352085,0.89476709013914091,18.20587553764161,18.20587553764161,18.20587553764161,16.46118115352747,15.124393525939251,17.890793488857838,166,166,166,0.99909638554216851,1,1,6.3899999999999997,4,8.5249999999999915,0.63900000000000001,0.40000000000000002,0.85249999999999915,0.63900000000000001,0.40000000000000002,0.85249999999999915,0.48130258630258638,0.25,0.74621212121211988,6.7699999999999996,3.4750000000000001,9,0.67699999999999994,0.34750000000000003,0.90000000000000002,0.67699999999999994,0.34750000000000003,0.90000000000000002,0.52694979856744562,0.21139705882352944,0.81818181818181823,18.199999999999999,15,21,0.72799999999999998,0.59999999999999998,0.83999999999999997,0.72799999999999998,0.59999999999999998,0.83999999999999997,0.57732429947125208,0.42857142857142855,0.72413793103448276,18.559999999999999,15,21.524999999999991,0.74240000000000006,0.59999999999999998,0.86099999999999965,0.74240000000000006,0.59999999999999998,0.86099999999999965,0.59619114380854077,0.42857142857142855,0.75646551724137878
DOCKSTRING-58,200,row_disjoint_complement_map,100,0.91968614243083424,0.89559454404858296,0.93648524911721565,0.080313857569165925,0.063514750882784396,0.10440545595141702,0.076639177475364334,0.070101804114291816,0.089891913609625923,0.87684815486993339,0.85630671506352085,0.89476709013914091,18.205882369953645,18.20447082545514,18.207299878819718,16.46118115352747,15.124393525939251,17.890793488857838,166,166,166,0.99909638554216851,1,1,6.3899999999999997,4,8.5249999999999915,0.63900000000000001,0.40000000000000002,0.85249999999999915,0.63900000000000001,0.40000000000000002,0.85249999999999915,0.48130258630258638,0.25,0.74621212121211988,6.7699999999999996,3.4750000000000001,9,0.67699999999999994,0.34750000000000003,0.90000000000000002,0.67699999999999994,0.34750000000000003,0.90000000000000002,0.52694979856744562,0.21139705882352944,0.81818181818181823,18.199999999999999,15,21,0.72799999999999998,0.59999999999999998,0.83999999999999997,0.72799999999999998,0.59999999999999998,0.83999999999999997,0.57732429947125208,0.42857142857142855,0.72413793103448276,18.559999999999999,15,21.524999999999991,0.74240000000000006,0.59999999999999998,0.86099999999999965,0.74240000000000006,0.59999999999999998,0.86099999999999965,0.59619114380854077,0.42857142857142855,0.75646551724137878
DOCKSTRING-58,500,full_source_map_including_calibration_rows,100,0.96556742432796971,0.95498169897020568,0.97167619416722795,0.034432575672030105,0.028323805832772095,0.045018301029794275,0.048335075551209083,0.044319146953353247,0.055684685418637761,0.92022988505747139,0.90562613430127037,0.93561705989110711,18.20587553764161,18.20587553764161,18.20587553764161,17.417342773864238,16.327672203735169,18.45016782637801,166,166,166,1,1,1,7.79,6,9,0.77900000000000025,0.59999999999999998,0.90000000000000002,0.77900000000000025,0.59999999999999998,0.90000000000000002,0.64715617715617713,0.42857142857142855,0.81818181818181823,7.7599999999999998,5,9.5249999999999915,0.77599999999999991,0.5,0.95249999999999913,0.77599999999999991,0.5,0.95249999999999913,0.64615051615051611,0.33333333333333331,0.91363636363636214,20.449999999999999,18,23,0.81800000000000006,0.71999999999999997,0.92000000000000004,0.81800000000000006,0.71999999999999997,0.92000000000000004,0.69559970439317587,0.5625,0.85185185185185186,21.289999999999999,19,24,0.85160000000000013,0.76000000000000001,0.95999999999999996,0.85160000000000013,0.76000000000000001,0.95999999999999996,0.74461386430588317,0.61290322580645162,0.92307692307692313
DOCKSTRING-58,500,row_disjoint_complement_map,100,0.96543294244131905,0.95481381682942112,0.97156623318859181,0.03456705755868103,0.028433766811408235,0.045186183170578847,0.048428521843024305,0.044402622900484551,0.055794023112907952,0.92022383545069575,0.90562613430127037,0.93561705989110711,18.206013899749227,18.20395746252608,18.208397312646451,17.417342773864238,16.327672203735169,18.45016782637801,166,166,166,1,1,1,7.79,6,9,0.77900000000000025,0.59999999999999998,0.90000000000000002,0.77900000000000025,0.59999999999999998,0.90000000000000002,0.64715617715617713,0.42857142857142855,0.81818181818181823,7.7599999999999998,5,9.5249999999999915,0.77599999999999991,0.5,0.95249999999999913,0.77599999999999991,0.5,0.95249999999999913,0.64615051615051611,0.33333333333333331,0.91363636363636214,20.449999999999999,18,23,0.81800000000000006,0.71999999999999997,0.92000000000000004,0.81800000000000006,0.71999999999999997,0.92000000000000004,0.69559970439317587,0.5625,0.85185185185185186,21.289999999999999,19,24,0.85160000000000013,0.76000000000000001,0.95999999999999996,0.85160000000000013,0.76000000000000001,0.95999999999999996,0.74461386430588317,0.61290322580645162,0.92307692307692313
Docking-44,200,full_source_map_including_calibration_rows,100,0.94144825962246925,0.89105425640775948,0.96623466525261659,0.058551740377530657,0.033765334747383399,0.10894574359224048,0.10346457600325434,0.085827421111399071,0.13282537673874045,0.89823467230443976,0.85034355179704013,0.93028541226215644,9.3029119427164524,9.3029119427164524,9.3029119427164524,8.581252207837391,7.1857965049688799,10.229625050578031,95,95,95,0.99926315789473685,0.98947368421052628,1,5.5199999999999996,2,8.5249999999999915,0.55200000000000005,0.20000000000000001,0.85249999999999915,0.55200000000000005,0.20000000000000001,0.85249999999999915,0.40018611677280413,0.1111111111111111,0.74621212121211988,4.9500000000000002,2,8,0.49500000000000005,0.20000000000000001,0.80000000000000004,0.49500000000000005,0.20000000000000001,0.80000000000000004,0.33961556417438776,0.1111111111111111,0.66666666666666663,17.120000000000001,12.475,20,0.68480000000000008,0.499,0.80000000000000004,0.68480000000000008,0.499,0.80000000000000004,0.52646971923378105,0.33268136557610239,0.66666666666666663,15.49,12,19.524999999999991,0.61959999999999993,0.47999999999999998,0.78099999999999969,0.61959999999999993,0.47999999999999998,0.78099999999999969,0.45441226008741298,0.31578947368421051,0.64112903225806406
Docking-44,200,row_disjoint_complement_map,100,0.93964927265406128,0.88819926276201899,0.96487225445330593,0.060350727345938812,0.035127745546694109,0.11180073723798099,0.1051425162150932,0.087260540816180329,0.13494328321225443,0.89641649048625793,0.84978858350951381,0.92917547568710357,9.3022561505031405,9.2666187538780651,9.3388638709917,8.581252207837391,7.1857965049688799,10.229625050578031,95,95,95,0.99926315789473685,0.98947368421052628,1,5.5,2,8.5249999999999915,0.55000000000000004,0.20000000000000001,0.85249999999999915,0.55000000000000004,0.20000000000000001,0.85249999999999915,0.39762201420870158,0.1111111111111111,0.74621212121211988,4.7999999999999998,2,8,0.47999999999999998,0.20000000000000001,0.80000000000000004,0.47999999999999998,0.20000000000000001,0.80000000000000004,0.3270313793533608,0.1111111111111111,0.66666666666666663,17.120000000000001,12.475,20,0.68480000000000008,0.499,0.80000000000000004,0.68480000000000008,0.499,0.80000000000000004,0.52646971923378105,0.33268136557610239,0.66666666666666663,15.300000000000001,11,19.524999999999991,0.61199999999999999,0.44,0.78099999999999969,0.61199999999999999,0.44,0.78099999999999969,0.44688549892288082,0.28205128205128205,0.64112903225806406
Docking-44,500,full_source_map_including_calibration_rows,100,0.97527826795035355,0.95870475799259458,0.98364306393136725,0.02472173204964654,0.016356936068632751,0.04129524200740535,0.066671887522860351,0.055177087583266275,0.083893086978626422,0.93353065539112057,0.90747885835095132,0.95298625792811842,9.3029119427164524,9.3029119427164524,9.3029119427164524,8.9844791138285203,8.149303894594528,9.960029588151448,95,95,95,1,1,1,6.2300000000000004,3.4750000000000001,9,0.623,0.34750000000000003,0.90000000000000002,0.623,0.34750000000000003,0.90000000000000002,0.46992690316219737,0.21139705882352944,0.81818181818181823,6.3399999999999999,4,8,0.63400000000000001,0.40000000000000002,0.80000000000000004,0.63400000000000001,0.40000000000000002,0.80000000000000004,0.47491674991674993,0.25,0.66666666666666663,19.710000000000001,17,22.524999999999991,0.78839999999999999,0.68000000000000005,0.90099999999999969,0.78839999999999999,0.68000000000000005,0.90099999999999969,0.65468290608622182,0.51515151515151514,0.82043650793650735,18.600000000000001,15,21,0.74400000000000011,0.59999999999999998,0.83999999999999997,0.74400000000000011,0.59999999999999998,0.83999999999999997,0.59613655642760688,0.42857142857142855,0.72413793103448276
Docking-44,500,row_disjoint_complement_map,100,0.97330416841057543,0.95613242374029184,0.98209207285433286,0.026695831589424721,0.01790792714566708,0.043867576259708163,0.069417170845024675,0.057489263911053405,0.087262409057677348,0.93076109936575069,0.90430761099365753,0.95142706131078225,9.3012146220875742,9.2500975648990345,9.3415798418315017,8.9844791138285203,8.149303894594528,9.960029588151448,95,95,95,1,1,1,6.1799999999999997,3.4750000000000001,9,0.61799999999999999,0.34750000000000003,0.90000000000000002,0.61799999999999999,0.34750000000000003,0.90000000000000002,0.46364984688514105,0.21139705882352944,0.81818181818181823,6.0599999999999996,4,8,0.60599999999999998,0.40000000000000002,0.80000000000000004,0.60599999999999998,0.40000000000000002,0.80000000000000004,0.44520939844469259,0.25,0.66666666666666663,19.66,17,22.524999999999991,0.7864000000000001,0.68000000000000005,0.90099999999999969,0.7864000000000001,0.68000000000000005,0.90099999999999969,0.65202180536825238,0.51515151515151514,0.82043650793650735,18.309999999999999,15,21,0.73240000000000005,0.59999999999999998,0.83999999999999997,0.73240000000000005,0.59999999999999998,0.83999999999999997,0.58134823914734601,0.42857142857142855,0.72413793103448276
