panel,resampling_unit,clusters,statistic,repeats,point_estimate,resampled_median_minus_point_estimate,mean,median,standard_deviation,lower_95,upper_95,fraction_matched_above_broad,seed
DAVIS,ligand,,matched_support_spearman,5000,0.3234027477069638,-0.06430561569718368,0.2636588581401147,0.25909713200978013,0.07408856790122678,0.1321142734672633,0.41879891701330096,0.3738,20360806
DAVIS,ligand,,broad_support_spearman,5000,0.29772249121932237,-0.017269176431480182,0.28155274993767143,0.2804533147878422,0.04149231083884375,0.20541239661107397,0.36741224789723004,0.3738,20360806
DAVIS,ligand,,matched_minus_broad_support,5000,0.02568025648764144,-0.048261141509970365,-0.01789389179755672,-0.022580885022328925,0.06979764876781026,-0.14226106277911185,0.1306419626728252,0.3738,20360806
DAVIS,murcko_scaffold,59.0,matched_support_spearman,5000,0.3234027477069638,-0.06525301036185577,0.26270176523332767,0.25814973734510804,0.07357137811693522,0.13286492846426715,0.41553320473959765,0.3678,20360807
DAVIS,murcko_scaffold,59.0,broad_support_spearman,5000,0.29772249121932237,-0.017370651760290845,0.2819099773867479,0.2803518394590315,0.04265063805588303,0.20246952459683243,0.36988483424967306,0.3678,20360807
DAVIS,murcko_scaffold,59.0,matched_minus_broad_support,5000,0.02568025648764144,-0.050999225813224136,-0.019208212153420202,-0.025318969325582696,0.06932793868642725,-0.14130264579424126,0.12704050702672914,0.3678,20360807
DAVIS,butina_cluster,57.0,matched_support_spearman,5000,0.3234027477069638,-0.06499669767787714,0.26246040126494247,0.2584060500290867,0.07442840445492382,0.13086809519435585,0.4190917083284125,0.3726,20360808
DAVIS,butina_cluster,57.0,broad_support_spearman,5000,0.29772249121932237,-0.017700446578925555,0.28090002808067294,0.2800220446403968,0.042260991505113706,0.20223630629803133,0.3665656724708804,0.3726,20360808
DAVIS,butina_cluster,57.0,matched_minus_broad_support,5000,0.02568025648764144,-0.04863467569447179,-0.01843962681573043,-0.022954419206830348,0.06972720508423311,-0.1397665630043696,0.13247512323566324,0.3726,20360808
PKIS2,ligand,,matched_support_spearman,5000,0.30996251536345226,-0.03128326925516228,0.2799553323098322,0.27867924610829,0.05227215564242964,0.17970882704142557,0.38453183569744603,0.2266,21360806
PKIS2,ligand,,broad_support_spearman,5000,0.32511033255039873,-0.010898975186657778,0.3145353187506288,0.31421135736374095,0.034072183017849623,0.24916042287218923,0.3840503090186198,0.2266,21360806
PKIS2,ligand,,matched_minus_broad_support,5000,-0.015147817186946466,-0.01999151456302181,-0.03457998644079659,-0.03513933174996828,0.047488775236650044,-0.1250724105201923,0.06257414915998553,0.2266,21360806
PKIS2,murcko_scaffold,111.0,matched_support_spearman,5000,0.30996251536345226,-0.03174078302212774,0.2788370486425488,0.2782217323413245,0.059711625437088724,0.16253360276782708,0.39817370651760287,0.2546,21360807
PKIS2,murcko_scaffold,111.0,broad_support_spearman,5000,0.32511033255039873,-0.011243641389687142,0.31358363167954795,0.3138666911607116,0.037170314412992525,0.23924803282202017,0.3838625796603201,0.2546,21360807
PKIS2,murcko_scaffold,111.0,matched_minus_broad_support,5000,-0.015147817186946466,-0.02024695245968322,-0.03474658303699914,-0.03539476964662969,0.052525117637673216,-0.1368230786390059,0.06835172573668019,0.2546,21360807
PKIS2,butina_cluster,103.0,matched_support_spearman,5000,0.30996251536345226,-0.03220966902421846,0.2774374515695872,0.2777528463392338,0.05755030387418867,0.1636797491109974,0.38832915622389297,0.2472,21360808
PKIS2,butina_cluster,103.0,broad_support_spearman,5000,0.32511033255039873,-0.010598048349495015,0.31367931976538205,0.3145122842009037,0.03879736780298344,0.2329488643073653,0.38595563953513795,0.2472,21360808
PKIS2,butina_cluster,103.0,matched_minus_broad_support,5000,-0.015147817186946466,-0.02131944171073402,-0.036241868195794905,-0.03646725889768049,0.052297970289012535,-0.1358970287848767,0.06747811938222521,0.2472,21360808
