panel,neighbours_per_matched_ligand,descriptor,matched_ligand_mean,broad_pool_mean,propensity_support_mean,broad_pool_sd,standardized_mean_difference_before,standardized_mean_difference_after,spearman_against_matched_endpoint
DAVIS,20,molecular_weight,449.55827118644083,392.94844552473774,449.4848279661019,98.80933159044574,-0.5729198320695545,-0.0007432822301012124,0.21034523481478568
DAVIS,20,clogp,4.197186101694918,3.412243773315476,4.1971205847457655,1.5322587567701438,-0.5122779197124812,-4.2758410658182745e-05,0.21034523481478568
DAVIS,20,tpsa,89.52983050847457,79.97917626998606,89.42857627118644,35.2095994517916,-0.27125143106399485,-0.0028757565795943956,0.21034523481478568
DAVIS,50,molecular_weight,449.55827118644083,392.94844552473774,449.5260783050849,98.80933159044574,-0.5729198320695545,-0.0003258081077804728,0.24669089827535684
DAVIS,50,clogp,4.197186101694918,3.412243773315476,4.192631264406782,1.5322587567701438,-0.5122779197124812,-0.002972629308208827,0.24669089827535684
DAVIS,50,tpsa,89.52983050847457,79.97917626998606,89.46152542372882,35.2095994517916,-0.27125143106399485,-0.001939956313307113,0.24669089827535684
DAVIS,100,molecular_weight,449.55827118644083,392.94844552473774,449.44666576271203,98.80933159044574,-0.5729198320695545,-0.0011295028711726062,0.25334453061099527
DAVIS,100,clogp,4.197186101694918,3.412243773315476,4.1940148423728845,1.5322587567701438,-0.5122779197124812,-0.0020696630435395338,0.25334453061099527
DAVIS,100,tpsa,89.52983050847457,79.97917626998606,89.38310338983052,35.2095994517916,-0.27125143106399485,-0.004167247595223189,0.25334453061099527
PKIS2,20,molecular_weight,407.0045519480521,392.94844552473774,407.1090126623378,98.80933159044574,-0.14225484776655956,0.0010571948276911559,0.3208781115091393
PKIS2,20,clogp,3.9834251948051964,3.412243773315476,3.9812819318181845,1.5322587567701438,-0.3727708645592713,-0.0013987604753639654,0.3208781115091393
PKIS2,20,tpsa,87.28707792207791,79.97917626998606,87.20730194805195,35.2095994517916,-0.20755423991964791,-0.0022657450032915315,0.3208781115091393
PKIS2,50,molecular_weight,407.0045519480521,392.94844552473774,407.2918902597404,98.80933159044574,-0.14225484776655956,0.0029080078476680137,0.32905737292620735
PKIS2,50,clogp,3.9834251948051964,3.412243773315476,3.976503329870132,1.5322587567701438,-0.3727708645592713,-0.0045174256009246384,0.32905737292620735
PKIS2,50,tpsa,87.28707792207791,79.97917626998606,87.08507402597404,35.2095994517916,-0.20755423991964791,-0.005737182451647154,0.32905737292620735
PKIS2,100,molecular_weight,407.0045519480521,392.94844552473774,407.3694240259742,98.80933159044574,-0.14225484776655956,0.003692688454063457,0.3293145603975034
PKIS2,100,clogp,3.9834251948051964,3.412243773315476,3.9737988538961058,1.5322587567701438,-0.3727708645592713,-0.006282451228644283,0.3293145603975034
PKIS2,100,tpsa,87.28707792207791,79.97917626998606,86.98312207792208,35.2095994517916,-0.20755423991964791,-0.008632754955731093,0.3293145603975034
