dataset,descriptor,transformation,analysis_status,extreme_fraction_per_tail,low_threshold_inclusive,high_threshold_inclusive,low_ligands,high_ligands,low_descriptor_median,high_descriptor_median,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation,random_disjoint_repetitions,random_disjoint_geometry_spearman_mean,random_disjoint_geometry_spearman_q025,random_disjoint_geometry_spearman_q975,random_minus_observed_geometry_spearman,random_lower_tail_probability,chemical_group_bootstrap_repetitions,chemical_group_bootstrap_geometry_spearman_q025,chemical_group_bootstrap_geometry_spearman_median,chemical_group_bootstrap_geometry_spearman_q975,mw_stratified_group_disjoint_repetitions,mw_stratified_group_disjoint_geometry_spearman_mean,mw_stratified_group_disjoint_geometry_spearman_q025,mw_stratified_group_disjoint_geometry_spearman_q975,mw_stratified_group_disjoint_mw_ks_mean,mw_stratified_group_disjoint_absolute_median_mw_difference_mean
DOCKSTRING-58,molecular_weight,raw,exploratory_post_hoc,0.25,325.36800000000005,449.49125000000026,3751,3750,286.31000000000006,498.5730000000002,0.40947327442193726,0.5905267255780627,0.017543859649122806,0.140893470790378,1.750967720500581,3.080338511406147,0.7418945400921497,0.5333522680272249,0.7418945400921497,0.5358799782364542,500,0.9961951379572254,0.994817554768747,0.9971286579310529,0.5867218635352881,0.001996007984031936,300,0.38351586677558297,0.4077562246326078,0.4320760115748485,200,0.9977061042654459,0.9970165267918606,0.9982384458122685,0.016195131392402026,1.2307399999999933
DOCKSTRING-58,molecular_weight,row_centered_residual,exploratory_post_hoc,0.25,325.36800000000005,449.49125000000026,3751,3750,286.31000000000006,498.5730000000002,0.3505978420709316,0.6494021579290684,0.3666061705989111,0.16083916083916083,19.552064499216343,23.799697948677796,-0.010967419936078042,-0.007760166233254693,0.15016451663472777,0.12368696855924498,500,0.9903743812980054,0.9881928796007277,0.991928608116659,0.6397765392270738,0.001996007984031936,300,0.32647052757374273,0.3461984584244263,0.3629274450466302,200,0.9944045608141542,0.9931235421041648,0.9953959085016472,0.016195131392402026,1.2307399999999933
DOCKSTRING-58,molecular_weight,group_heldout_descriptor_adjusted_residual,exploratory_post_hoc,0.25,325.36800000000005,449.49125000000026,3751,3750,286.31000000000006,498.5730000000002,0.43669105310837264,0.5633089468916274,0.32425892316999394,0.24812030075187969,21.16341844910971,29.16794166165827,-0.011252126518002897,-0.012855459211028887,0.14077533561731825,0.10437078593688462,500,0.9780148673287391,0.9723752785819821,0.9812675160776796,0.5413238142203665,0.001996007984031936,300,0.4063764024372835,0.4284969418437248,0.45771441465262863,200,0.9874608817816192,0.9848586256069056,0.9895021077145565,0.016195131392402026,1.2307399999999933
Docking-44,molecular_weight,raw,exploratory_post_hoc,0.25,218.29999999999995,349.3330000000001,3163,3163,178.054,413.60200000000026,0.2272436943147387,0.7727563056852613,0.02748414376321353,0.049723756906077346,1.1872844551689294,2.9949607528316653,0.9118573360243823,0.5029122788192639,0.9118573360243823,0.5072785126430115,500,0.9952582146066784,0.992923732265595,0.9970031091452469,0.7680145202919397,0.001996007984031936,300,0.2085383735937504,0.22671548087426868,0.2458500896520591,200,0.9952455648551028,0.9920132724523579,0.9973649261385317,0.011368225431384129,0.8562524999999834
Docking-44,molecular_weight,row_centered_residual,exploratory_post_hoc,0.25,218.29999999999995,349.3330000000001,3163,3163,178.054,413.60200000000026,0.20496480945389367,0.7950351905461064,0.4249471458773784,0.07954545454545454,13.62457616857832,10.147009176104564,-0.011721849660358987,-0.0002924013658567348,0.1748247442427033,0.23498785535833677,500,0.9914867245178385,0.9875342577741831,0.9942776815859499,0.7865219150639449,0.001996007984031936,300,0.18538271714397053,0.20197449628455738,0.21868853738208616,200,0.9911554422019292,0.9849397163033862,0.9947666776767239,0.011368225431384129,0.8562524999999834
Docking-44,molecular_weight,group_heldout_descriptor_adjusted_residual,exploratory_post_hoc,0.25,218.29999999999995,349.3330000000001,3163,3163,178.054,413.60200000000026,0.4892200836062725,0.5107799163937274,0.2959830866807611,0.20253164556962025,10.895575458916129,12.613355294985002,-0.013313455522460396,0.0002374188245365537,0.22239417537207404,0.2030366385150388,500,0.9801334237242391,0.9729352479989741,0.9852628120551304,0.49091334011796656,0.001996007984031936,300,0.4463431910378203,0.48240258659452684,0.5147225772053257,200,0.9824713613594043,0.9746140032267583,0.987898270400419,0.011368225431384129,0.8562524999999834
