dataset,transformation,first_mw_quintile,second_mw_quintile,first_median_molecular_weight,second_median_molecular_weight,median_molecular_weight_separation,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,raw,1,2,276.32849999999996,338.40700000000004,62.078500000000076,0.8241675354969402,0.17583246450305978,0.0,0.502262443438914,1.6887161246570441,2.521153312530961,0.7579211993287642,0.5979415595115448,0.7579211993287642,0.5979415595115448
DOCKSTRING-58,raw,1,3,276.32849999999996,385.39500000000015,109.06650000000019,0.6435747670572122,0.35642523294278783,0.0006049606775559589,0.34959349593495936,1.6887161246570441,2.739200071494546,0.7579211993287642,0.5705694630417318,0.7579211993287642,0.5705815478732831
DOCKSTRING-58,raw,1,4,276.32849999999996,434.8480000000002,158.51950000000022,0.49421731816844194,0.5057826818315581,0.0012099213551119178,0.2116788321167883,1.6887161246570441,2.9511165609975345,0.7579211993287642,0.5514966057111214,0.7579211993287642,0.551592498267007
DOCKSTRING-58,raw,1,5,276.32849999999996,514.8580000000002,238.5295000000002,0.3313973656449368,0.6686026343550632,0.018753781004234724,0.140893470790378,1.6887161246570441,3.0242901295037354,0.7579211993287642,0.5391779500265135,0.7579211993287642,0.5416338575528536
DOCKSTRING-58,raw,2,3,338.40700000000004,385.39500000000015,46.98800000000011,0.9302933908289961,0.06970660917100391,0.0006049606775559589,0.6274509803921569,2.521153312530961,2.739200071494546,0.5979415595115448,0.5705694630417318,0.5979415595115448,0.5705815478732831
DOCKSTRING-58,raw,2,4,338.40700000000004,434.8480000000002,96.44100000000014,0.8102897808423313,0.18971021915766872,0.0012099213551119178,0.371900826446281,2.521153312530961,2.9511165609975345,0.5979415595115448,0.5514966057111214,0.5979415595115448,0.551592498267007
DOCKSTRING-58,raw,2,5,338.40700000000004,514.8580000000002,176.45100000000014,0.5832587567164055,0.4167412432835945,0.018753781004234724,0.18996415770609318,2.521153312530961,3.0242901295037354,0.5979415595115448,0.5391779500265135,0.5979415595115448,0.5416338575528536
DOCKSTRING-58,raw,3,4,385.39500000000015,434.8480000000002,49.45300000000003,0.9471702777488287,0.05282972225117133,0.0006049606775559589,0.5370370370370371,2.739200071494546,2.9511165609975345,0.5705694630417318,0.5514966057111214,0.5705815478732831,0.551592498267007
DOCKSTRING-58,raw,3,5,385.39500000000015,514.8580000000002,129.46300000000002,0.7309684165700375,0.2690315834299625,0.018148820326678767,0.23880597014925373,2.739200071494546,3.0242901295037354,0.5705694630417318,0.5391779500265135,0.5705815478732831,0.5416338575528536
DOCKSTRING-58,raw,4,5,434.8480000000002,514.8580000000002,80.00999999999999,0.8561584054156792,0.14384159458432078,0.017543859649122806,0.4067796610169492,2.9511165609975345,3.0242901295037354,0.5514966057111214,0.5391779500265135,0.551592498267007,0.5416338575528536
DOCKSTRING-58,row_centered_residual,1,2,276.32849999999996,338.40700000000004,62.078500000000076,0.8467509171530377,0.15324908284696226,0.18148820326678766,0.4497816593886463,19.537497891973363,20.036309919272096,-0.011243676069801197,-0.009362818605442615,0.15041779062502678,0.14735604859348733
DOCKSTRING-58,row_centered_residual,1,3,276.32849999999996,385.39500000000015,109.06650000000019,0.6620789456122601,0.3379210543877399,0.2631578947368421,0.30196078431372547,19.537497891973363,21.072436029337627,-0.011243676069801197,-0.008407528415106764,0.15041779062502678,0.14229220100958273
DOCKSTRING-58,row_centered_residual,1,4,276.32849999999996,434.8480000000002,158.51950000000022,0.47293476022726066,0.5270652397727393,0.3218390804597701,0.18996415770609318,19.537497891973363,22.846241468569488,-0.011243676069801197,-0.009974711900711433,0.15041779062502678,0.13007600227776614
DOCKSTRING-58,row_centered_residual,1,5,276.32849999999996,514.8580000000002,238.5295000000002,0.29527352115696454,0.7047264788430354,0.38656987295825773,0.14878892733564014,19.537497891973363,24.039195954732627,-0.011243676069801197,-0.007919974067268085,0.15041779062502678,0.12234173765834026
DOCKSTRING-58,row_centered_residual,2,3,338.40700000000004,385.39500000000015,46.98800000000011,0.91118383358936,0.08881616641064005,0.12764670296430733,0.6274509803921569,20.036309919272096,21.072436029337627,-0.009362818605442615,-0.008407528415106764,0.14735604859348733,0.14229220100958273
DOCKSTRING-58,row_centered_residual,2,4,338.40700000000004,434.8480000000002,96.44100000000014,0.7230280346884127,0.2769719653115873,0.2250453720508167,0.4127659574468085,20.036309919272096,22.846241468569488,-0.009362818605442615,-0.009974711900711433,0.14735604859348733,0.13007600227776614
DOCKSTRING-58,row_centered_residual,2,5,338.40700000000004,514.8580000000002,176.45100000000014,0.44161737934235423,0.5583826206576458,0.3309134906231095,0.22509225092250923,20.036309919272096,24.039195954732627,-0.009362818605442615,-0.007919974067268085,0.14735604859348733,0.12234173765834026
DOCKSTRING-58,row_centered_residual,3,4,385.39500000000015,434.8480000000002,49.45300000000003,0.9022375594079874,0.09776244059201256,0.132486388384755,0.5660377358490566,21.072436029337627,22.846241468569488,-0.008407528415106764,-0.009974711900711433,0.14229220100958273,0.13007600227776614
DOCKSTRING-58,row_centered_residual,3,5,385.39500000000015,514.8580000000002,129.46300000000002,0.6007347548721654,0.39926524512783457,0.28191167574107684,0.30708661417322836,21.072436029337627,24.039195954732627,-0.008407528415106764,-0.007919974067268085,0.14229220100958273,0.12234173765834026
DOCKSTRING-58,row_centered_residual,4,5,434.8480000000002,514.8580000000002,80.00999999999999,0.7914214845090056,0.20857851549099438,0.19540229885057472,0.4954954954954955,22.846241468569488,24.039195954732627,-0.009974711900711433,-0.007919974067268085,0.13007600227776614,0.12234173765834026
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,1,2,276.32849999999996,338.40700000000004,62.078500000000076,0.8181343470103055,0.18186565298969448,0.17483363581367212,0.4127659574468085,20.54555112887783,22.386970114456364,-0.011151124876218957,-0.011934182538298527,0.14401183802580583,0.13313327395768443
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,1,3,276.32849999999996,385.39500000000015,109.06650000000019,0.6872453795845079,0.31275462041549207,0.24682395644283123,0.2918287937743191,20.54555112887783,23.838130004911502,-0.011151124876218957,-0.011460790856637424,0.14401183802580583,0.12744239840646523
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,1,4,276.32849999999996,434.8480000000002,158.51950000000022,0.5422013355207783,0.4577986644792217,0.30550514216575925,0.2720306513409962,20.54555112887783,26.507269835937528,-0.011151124876218957,-0.012782251430283952,0.14401183802580583,0.11276054730226479
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,1,5,276.32849999999996,514.8580000000002,238.5295000000002,0.4077353180817339,0.5922646819182661,0.33756805807622503,0.24812030075187969,20.54555112887783,29.080737667815637,-0.011151124876218957,-0.012783360644641112,0.14401183802580583,0.10503001856316116
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,2,3,338.40700000000004,385.39500000000015,46.98800000000011,0.9087762166992238,0.09122378330077618,0.13490623109497882,0.5514018691588785,22.386970114456364,23.838130004911502,-0.011934182538298527,-0.011460790856637424,0.13313327395768443,0.12744239840646523
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,2,4,338.40700000000004,434.8480000000002,96.44100000000014,0.7109613309257474,0.2890386690742526,0.25045372050816694,0.3662551440329218,22.386970114456364,26.507269835937528,-0.011934182538298527,-0.012782251430283952,0.13313327395768443,0.11276054730226479
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,2,5,338.40700000000004,514.8580000000002,176.45100000000014,0.44800248546981425,0.5519975145301858,0.3430127041742287,0.24812030075187969,22.386970114456364,29.080737667815637,-0.011934182538298527,-0.012783360644641112,0.13313327395768443,0.10503001856316116
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,3,4,385.39500000000015,434.8480000000002,49.45300000000003,0.8840152539763879,0.11598474602361208,0.147005444646098,0.5885167464114832,23.838130004911502,26.507269835937528,-0.011460790856637424,-0.012782251430283952,0.12744239840646523,0.11276054730226479
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,3,5,385.39500000000015,514.8580000000002,129.46300000000002,0.5638580487226623,0.4361419512773377,0.2928009679370841,0.3333333333333333,23.838130004911502,29.080737667815637,-0.011460790856637424,-0.012783360644641112,0.12744239840646523,0.10503001856316116
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,4,5,434.8480000000002,514.8580000000002,80.00999999999999,0.7399939810175532,0.2600060189824468,0.2220205686630369,0.45614035087719296,26.507269835937528,29.080737667815637,-0.012782251430283952,-0.012783360644641112,0.11276054730226479,0.10503001856316116
Docking-44,raw,1,2,168.148,231.3415,63.1935,0.7165254866883017,0.28347451331169826,0.010570824524312896,0.1949685534591195,1.176057439539338,1.3989573539297364,0.9176383119424382,0.8190523509959072,0.9176383119424382,0.8194525794926392
Docking-44,raw,1,3,168.148,282.44,114.292,0.4421822975640416,0.5578177024359584,0.03276955602536998,0.10465116279069768,1.176057439539338,1.615250744419504,0.9176383119424382,0.7498779415022907,0.9176383119424382,0.7537160795447432
Docking-44,raw,1,4,168.148,332.46299999999997,164.31499999999997,0.29210070726241744,0.7078992927375826,0.006342494714587738,0.08571428571428572,1.176057439539338,2.0384738020921778,0.9176383119424382,0.6492457679883625,0.9176383119424382,0.649662839945533
Docking-44,raw,1,5,168.148,439.5520000000003,271.40400000000034,0.2074750033248105,0.7925249966751895,0.02748414376321353,0.049723756906077346,1.176057439539338,3.0513587610435193,0.9176383119424382,0.49559253939499015,0.9176383119424382,0.49903896986874824
Docking-44,raw,2,3,231.3415,282.44,51.0985,0.7983667623411244,0.20163323765887564,0.022198731501057084,0.46153846153846156,1.3989573539297364,1.615250744419504,0.8190523509959072,0.7498779415022907,0.8194525794926392,0.7537160795447432
