dataset,transformation,repetition,chemical_groups_in_extremes,weighted_low_ligand_rows,weighted_high_ligand_rows,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,raw,0,6053,3766,3761,0.4052363409723959,0.5947636590276041,0.014519056261343012,0.13310580204778158,1.7355718312346102,3.1790743316713375,0.7451780252470517,0.52479441550551,0.7451780252470517,0.5269274654198233
DOCKSTRING-58,row_centered_residual,0,6053,3766,3761,0.35377140548256214,0.6462285945174379,0.3666061705989111,0.1649122807017544,19.019643046814295,23.02245325394789,-0.010574294332635443,-0.008249739483925156,0.15353953621659386,0.12722048207168699
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,0,6053,3766,3761,0.4192579546955228,0.5807420453044772,0.34180278281911675,0.22962962962962963,20.652505618471597,28.24746713571773,-0.011134471694501618,-0.013048477426275223,0.14337552148715257,0.10763710843110962
DOCKSTRING-58,raw,1,6053,3478,3794,0.4056133257510399,0.5943866742489601,0.012704174228675136,0.14878892733564014,1.8136433114374384,3.2190329943118523,0.7272375007630114,0.5227907416112949,0.7272375007630114,0.5245173983252713
DOCKSTRING-58,row_centered_residual,1,6053,3478,3794,0.34744537118788016,0.6525546288121198,0.37084089534180276,0.1649122807017544,19.19231811548271,23.116151205266934,-0.010623336555946826,-0.008173271180353305,0.15240296108083615,0.12624655877741187
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,1,6053,3478,3794,0.4114024742930855,0.5885975257069145,0.338777979431337,0.22962962962962963,21.167929218136674,28.129106750259975,-0.01130782970735583,-0.012905389673068878,0.14030387895523314,0.10801778178440169
DOCKSTRING-58,raw,2,6053,3763,3747,0.3839642057531714,0.6160357942468286,0.024803387779794312,0.136986301369863,1.7791431935950173,3.1052834368725972,0.7351700214477861,0.5303304459514556,0.7351700214477861,0.5336100430750167
DOCKSTRING-58,row_centered_residual,2,6053,3763,3747,0.32568024361123943,0.6743197563887606,0.3781004234724743,0.14482758620689656,19.297542409646823,23.055342993780027,-0.01091952300795978,-0.007659677306695005,0.15159355174972525,0.1271281684328759
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,2,6053,3763,3747,0.40519124403574147,0.5948087559642585,0.33817301875378103,0.19855595667870035,20.82068320989675,27.822686351718062,-0.011326840298190186,-0.012542584497767654,0.14245921013089244,0.10962269752093812
DOCKSTRING-58,raw,3,6053,3523,3727,0.41347366282840387,0.5865263371715961,0.023593466424682397,0.13310580204778158,1.8922766077683926,3.0730748321482246,0.7104266136110636,0.5339758569022898,0.7104266136110636,0.5372085591868118
DOCKSTRING-58,row_centered_residual,3,6053,3523,3727,0.3467191335632418,0.6532808664367582,0.3781004234724743,0.16083916083916083,19.153242610802547,23.490439318796806,-0.010637840142641143,-0.007822617544464599,0.15348983108104128,0.12448094067185082
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,3,6053,3523,3727,0.40824918245130737,0.5917508175486926,0.3369630973986691,0.22058823529411764,20.87724907973768,27.926957569036887,-0.011345633273319172,-0.012716819511284687,0.142574299184331,0.10904766834054098
DOCKSTRING-58,raw,4,6053,4076,3847,0.402763902881571,0.597236097118429,0.022988505747126436,0.136986301369863,1.6950342055988665,3.115752891179241,0.7553515733048087,0.5290628785230841,0.7553515733048087,0.5321757416776165
