dataset,repetition,first_ligands,second_ligands,first_chemical_groups,second_chemical_groups,chemical_group_overlap,first_median_molecular_weight,second_median_molecular_weight,absolute_median_mw_difference,mw_ks_statistic,transformation,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,0,7499,7501,6102,5803,0,384.4570000000002,385.5330000000001,1.0759999999998513,0.014773653595976063,raw,0.9980645991007998,0.0019354008992001903,0.007864488808227465,0.8863636363636364,2.3060875360131754,2.1956292790912824,0.6080718213698252,0.6267880662954539,0.6148647275747567,0.633402672840296
DOCKSTRING-58,0,7499,7501,6102,5803,0,384.4570000000002,385.5330000000001,1.0759999999998513,0.014773653595976063,row_centered_residual,0.9951135208177412,0.004886479182258818,0.02601330913490623,0.8971428571428571,17.895824769200942,17.903190697673036,-0.0025131595463325556,-0.0020468763251171814,0.15671881085457484,0.15667609936194452
DOCKSTRING-58,0,7499,7501,6102,5803,0,384.4570000000002,385.5330000000001,1.0759999999998513,0.014773653595976063,group_heldout_descriptor_adjusted_residual,0.9886692950346646,0.011330704965335392,0.04900181488203267,0.8444444444444444,28.68997770754228,28.11216528200592,-0.012328956262289605,-0.012081234487008697,0.10659109018571371,0.10873948632996557
DOCKSTRING-58,1,7497,7503,6054,5851,0,384.45700000000016,385.9140000000001,1.4569999999999368,0.020780109991484264,raw,0.9977969665559109,0.0022030334440891197,0.006049606775559589,0.8757062146892656,2.277830428679763,2.2191264289064776,0.6121363182098051,0.6232981204029451,0.6192584184203759,0.629495328755367
DOCKSTRING-58,1,7497,7503,6054,5851,0,384.45700000000016,385.9140000000001,1.4569999999999368,0.020780109991484264,row_centered_residual,0.9948737928990853,0.005126207100914715,0.029643073200241985,0.9080459770114943,18.049661766703874,17.74987734033752,-0.002490953063726239,-0.0020683228108839195,0.15574944024955575,0.1577243817084519
DOCKSTRING-58,1,7497,7503,6054,5851,0,384.45700000000016,385.9140000000001,1.4569999999999368,0.020780109991484264,group_heldout_descriptor_adjusted_residual,0.9862547597739002,0.013745240226099797,0.05202661826981246,0.8651685393258427,28.337236927748773,28.431567550609202,-0.012365264349967153,-0.012042465085997933,0.10800808436967323,0.10747000235748924
DOCKSTRING-58,2,7501,7499,5892,6013,0,385.4200000000002,385.05500000000006,0.3650000000001228,0.014349778032884944,raw,0.9978984864714583,0.0021015135285417097,0.004234724742891712,0.8547486033519553,2.2046376454128254,2.2947956591202594,0.624958903609144,0.6102243672404227,0.6314318028027477,0.6169820919396194
DOCKSTRING-58,2,7501,7499,5892,6013,0,385.4200000000002,385.05500000000006,0.3650000000001228,0.014349778032884944,row_centered_residual,0.9946773313651011,0.005322668634898942,0.030248033877797943,0.8971428571428571,18.135251953447337,17.667045025150745,-0.0022645900091781586,-0.002288123870051684,0.15538931029821434,0.15802103865059838
DOCKSTRING-58,2,7501,7499,5892,6013,0,385.4200000000002,385.05500000000006,0.3650000000001228,0.014349778032884944,group_heldout_descriptor_adjusted_residual,0.9901551639092983,0.009844836090701747,0.04900181488203267,0.8547486033519553,28.606892981081657,28.20644558426846,-0.012148270243945738,-0.012260114628031537,0.10691784097875284,0.10822430749096941
DOCKSTRING-58,3,7494,7506,5823,6082,0,385.5295000000001,384.4905000000001,1.0389999999999873,0.015085769654892578,raw,0.9979878567292161,0.002012143270783917,0.003629764065335753,0.8651685393258427,2.202857029433911,2.2969297752588114,0.6257600286757646,0.6093637713717367,0.6319575656771006,0.6164034252010122
