dataset,sample_seed,is_inherited_primary_support_seed,sample_ligands,transformation,low_ligands,high_ligands,low_threshold_inclusive,high_threshold_inclusive,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,71,True,15000,raw,3751,3750,325.36800000000005,449.49125000000026,0.40947327442193726,0.5905267255780627,0.017543859649122806,0.140893470790378,1.750967720500581,3.080338511406147,0.7418945400921497,0.5333522680272249,0.7418945400921497,0.5358799782364542
DOCKSTRING-58,71,True,15000,row_centered_residual,3751,3750,325.36800000000005,449.49125000000026,0.3505978420709316,0.6494021579290684,0.3666061705989111,0.16083916083916083,19.552064499216343,23.799697948677796,-0.010967419936078042,-0.007760166233254693,0.15016451663472777,0.12368696855924498
DOCKSTRING-58,72,False,15000,raw,3750,3750,324.4002500000001,450.5422500000002,0.39349177981997474,0.6065082201800253,0.023593466424682397,0.14878892733564014,1.7677874573847663,3.075977453635694,0.7381122163221417,0.5324666365921265,0.7381122163221417,0.5354384054933226
DOCKSTRING-58,72,False,15000,row_centered_residual,3750,3750,324.4002500000001,450.5422500000002,0.34065741343982553,0.6593425865601745,0.3666061705989111,0.1649122807017544,19.436387025357746,24.417487902111905,-0.010838571510786654,-0.007681736120250533,0.15085782895642533,0.12033528153740608
DOCKSTRING-58,73,False,15000,raw,3750,3750,325.3090000000001,450.45775000000015,0.40916175645230124,0.5908382435476988,0.02117362371445856,0.156794425087108,1.7900255696708651,3.142124113769258,0.7327149162712334,0.5275115676944341,0.7327149162712334,0.5303067021768458
DOCKSTRING-58,73,False,15000,row_centered_residual,3750,3750,325.3090000000001,450.45775000000015,0.35992609054709274,0.6400739094529073,0.35934664246823955,0.16083916083916083,19.564936878197546,23.938078636321812,-0.010680900510276939,-0.00775445226765421,0.1506362208427731,0.12206469264618683
DOCKSTRING-58,74,False,15000,raw,3751,3750,323.35200000000003,451.4537500000001,0.3866661961253607,0.6133338038746393,0.02238354506957048,0.1527777777777778,1.7594373067080662,3.115953915249915,0.7400658276876042,0.5293021578774607,0.7400658276876042,0.532260397271655
DOCKSTRING-58,74,False,15000,row_centered_residual,3751,3750,323.35200000000003,451.4537500000001,0.3254038727710366,0.6745961272289633,0.3629764065335753,0.14878892733564014,19.205658979490938,23.835132054803672,-0.010841157428163536,-0.007504254431829107,0.15277957262572459,0.12320202478563835
DOCKSTRING-58,75,False,15000,raw,3752,3750,325.36400000000003,450.4827500000002,0.40250589069768267,0.5974941093023174,0.01693889897156685,0.1649122807017544,1.7743935313859385,3.065790509903533,0.7359470707680641,0.5354115523970641,0.7359470707680641,0.5379136742221791
DOCKSTRING-58,75,False,15000,row_centered_residual,3752,3750,325.36400000000003,450.4827500000002,0.36102479369214213,0.6389752063078579,0.3599516031457955,0.18149466192170818,19.66439960432538,24.123018724597042,-0.010802413750302529,-0.00804181699889067,0.15011328158987772,0.12159889387757501
DOCKSTRING-58,20260809,False,15000,raw,3750,3750,325.33850000000007,449.57775000000026,0.37736794053937817,0.6226320594606218,0.018753781004234724,0.136986301369863,1.749136706070339,3.022447193530266,0.7421149952545645,0.5386980820592644,0.7421149952545645,0.5415230620902934
DOCKSTRING-58,20260809,False,15000,row_centered_residual,3750,3750,325.33850000000007,449.57775000000026,0.3318007061212133,0.6681992938787866,0.37507562008469447,0.1527777777777778,19.202031529817646,23.886230820972262,-0.010780856002490994,-0.007950417364842267,0.15245535978761218,0.12328089692685727
