representation,clipped_mean_per_ligand_pairwise_accuracy,unclipped_mean_per_ligand_pairwise_accuracy,unclipped_minus_clipped_accuracy,conservative_cluster_bootstrap_95_low,conservative_cluster_bootstrap_95_high,clipped_predicted_score_ties,unclipped_predicted_score_ties,evaluated_ligands,evaluated_pairs
absolute_vina,0.53712598026388747,0.53712598026388747,0,0,0,1058,1058,6480,25214
column_standardized,0.53038950197582813,0.53048148938807693,9.1987412248850168e-05,-0.00067474559922275142,0.00093870806441595359,0,0,6480,25214
two_way_residual,0.52940531237287825,0.52895714798764581,-0.00044816438523249638,-0.0014146986702126968,0.00039699160893756256,0,0,6480,25214
target_centered_unscaled,0.53311822086261862,0.53311822086261862,0,0,0,0,0,6480,25214
two_way_centered_unscaled,0.53311822086261862,0.53311822086261862,0,0,0,0,0,6480,25214
target_centered_residual_scaled,0.52561717783933348,0.52509312492777027,-0.00052405291156325598,-0.0018112649676800539,0.00077545383606001262,0,0,6480,25214
