target_a,target_b,scaffold_residual_mean_correlation,scaffold_residual_mean_percentile_rank,scaffold_residual_between_support_sd,scaffold_residual_between_support_rank_sd,scaffold_residual_stability_confidence,scaffold_residual_lcb_rank,scaffold_residual_sign_agreement_fraction,scaffold_raw_mean_correlation,scaffold_raw_mean_percentile_rank,scaffold_raw_between_support_sd,scaffold_raw_between_support_rank_sd,scaffold_raw_stability_confidence,scaffold_raw_lcb_rank,scaffold_raw_sign_agreement_fraction,random_residual_mean_correlation,random_residual_mean_percentile_rank,random_residual_between_support_sd,random_residual_between_support_rank_sd,random_residual_stability_confidence,random_residual_lcb_rank,random_residual_sign_agreement_fraction,random_raw_mean_correlation,random_raw_mean_percentile_rank,random_raw_between_support_sd,random_raw_between_support_rank_sd,random_raw_stability_confidence,random_raw_lcb_rank,random_raw_sign_agreement_fraction
EGFR,FGFR1,-0.101301906380945,0.398835978835979,0.0234456343955296,0.0469105897363529,-0.0469105897363529,0.321668058719679,1,0.68495162296828,0.323280423280423,0.0118893446146349,0.0266003996292786,-0.0266003996292786,0.27952276589026,1,-0.110722300129377,0.380634920634921,0.0230232697269727,0.0497651926954176,-0.0497651926954176,0.298771178650959,1,0.683346337164158,0.302433862433863,0.0127147774084737,0.023622464019956,-0.023622464019956,0.263574909121035,1
EGFR,IGF1R,-0.00964357150575428,0.585185185185185,0.0229206053630612,0.0486810043480109,-0.0486810043480109,0.505104933032707,0.72,0.754017681732467,0.634920634920635,0.00963976889402674,0.0365947647374458,-0.0365947647374458,0.574722246927536,1,-0.00526316124606163,0.580740740740741,0.0261712812628443,0.0540484381385235,-0.0540484381385235,0.49183106000287,0.6,0.77070941408333,0.66010582010582,0.00854124879356817,0.030301512628263,-0.030301512628263,0.610259831832327,1
EGFR,JAK2,0.0159211248462652,0.64031746031746,0.0258645776187891,0.055291302363544,-0.055291302363544,0.54936326792943,0.74,0.786478711965813,0.764973544973545,0.0081860270179955,0.0303303463600355,-0.0303303463600355,0.715080125211286,1,0.00344988206426006,0.599259259259259,0.0277648158264544,0.0583119752746479,-0.0583119752746479,0.503336059932463,0.58,0.797418024694414,0.746878306878307,0.00920412758476115,0.029765065999671,-0.029765065999671,0.697914773308848,1
EGFR,KDR,-0.0383400648861365,0.524338624338624,0.0237473144010629,0.047411634816993,-0.047411634816993,0.446346485064671,0.94,0.614770656513047,0.158941798941799,0.0136435868466688,0.0285422191291451,-0.0285422191291451,0.111989848474355,1,-0.0462602539635696,0.505396825396825,0.023652309751409,0.0449368804477644,-0.0449368804477644,0.431475657060253,1,0.623158968315284,0.167936507936508,0.0144683542208215,0.0256949442973466,-0.0256949442973466,0.125668324567373,1
EGFR,KIT,-0.0554662807605172,0.487619047619048,0.0218151942446772,0.0418305719838523,-0.0418305719838523,0.418807756705611,1,0.758092196385716,0.654920634920635,0.0092957128542441,0.036301487135759,-0.036301487135759,0.595204688582311,1,-0.0750419203301658,0.456084656084656,0.0246690789942858,0.0465819469028892,-0.0465819469028892,0.379457353429403,1,0.757922864859398,0.598306878306878,0.0103670862819123,0.0506237485244797,-0.0506237485244797,0.515030811984109,1
EGFR,LCK,-0.0580429072846526,0.487195767195767,0.0271451796474492,0.0524637259523409,-0.0524637259523409,0.400892938004166,0.96,0.788050185701923,0.772063492063492,0.0111276678573212,0.0337664658896287,-0.0337664658896287,0.716517655675053,1,-0.0533880905091896,0.495555555555555,0.0305807043379133,0.0540066683662833,-0.0540066683662833,0.406714586093019,0.92,0.805553031009629,0.781164021164021,0.00946599531279714,0.0304181861718052,-0.0304181861718052,0.731126104911402,1
EGFR,MAP2K1,0.0805710299239955,0.760846560846561,0.0235580549257175,0.0410814156967534,-0.0410814156967534,0.693267632025402,1,0.80118313392335,0.832592592592593,0.00947615750811007,0.0324360809620966,-0.0324360809620966,0.779235239409944,1,0.114305758970383,0.797671957671957,0.0240289056052031,0.0399470720696522,-0.0399470720696522,0.731959024117379,1,0.820538898547024,0.854814814814815,0.00681612927252781,0.0312409886089003,-0.0312409886089003,0.803423388553174,1
EGFR,MAPK1,0.0171967276330959,0.645079365079365,0.0243204311909876,0.0521469645650198,-0.0521469645650198,0.559297608369908,0.76,0.780109753944625,0.738941798941799,0.00902464602567596,0.0270130119733179,-0.0270130119733179,0.694505394245691,1,0.00037482848501585,0.593862433862434,0.019152110744344,0.0426582519901315,-0.0426582519901315,0.523689609338668,0.5,0.786358694353242,0.705925925925926,0.00870766035311295,0.0174369061634197,-0.0174369061634197,0.677242215287101,1
EGFR,MAPK14,-0.141423524562601,0.314814814814815,0.0196525447979765,0.0436863633776977,-0.0436863633776977,0.242950747058502,1,0.734799988577775,0.526455026455026,0.0111783365177416,0.0453672182295469,-0.0453672182295469,0.451825952467422,1,-0.137809333140598,0.325820105820106,0.0221123551758239,0.0468154976398717,-0.0468154976398717,0.248808612202517,1,0.757929540464519,0.598306878306878,0.010365681104898,0.0445358760477117,-0.0445358760477117,0.525045362208393,1
EGFR,MAPKAPK2,0.0039472276866492,0.614179894179894,0.0231209293053347,0.0528434955525827,-0.0528434955525827,0.527252343995896,0.56,0.824507192793481,0.933015873015873,0.00764479449769846,0.0258677941190842,-0.0258677941190842,0.89046335168998,1,-0.00759414639900477,0.578095238095238,0.0258575052383074,0.0504425153831802,-0.0504425153831802,0.495117300289907,0.6,0.835165136817875,0.925502645502646,0.00626893328763279,0.0253148083573594,-0.0253148083573594,0.883859785754789,1
EGFR,MET,-0.013634941801099,0.575449735449736,0.0220398097086373,0.0475236900511302,-0.0475236900511302,0.497273265315626,0.8,0.732171683785982,0.512486772486772,0.0105187897773958,0.0492412270603314,-0.0492412270603314,0.431484953972527,1,-0.0238459270300161,0.546243386243386,0.0261624680729564,0.0486875760747408,-0.0486875760747408,0.466152323600438,0.76,0.744762932846357,0.523280423280423,0.0107486438542203,0.0502091090536146,-0.0502091090536146,0.440686438887227,1
EGFR,PLK1,-0.0116982088779608,0.582328042328042,0.0277458654965881,0.0582786536951774,-0.0582786536951774,0.486459656999476,0.66,0.799839082385273,0.827195767195767,0.00993005927907033,0.0328708687135473,-0.0328708687135473,0.773123188161982,1,-0.00916405946945767,0.574074074074074,0.0260834959953578,0.0514677624584647,-0.0514677624584647,0.4894096048299,0.6,0.812968489038759,0.817354497354497,0.00936349214026313,0.034822661330665,-0.034822661330665,0.760071219465553,1
