support_kind,surface,support_a,support_b,edge_rank_spearman
scaffold,residual,2,44,0.980763426891837
scaffold,residual,2,45,0.977131309950268
scaffold,residual,2,46,0.983097359454483
scaffold,residual,2,47,0.97759669680309
scaffold,residual,2,48,0.976036076228967
scaffold,residual,2,49,0.974993329746705
scaffold,residual,3,4,0.979904385746216
scaffold,residual,3,5,0.981316292476392
scaffold,residual,3,6,0.980586719853736
scaffold,residual,3,7,0.973404715978428
scaffold,residual,3,8,0.976935357591186
scaffold,residual,3,9,0.975469214047335
scaffold,residual,3,10,0.977871380020733
scaffold,residual,3,11,0.981697699746749
scaffold,residual,3,12,0.975271512113618
scaffold,residual,3,13,0.973642658128743
scaffold,residual,3,14,0.98158572697013
scaffold,residual,3,15,0.982603979407507
scaffold,residual,3,16,0.982675711967528
scaffold,residual,3,17,0.974790379089084
scaffold,residual,3,18,0.979577215289533
scaffold,residual,3,19,0.982208575540072
scaffold,residual,3,20,0.979316528668967
scaffold,residual,3,21,0.977663180639207
scaffold,residual,3,22,0.980187816837032
scaffold,residual,3,23,0.979482738259261
scaffold,residual,3,24,0.977755908094845
scaffold,residual,3,25,0.978632444986813
scaffold,residual,3,26,0.978901879480551
scaffold,residual,3,27,0.981076600751442
scaffold,residual,3,28,0.977684175534823
scaffold,residual,3,29,0.975213776150673
scaffold,residual,3,30,0.981925144449256
scaffold,residual,3,31,0.976996592703399
scaffold,residual,3,32,0.975556692779068
scaffold,residual,3,33,0.976676420545255
scaffold,residual,3,34,0.981442261850088
scaffold,residual,3,35,0.977292270816658
scaffold,residual,3,36,0.977477725727932
scaffold,residual,3,37,0.982810429214397
scaffold,residual,3,38,0.978765412659047
scaffold,residual,3,39,0.980350527278056
scaffold,residual,3,40,0.981669706552594
scaffold,residual,3,41,0.98148425164132
scaffold,residual,3,42,0.983550499284861
scaffold,residual,3,43,0.978984109488381
scaffold,residual,3,44,0.984232833392382
scaffold,residual,3,45,0.979633201677842
scaffold,residual,3,46,0.978922874376167
scaffold,residual,3,47,0.981919895725352
scaffold,residual,3,48,0.978504726038482
scaffold,residual,3,49,0.982684459840701
scaffold,residual,4,5,0.977965857051005
scaffold,residual,4,6,0.98014232789653
scaffold,residual,4,7,0.977426988063527
scaffold,residual,4,8,0.983415782037992
scaffold,residual,4,9,0.976555699895463
scaffold,residual,4,10,0.979955123410621
scaffold,residual,4,11,0.979640199976381
scaffold,residual,4,12,0.985123366881427
scaffold,residual,4,13,0.979020850555709
scaffold,residual,4,14,0.982100101912723
scaffold,residual,4,15,0.98148425164132
scaffold,residual,4,16,0.977815393632423
scaffold,residual,4,17,0.972963823170492
scaffold,residual,4,18,0.982864666028072
scaffold,residual,4,19,0.978655189457063
scaffold,residual,4,20,0.983029126043731
scaffold,residual,4,21,0.978359511343805
scaffold,residual,4,22,0.98487317770867
scaffold,residual,4,23,0.982233069584957
scaffold,residual,4,24,0.977890625341714
scaffold,residual,4,25,0.981368779715432
scaffold,residual,4,26,0.97783288937877
scaffold,residual,4,27,0.979876392552061
scaffold,residual,4,28,0.983219829678909
scaffold,residual,4,29,0.976219781565607
scaffold,residual,4,30,0.983421030761896
scaffold,residual,4,31,0.98058846942837
scaffold,residual,4,32,0.975593433846396
scaffold,residual,4,33,0.979699685513959
scaffold,residual,4,34,0.977444483809874
scaffold,residual,4,35,0.977414741041084
scaffold,residual,4,36,0.977330761458621
scaffold,residual,4,37,0.980411762390269
scaffold,residual,4,38,0.980619961771794
scaffold,residual,4,39,0.97977491722325
scaffold,residual,4,40,0.981543737178899
scaffold,residual,4,41,0.983165592865235
scaffold,residual,4,42,0.981942640195603
scaffold,residual,4,43,0.981291798431506
scaffold,residual,4,44,0.983398286291645
scaffold,residual,4,45,0.983337051179432
scaffold,residual,4,46,0.98056572495812
scaffold,residual,4,47,0.981548985902802
scaffold,residual,4,48,0.97854146710581
scaffold,residual,4,49,0.978104073447143
scaffold,residual,5,6,0.978049836633469
scaffold,residual,5,7,0.972444199503996
scaffold,residual,5,8,0.976928359292647
scaffold,residual,5,9,0.97919755759381
scaffold,residual,5,10,0.979680440192978
scaffold,residual,5,11,0.983473518000936
scaffold,residual,5,12,0.974394975221649
scaffold,residual,5,13,0.978838894793703
scaffold,residual,5,14,0.979244796108946
scaffold,residual,5,15,0.980793169660626
scaffold,residual,5,16,0.980710939652797
