top_fraction,positive_pairs,candidate_name,model,panel,analysis_role,metric,baseline,candidate_with_stability,candidate_minus_baseline
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,roc_auc,0.821111111111111,0.824444444444445,0.00333333333333341
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,average_precision,0.28959367747509,0.282265549326953,-0.0073281281481371
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.578548465404349,0.54053545731694,-0.0380130080874088
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.97,0.982777777777778,0.0127777777777779
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.666185807656396,0.732591852591853,0.0664060449354568
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.586565016380393,0.579589462311975,-0.00697555406841721
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,roc_auc,0.946666666666667,0.932222222222222,-0.0144444444444444
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,average_precision,0.618763050674815,0.602713397713398,-0.0160496529614177
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.601917533799595,0.550971670012728,-0.0509458637868668
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS2,locked_no_retuning_evaluation,roc_auc,0.906111111111111,0.867222222222222,-0.0388888888888889
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS2,locked_no_retuning_evaluation,average_precision,0.574936247715336,0.562024870721918,-0.0129113769934183
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.553893459652622,0.553389582157838,-0.000503877494784088
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,KiRHub,locked_no_retuning_evaluation,roc_auc,0.858888888888889,0.86,0.00111111111111106
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,KiRHub,locked_no_retuning_evaluation,average_precision,0.358713989843306,0.378570795738657,0.0198568058953512
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.161924007225743,0.161794538702778,-0.000129468522965359
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.617777777777778,0.615,-0.00277777777777777
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.171020893187591,0.168864572895477,-0.00215632029211474
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.262475560629322,0.260101387850079,-0.00237417277924307
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,DAVIS,locked_no_retuning_evaluation,roc_auc,0.718888888888889,0.717777777777778,-0.00111111111111106
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,DAVIS,locked_no_retuning_evaluation,average_precision,0.212558800117989,0.21137915687401,-0.00117964324397904
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.268504594820384,0.266734025290101,-0.00177056953028293
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS2,locked_no_retuning_evaluation,roc_auc,0.781666666666667,0.779444444444444,-0.00222222222222235
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS2,locked_no_retuning_evaluation,average_precision,0.331836219336219,0.330192832377706,-0.00164338695851296
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.307317158515836,0.306510604609254,-0.000806553906581409
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,KiRHub,locked_no_retuning_evaluation,roc_auc,0.738888888888889,0.733333333333333,-0.00555555555555554
0.05,10,fixed_outcome_blind_residual_LCB,direct_no_fit,KiRHub,locked_no_retuning_evaluation,average_precision,0.125756731886663,0.122541381991149,-0.00321534989551422
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.526647333866954,0.527317420952031,0.000670087085077431
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.848568790397045,0.858110187750077,0.00954139735303172
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.430831090897797,0.404219110400716,-0.0266119804970802
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.550404807831096,0.533056025753739,-0.0173487820773575
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,roc_auc,0.891351184979994,0.892890120036934,0.00153893505694069
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,average_precision,0.587740441086801,0.546022423251788,-0.0417180178350133
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.579640199976381,0.586916680881961,0.00727648090557986
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,roc_auc,0.81502000615574,0.798399507540782,-0.0166204986149585
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,average_precision,0.483035682536419,0.452930295484376,-0.0301053870520434
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.540329007510049,0.519930716844467,-0.020398290665582
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,roc_auc,0.862111418898122,0.850723299476762,-0.0113881194213603
0.1,19,scaffold_residual_stability_primary,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,average_precision,0.476096133054956,0.450254989935908,-0.0258411431190473
0.1,19,random_residual_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.526647333866954,0.524913505403999,-0.00173382846295489
0.1,19,random_residual_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.848568790397045,0.867959372114497,0.0193905817174514
0.1,19,random_residual_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.430831090897797,0.385892613016658,-0.0449384778811389
0.1,19,random_residual_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.550404807831096,0.526528362791796,-0.0238764450392999
0.1,19,random_residual_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,roc_auc,0.891351184979994,0.884272083718067,-0.00707910126192668
0.1,19,random_residual_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,average_precision,0.587740441086801,0.541908672826316,-0.0458317682604845
0.1,19,random_residual_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.579640199976381,0.579972619156968,0.000332419180586685
0.1,19,random_residual_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,roc_auc,0.81502000615574,0.787626962142198,-0.0273930440135427
0.1,19,random_residual_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,average_precision,0.483035682536419,0.454751106123479,-0.0282845764129404
0.1,19,random_residual_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.540329007510049,0.505034838404913,-0.0352941691051364
0.1,19,random_residual_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,roc_auc,0.862111418898122,0.832563865804863,-0.0295475530932594
0.1,19,random_residual_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,average_precision,0.476096133054956,0.434650827561232,-0.0414453054937235
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.526647333866954,0.528442397442122,0.00179506357516834
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.848568790397045,0.850723299476762,0.00215450907971682
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.430831090897797,0.432115443743361,0.00128435284556394
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.550404807831096,0.549080379832653,-0.0013244279984429
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,roc_auc,0.891351184979994,0.889812249923053,-0.00153893505694047
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,average_precision,0.587740441086801,0.575929041856568,-0.0118113992302329
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.579640199976381,0.579577215289533,-6.29846868479556e-05
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,roc_auc,0.81502000615574,0.815943367189905,0.000923361034164349
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,average_precision,0.483035682536419,0.482778646976602,-0.000257035559817542
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.540329007510049,0.539599434887393,-0.000729572622656161
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,roc_auc,0.862111418898122,0.859956909818406,-0.00215450907971682
0.1,19,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,average_precision,0.476096133054956,0.467343630893736,-0.00875250216122014
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.548109365910413,0.548590498934946,0.000481133024533453
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.86088027085257,0.862419205909511,0.00153893505694058
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.494150370942643,0.45991848393647,-0.0342318870061731
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.575773640033767,0.554873221448036,-0.0209004185857313
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,roc_auc,0.904586026469683,0.902739304401354,-0.0018467220683287
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,average_precision,0.601113902215034,0.577623507618516,-0.0234903945965179
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.600241441299584,0.60480608152143,0.00456464022184622
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS2,locked_no_retuning_evaluation,roc_auc,0.821175746383503,0.814404432132964,-0.00677131425053867
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS2,locked_no_retuning_evaluation,average_precision,0.502065417925292,0.493267231501055,-0.00879818642423696
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.573887598577596,0.550126625464184,-0.0237609731134119
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,KiRHub,locked_no_retuning_evaluation,roc_auc,0.876577408433364,0.86088027085257,-0.0156971375807941
0.1,19,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,KiRHub,locked_no_retuning_evaluation,average_precision,0.521191516255265,0.510111520753334,-0.0110799955019307
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.161924007225743,0.161794538702778,-0.000129468522965359
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.655586334256694,0.655278547245306,-0.000307787011388005
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.280201385036167,0.277172171707632,-0.0030292133285354
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.262475560629322,0.260101387850079,-0.00237417277924307
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,DAVIS,locked_no_retuning_evaluation,roc_auc,0.751308094798399,0.749461372730071,-0.0018467220683287
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,DAVIS,locked_no_retuning_evaluation,average_precision,0.320685536083007,0.317908283238745,-0.002777252844262
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.268504594820384,0.266734025290101,-0.00177056953028293
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS2,locked_no_retuning_evaluation,roc_auc,0.712219144352108,0.712219144352108,-1.11022302462516e-16
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,PKIS2,locked_no_retuning_evaluation,average_precision,0.277969406862294,0.277481633467554,-0.00048777339474021
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.307317158515836,0.306510604609254,-0.000806553906581409
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,KiRHub,locked_no_retuning_evaluation,roc_auc,0.744844567559249,0.743613419513697,-0.00123114804555247
0.1,19,fixed_outcome_blind_residual_LCB,direct_no_fit,KiRHub,locked_no_retuning_evaluation,average_precision,0.27362154279618,0.271595942833267,-0.00202559996291291
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.563974508697573,0.539938852366519,-0.0240356563310545
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.810666095523667,0.83144142214607,0.0207753266224031
0.15,29,scaffold_residual_stability_primary,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.473342230382796,0.444196348210779,-0.0291458821720171
