minimum_values_above_pkd_floor_per_target,targets_retained,target_names,spearman,permutations,seed,one_sided_target_label_qap_p_positive
0,20,ABL1;AKT1;AKT2;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK1;MAPK14;MAPKAPK2;MET;PLK1;ROCK1;SRC,0.27979984866179414,49999,20260809,0.00548
5,18,ABL1;AKT1;AKT2;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK14;MET;PLK1;ROCK1;SRC,0.2548248964657633,49999,20260814,0.01036
10,16,ABL1;CDK2;CSF1R;EGFR;FGFR1;IGF1R;JAK2;KDR;KIT;LCK;MAP2K1;MAPK14;MET;PLK1;ROCK1;SRC,0.20960483366900476,49999,20260819,0.0303
15,12,ABL1;CSF1R;EGFR;FGFR1;JAK2;KDR;KIT;LCK;MAP2K1;MET;ROCK1;SRC,0.2285147688132763,49999,20260824,0.04896
