panel,transformation,control_design,repetition,ligands,observed_exact_support_spearman,observed_target_label_qap_p_two_sided,observed_target_label_qap_permutations,control_spearman,observed_minus_control_spearman,equal_n_row_disjoint_vina_self_spearman,descriptor_mean_difference_rms_iqr_units,descriptor_max_abs_mean_difference_iqr_units,unique_murcko_source_groups,mean_difference_iqr_units_heavy_atoms,mean_difference_iqr_units_molecular_weight,mean_difference_iqr_units_labute_asa,mean_difference_iqr_units_tpsa,mean_difference_iqr_units_clogp,mean_difference_iqr_units_rotatable_bonds,mean_difference_iqr_units_ring_count
DAVIS,raw,uniform_random_rows,0,56,0.157592818755,0.129687031297,10000,0.0964848571234,0.0611079616318,0.581164457892,0.510154104646,0.839285714286,56,-0.511904761905,-0.479015135845,-0.501001569469,-0.186058350595,-0.527046198294,-0.25,-0.839285714286
DAVIS,row_centered_residual,uniform_random_rows,0,56,0.306565422604,0.000399960004,10000,0.242157094589,0.0644083280152,0.591980381803,0.510154104646,0.839285714286,56,-0.511904761905,-0.479015135845,-0.501001569469,-0.186058350595,-0.527046198294,-0.25,-0.839285714286
DAVIS,raw,mw_20_quantile_matched,0,56,0.157592818755,0.129687031297,10000,0.143105933727,0.0144868850282,0.581164457892,0.298008169742,0.535714285714,56,-0.0178571428571,0.033983946735,-0.00616312999015,0.15011147,-0.485443518447,0.27380952381,-0.535714285714
DAVIS,row_centered_residual,mw_20_quantile_matched,0,56,0.306565422604,0.000399960004,10000,0.26302183723,0.0435435853745,0.591980381803,0.298008169742,0.535714285714,56,-0.0178571428571,0.033983946735,-0.00616312999015,0.15011147,-0.485443518447,0.27380952381,-0.535714285714
DAVIS,raw,seven_descriptor_nearest_256,0,56,0.157592818755,0.129687031297,10000,0.203492142679,-0.0458993239238,0.581164457892,0.0222998373969,0.0337301587302,56,-0.0337301587302,-0.0177258517059,-0.025654437994,-0.0168565460099,-0.0270637781296,0.00595238095238,-0.0178571428571
DAVIS,row_centered_residual,seven_descriptor_nearest_256,0,56,0.306565422604,0.000399960004,10000,0.221998555199,0.0845668674055,0.591980381803,0.0222998373969,0.0337301587302,56,-0.0337301587302,-0.0177258517059,-0.025654437994,-0.0168565460099,-0.0270637781296,0.00595238095238,-0.0178571428571
DAVIS,raw,uniform_scaffold_distinct,0,56,0.157592818755,0.129687031297,10000,0.117131907753,0.0404609110022,0.581164457892,0.560555565689,0.964285714286,56,-0.541666666667,-0.578071162897,-0.550520421515,-0.308530526981,-0.444926535192,-0.214285714286,-0.964285714286
DAVIS,row_centered_residual,uniform_scaffold_distinct,0,56,0.306565422604,0.000399960004,10000,0.231059985163,0.0755054374411,0.591980381803,0.560555565689,0.964285714286,56,-0.541666666667,-0.578071162897,-0.550520421515,-0.308530526981,-0.444926535192,-0.214285714286,-0.964285714286
DAVIS,raw,seven_descriptor_nearest_256_scaffold_distinct,0,56,0.157592818755,0.129687031297,10000,0.20109623477,-0.0435034160153,0.581164457892,0.0133614400831,0.0226401898935,56,0.015873015873,-0.0226401898935,0.00501867976456,0.00423498227013,-0.0173297478031,0.0119047619048,0
DAVIS,row_centered_residual,seven_descriptor_nearest_256_scaffold_distinct,0,56,0.306565422604,0.000399960004,10000,0.126863258966,0.179702163638,0.591980381803,0.0133614400831,0.0226401898935,56,0.015873015873,-0.0226401898935,0.00501867976456,0.00423498227013,-0.0173297478031,0.0119047619048,0
