panel,transformation,control_design,repetitions,ligands,observed_exact_support_spearman,observed_target_label_qap_p_two_sided,control_spearman_median,control_spearman_q025,control_spearman_q975,observed_percentile_among_controls,observed_minus_control_median,observed_minus_control_q025,observed_minus_control_q975,descriptor_balance_rms_median,unique_groups_median,equal_n_row_disjoint_vina_self_spearman_median,equal_n_row_disjoint_vina_self_spearman_q025,equal_n_row_disjoint_vina_self_spearman_q975,mean_difference_iqr_units_heavy_atoms_median,mean_difference_iqr_units_molecular_weight_median,mean_difference_iqr_units_labute_asa_median,mean_difference_iqr_units_tpsa_median,mean_difference_iqr_units_clogp_median,mean_difference_iqr_units_rotatable_bonds_median,mean_difference_iqr_units_ring_count_median
DAVIS,raw,mw_20_quantile_matched,1000,56,0.157592818755,0.129687031297,0.0973919071699,-0.0475186026246,0.231815687431,0.815184815185,0.0602009115853,-0.0742228686754,0.20511142138,0.217124873066,56,0.742531900626,0.564093354887,0.842593191294,0.00198412698413,0.0350112613358,0.0168367083107,0.0696731383632,-0.244842870299,0.232142857143,-0.428571428571
DAVIS,raw,seven_descriptor_nearest_256,1000,56,0.157592818755,0.129687031297,0.0966507177033,-0.0605035423544,0.247280890723,0.799200799201,0.0609421010519,-0.0896880719679,0.21809636111,0.0225071127358,56,0.742531900626,0.564093354887,0.842593191294,0.00198412698413,-0.0184565655357,0.00141866933537,-0.0191408032862,-0.00826020689009,0.00595238095238,-0.0178571428571
DAVIS,raw,seven_descriptor_nearest_256_scaffold_distinct,1000,56,0.157592818755,0.129687031297,0.095382143424,-0.0491480208492,0.240153615404,0.81018981019,0.0622106753312,-0.0825607966491,0.206740839604,0.0227101563554,56,0.742531900626,0.564093354887,0.842593191294,-1.11022302463e-16,-0.018297117449,0.000597750912162,-0.0186800021065,-0.00839163033501,0.00595238095238,-0.0178571428571
DAVIS,raw,uniform_random_rows,1000,56,0.157592818755,0.129687031297,0.0980320253456,-0.0177759780753,0.206177043211,0.857142857143,0.0595607934096,-0.048584224456,0.175368796831,0.516088670925,56,0.742531900626,0.564093354887,0.842593191294,-0.494047619048,-0.48887351545,-0.497534873072,-0.24751167363,-0.465352413314,-0.190476190476,-0.892857142857
DAVIS,raw,uniform_scaffold_distinct,1000,56,0.157592818755,0.129687031297,0.0981752096743,-0.0185765469253,0.2067257437,0.856143856144,0.0594176090809,-0.0491329249448,0.17616936568,0.513118176065,56,0.742531900626,0.564093354887,0.842593191294,-0.490079365079,-0.481983013493,-0.49385549586,-0.241492732507,-0.462604902468,-0.196428571429,-0.883928571429
DAVIS,row_centered_residual,mw_20_quantile_matched,1000,56,0.306565422604,0.000399960004,0.184407161808,0.0584669234482,0.321814456434,0.954045954046,0.122158260796,-0.0152490338297,0.248098499156,0.217124873066,56,0.598648495431,0.456819429012,0.719501446421,0.00198412698413,0.0350112613358,0.0168367083107,0.0696731383632,-0.244842870299,0.232142857143,-0.428571428571
DAVIS,row_centered_residual,seven_descriptor_nearest_256,1000,56,0.306565422604,0.000399960004,0.180902709164,0.0544945301643,0.334769269144,0.948051948052,0.12566271344,-0.0282038465401,0.25207089244,0.0225071127358,56,0.598648495431,0.456819429012,0.719501446421,0.00198412698413,-0.0184565655357,0.00141866933537,-0.0191408032862,-0.00826020689009,0.00595238095238,-0.0178571428571
DAVIS,row_centered_residual,seven_descriptor_nearest_256_scaffold_distinct,1000,56,0.306565422604,0.000399960004,0.179745572462,0.0476649940232,0.327439624481,0.959040959041,0.126819850142,-0.0208742018769,0.258900428581,0.0227101563554,56,0.598648495431,0.456819429012,0.719501446421,-1.11022302463e-16,-0.018297117449,0.000597750912162,-0.0186800021065,-0.00839163033501,0.00595238095238,-0.0178571428571
DAVIS,row_centered_residual,uniform_random_rows,1000,56,0.306565422604,0.000399960004,0.229770030419,0.107584784883,0.366069525386,0.879120879121,0.0767953921858,-0.0595041027817,0.198980637721,0.516088670925,56,0.598648495431,0.456819429012,0.719501446421,-0.494047619048,-0.48887351545,-0.497534873072,-0.24751167363,-0.465352413314,-0.190476190476,-0.892857142857
DAVIS,row_centered_residual,uniform_scaffold_distinct,1000,56,0.306565422604,0.000399960004,0.236975895145,0.10316489198,0.361810180341,0.854145854146,0.0695895274593,-0.0552447577367,0.203400530624,0.513118176065,56,0.598648495431,0.456819429012,0.719501446421,-0.490079365079,-0.481983013493,-0.49385549586,-0.241492732507,-0.462604902468,-0.196428571429,-0.883928571429
PKIS2,raw,mw_20_quantile_matched,1000,154,-0.0658835801265,0.575542445755,-0.0938349752019,-0.165104456531,-0.02107258668,0.773226773227,0.0279513950754,-0.0448109934466,0.0992208764047,0.294584509888,152,0.888971891167,0.806883732381,0.93085525101,-0.0533910533911,0.00949914902176,-0.0133296073874,-0.120584686879,-0.239456429435,0.300865800866,-0.655844155844
PKIS2,raw,seven_descriptor_nearest_256,1000,154,-0.0658835801265,0.575542445755,-0.0628650471504,-0.140162945062,0.020685017153,0.470529470529,-0.00301853297613,-0.0865685972795,0.0742793649354,0.0257101420916,153,0.888971891167,0.806883732381,0.93085525101,0.011544011544,0.00521390732012,0.0213298693435,-0.0529542342641,-0.0214009832885,0.00865800865801,0
