group,n_targets,n_compounds,effective_sample_size,weighted_mean_hits,raw_correlation_pr,residual_correlation_pr,z_then_row_correlation_pr,raw_covariance_pr,residual_covariance_pr,z_then_row_covariance_pr,mean_hits_per_compound
KCGS,26,187,187,1.17647058824,16.704874335,15.701010714,15.695954011,14.8831727514,14.2906923843,16.0303406803,1.17647058824
PKIS_exclusive,26,299,279.19666856,1.18419489008,17.2085383731,15.7238719402,16.2944581934,12.5301218261,12.2343997608,16.4341152114,1.4983277592
PKIS2_exclusive,26,470,415.423010373,1.20504201681,16.5864074061,15.7696230187,16.1650762182,12.3952977309,11.9197514003,15.2258209322,1.61914893617
Roche,26,222,172.080583164,1.20008912656,15.031497311,13.1898013749,14.7069576039,7.85237662631,7.48152384932,12.9373317567,2.25675675676
