calibration_ligands,covariance_estimator,repetitions,selected_k_counts,fraction_selecting_full_k,selected_k_mean,selected_k_q025,selected_k_q975,selected_cumulative_trace_fraction_mean,selected_cumulative_trace_fraction_q025,selected_cumulative_trace_fraction_q975,geometry_spearman_to_full_mean,geometry_spearman_to_full_q025,geometry_spearman_to_full_q975,locked_k_mean,locked_k_q025,locked_k_q975,mean_squared_canonical_correlation_mean,mean_squared_canonical_correlation_q025,mean_squared_canonical_correlation_q975,minimum_canonical_correlation_mean,minimum_canonical_correlation_q025,minimum_canonical_correlation_q975,maximum_principal_angle_degrees_mean,maximum_principal_angle_degrees_q025,maximum_principal_angle_degrees_q975,sample_full_roc_auc_mean,sample_full_roc_auc_q025,sample_full_roc_auc_q975,sample_full_average_precision_mean,sample_full_average_precision_q025,sample_full_average_precision_q975,selected_kernel_roc_auc_mean,selected_kernel_roc_auc_q025,selected_kernel_roc_auc_q975,selected_kernel_average_precision_mean,selected_kernel_average_precision_q025,selected_kernel_average_precision_q975,selected_unit_diagonal_roc_auc_mean,selected_unit_diagonal_roc_auc_q025,selected_unit_diagonal_roc_auc_q975,selected_unit_diagonal_average_precision_mean,selected_unit_diagonal_average_precision_q025,selected_unit_diagonal_average_precision_q975,locked_kernel_roc_auc_mean,locked_kernel_roc_auc_q025,locked_kernel_roc_auc_q975,locked_kernel_average_precision_mean,locked_kernel_average_precision_q025,locked_kernel_average_precision_q975,locked_unit_diagonal_roc_auc_mean,locked_unit_diagonal_roc_auc_q025,locked_unit_diagonal_roc_auc_q975,locked_unit_diagonal_average_precision_mean,locked_unit_diagonal_average_precision_q025,locked_unit_diagonal_average_precision_q975
100,OAS,200,4:2;5:170;6:28,0.85,5.13,5,6,0.528130896751187,0.502572118605793,0.557216438266648,0.862186329698592,0.793397542722426,0.907215726926391,5,5,5,0.72623425353045,0.620329697715953,0.844193234027012,0.412652801748406,0.0403525419201085,0.816654943511801,64.6316618059463,35.2485339992427,87.6873287363219,0.685700952380952,0.603038095238095,0.771904761904762,0.245306046314643,0.162956319625077,0.351680018987264,0.689318095238095,0.591161904761905,0.771904761904762,0.242145881428217,0.145616792096218,0.340250356469246,0.688013333333333,0.586285714285714,0.774638095238095,0.222929683534408,0.128977691984872,0.311295778728042,0.688845714285714,0.589990476190476,0.771066666666667,0.242030028518414,0.146384904431454,0.340250356469246,0.687348571428571,0.586095238095238,0.774628571428571,0.221711905090634,0.128927854953746,0.322897541197586
100,empirical,200,4:135;5:65,0.325,4.325,4,5,0.529409914751824,0.503247382383427,0.565212881936253,0.859478250600323,0.789092758073193,0.903571669137941,5,5,5,0.725172581482582,0.619286085934197,0.844049227430912,0.409677674124113,0.0252884665215124,0.814516669080282,64.8317289571579,35.4598001723833,88.5509220928073,0.685380952380952,0.601885714285714,0.772990476190476,0.254654302629985,0.16988613584246,0.340071859429371,0.680615238095238,0.586961904761905,0.771085714285714,0.238580467559236,0.145607606547229,0.334232535212696,0.681304761904762,0.581314285714286,0.774142857142857,0.213469433831792,0.126853096917054,0.312010173175056,0.686464761904762,0.589142857142857,0.769533333333333,0.246829149775715,0.145607606547229,0.337970028234188,0.685939047619048,0.582076190476191,0.773028571428571,0.221852204622323,0.129745036229391,0.324179820455603
200,OAS,200,4:2;5:188;6:10,0.94,5.04,5,6,0.522511049986243,0.501621957183898,0.548090229653574,0.921844349092627,0.887122168422802,0.947732901188399,5,5,5,0.79225872040655,0.695965463551452,0.887088253817617,0.519966893546194,0.0306392161454942,0.829828943508225,57.3174033197164,33.9179638740264,88.2442273925661,0.704297142857143,0.642257142857143,0.763847619047619,0.26692890643588,0.184887364516441,0.356341932662621,0.711093333333333,0.640571428571429,0.774857142857143,0.25977432635056,0.187604147221374,0.35240281767656,0.710470476190476,0.634257142857143,0.774895238095238,0.237639923418461,0.166855204360296,0.319095876167427,0.710977142857143,0.640571428571429,0.776028571428572,0.259722935608116,0.187604147221374,0.352033106148307,0.710434285714286,0.634257142857143,0.777180952380952,0.237479786463144,0.166855204360296,0.31858731259924
200,empirical,200,4:25;5:175,0.875,4.875,4,5,0.539055034383522,0.501029053105764,0.559350759100331,0.920925008857222,0.885830195033832,0.946737393221273,5,5,5,0.791421191137197,0.696397699999014,0.885601960132492,0.517153378783556,0.03521108774918,0.830073555251198,57.5203404526574,33.8929842799406,87.9821359982095,0.704380952380952,0.64187619047619,0.763095238095238,0.272174905826494,0.189157631746357,0.356382914146577,0.707986666666667,0.634028571428571,0.773714285714286,0.262181269047511,0.181504858311595,0.356508286601543,0.708184761904762,0.633447619047619,0.767390476190476,0.235019485007424,0.160957599588442,0.314039569678666,0.709095238095238,0.637628571428571,0.773714285714286,0.264104237850798,0.186047376801315,0.356508286601543,0.709059047619048,0.633523809523809,0.773457142857143,0.236620686728276,0.16714138390833,0.314039569678666
500,OAS,200,5:195;6:5,0.975,5.025,5,5.02500000000001,0.520641577775547,0.505675174599102,0.542058053425008,0.966042532159369,0.948388816718935,0.976952590901337,5,5,5,0.877470188106877,0.770576479785556,0.952410393099226,0.718491680619195,0.152274621124106,0.937303204057236,41.718335033869,20.3965099604146,81.2412316115341,0.70788,0.662847619047619,0.756590476190476,0.27920228930088,0.206254953788859,0.344824913525612,0.723074285714286,0.6796,0.771952380952381,0.277628685562849,0.201853137572474,0.338627990881885,0.724767619047619,0.678780952380952,0.774495238095238,0.244462171567109,0.170456967790228,0.317074429801391,0.722927619047619,0.678847619047619,0.771952380952381,0.277724674800273,0.201853137572474,0.338627990881885,0.724571428571429,0.675390476190476,0.774495238095238,0.244169893545167,0.170456967790228,0.310211265864495
500,empirical,200,5:200,1,5,5,5,0.529542207983205,0.513999392821095,0.54594149401576,0.965840141365631,0.948294427167395,0.976818529744956,5,5,5,0.877034950026474,0.770573785580397,0.952572269412697,0.71710374514209,0.152288728209531,0.936878824696447,41.8372124008791,20.4661613106084,81.2404135227046,0.707881904761905,0.662847619047619,0.756238095238095,0.28165967838422,0.210860573699614,0.347563700353345,0.721921904761905,0.678038095238095,0.770780952380952,0.279719333485936,0.201366833748806,0.338076893680474,0.723780952380952,0.675409523809524,0.772590476190476,0.244021239730032,0.169580987487696,0.309791585503991,0.721921904761905,0.678038095238095,0.770780952380952,0.279719333485936,0.201366833748806,0.338076893680474,0.723780952380952,0.675409523809524,0.772590476190476,0.244021239730032,0.169580987487696,0.309791585503991
