calibration_ligands,repetition,covariance_estimator,selected_k,selected_cumulative_trace_fraction,geometry_spearman_to_full,locked_k,mean_squared_canonical_correlation,minimum_canonical_correlation,maximum_principal_angle_degrees,sample_full_roc_auc,sample_full_average_precision,selected_kernel_roc_auc,selected_kernel_average_precision,selected_unit_diagonal_roc_auc,selected_unit_diagonal_average_precision,locked_kernel_roc_auc,locked_kernel_average_precision,locked_unit_diagonal_roc_auc,locked_unit_diagonal_average_precision
100,0,empirical,5,0.5660877721119,0.882272872407896,5,0.606246418261384,0.219156719602562,77.340492081127,0.670857142857143,0.269699811021135,0.659809523809524,0.291936691682271,0.666285714285714,0.304129288097105,0.659809523809524,0.291936691682271,0.666285714285714,0.304129288097105
100,0,OAS,5,0.519048370893787,0.884414351760728,5,0.608425067794604,0.221898982694982,77.1794060920873,0.67047619047619,0.234928089942152,0.659428571428571,0.260828149567429,0.659809523809524,0.298234196296501,0.659428571428571,0.260828149567429,0.659809523809524,0.298234196296501
100,1,empirical,4,0.516400123402993,0.888249419359918,5,0.698770634329246,0.428135506119282,64.6507072516369,0.601904761904762,0.204212021625956,0.587047619047619,0.195428207669998,0.576380952380952,0.180063560769805,0.581714285714286,0.184126398108945,0.56952380952381,0.210094178263709
100,1,OAS,5,0.527355211942673,0.890313917428825,5,0.699164259569569,0.435620574106252,64.1752114543017,0.603047619047619,0.191271293731964,0.585904761904762,0.179664040288468,0.568761904761905,0.208958750841983,0.585904761904762,0.179664040288468,0.568761904761905,0.208958750841983
100,2,empirical,4,0.504062958484056,0.879116639766957,5,0.656280724768067,0.130419261261747,82.5061795157393,0.715047619047619,0.258326960446879,0.706666666666667,0.286296306240511,0.699047619047619,0.256405676659511,0.704,0.234732692498593,0.692571428571429,0.220497321809539
100,2,OAS,5,0.513595192411797,0.88135609529933,5,0.656594291256998,0.139724443279544,81.9680987132634,0.714285714285714,0.254176228397599,0.706666666666667,0.277937500388391,0.696,0.220175224433789,0.706666666666667,0.277937500388391,0.696,0.220175224433789
100,3,empirical,4,0.525922816960473,0.895622126870405,5,0.687495378750502,0.0824807327892665,85.2688273261115,0.664380952380952,0.263220401953756,0.717714285714286,0.256259737084326,0.717714285714286,0.194813531573142,0.715809523809524,0.2821018815416,0.710095238095238,0.218061134290381
100,3,OAS,5,0.544269183407603,0.896843329965402,5,0.688720563354804,0.0747129722701259,85.7152694435247,0.66247619047619,0.256488621630813,0.717333333333333,0.271487327129144,0.712,0.222802565849049,0.717333333333333,0.271487327129144,0.712,0.222802565849049
100,4,empirical,5,0.564157007958826,0.78914126502994,5,0.660703852189981,0.313542200186012,71.7271698356605,0.683047619047619,0.30844222670755,0.692952380952381,0.289850893987113,0.692571428571429,0.25484204106441,0.692952380952381,0.289850893987113,0.692571428571429,0.25484204106441
100,4,OAS,5,0.508236946751777,0.791919589549791,5,0.658874606149164,0.313023230331815,71.7584808161381,0.682666666666667,0.294338927034086,0.694857142857143,0.290283613108842,0.69447619047619,0.250718263918571,0.694857142857143,0.290283613108842,0.69447619047619,0.250718263918571
