contrast,experimental_margin_name,experimental_margin_percentage_points,plugin_mean_difference,uncertainty.ligand_bootstrap.plugin_mean,uncertainty.ligand_bootstrap.n_clusters,uncertainty.ligand_bootstrap.n,uncertainty.ligand_bootstrap.mean,uncertainty.ligand_bootstrap.median,uncertainty.ligand_bootstrap.standard_deviation,uncertainty.ligand_bootstrap.interval_95,uncertainty.ligand_bootstrap.interval_90,uncertainty.ligand_bootstrap.minimum,uncertainty.ligand_bootstrap.maximum,uncertainty.murcko_cluster_bootstrap.plugin_mean,uncertainty.murcko_cluster_bootstrap.n_clusters,uncertainty.murcko_cluster_bootstrap.n,uncertainty.murcko_cluster_bootstrap.mean,uncertainty.murcko_cluster_bootstrap.median,uncertainty.murcko_cluster_bootstrap.standard_deviation,uncertainty.murcko_cluster_bootstrap.interval_95,uncertainty.murcko_cluster_bootstrap.interval_90,uncertainty.murcko_cluster_bootstrap.minimum,uncertainty.murcko_cluster_bootstrap.maximum,uncertainty.butina_cluster_bootstrap.plugin_mean,uncertainty.butina_cluster_bootstrap.n_clusters,uncertainty.butina_cluster_bootstrap.n,uncertainty.butina_cluster_bootstrap.mean,uncertainty.butina_cluster_bootstrap.median,uncertainty.butina_cluster_bootstrap.standard_deviation,uncertainty.butina_cluster_bootstrap.interval_95,uncertainty.butina_cluster_bootstrap.interval_90,uncertainty.butina_cluster_bootstrap.minimum,uncertainty.butina_cluster_bootstrap.maximum
two_way_residual_minus_absolute_vina,exact_non_ties,0.0,0.002853216899515863,0.002853216899515863,,5000,0.002909531135835616,0.0030237238421770424,0.005191180147043121,"[-0.007316355158573983, 0.012687022893305833]","[-0.005809911979855088, 0.011443004310518336]",-0.015975376519598915,0.02252179106746391,0.002853216899515863,111,5000,0.0028971939913811787,0.0029160764028261328,0.006074079733230827,"[-0.009034285943025898, 0.014770551601174456]","[-0.007178596314576209, 0.01292746567496497]",-0.018334382582165083,0.02234139917904305,0.002853216899515863,103,5000,0.002946521933310655,0.0029506368511783166,0.006478293346580759,"[-0.00946175167618406, 0.015498333810888814]","[-0.0077308496374019825, 0.01354632481468914]",-0.022298329725019748,0.02820754389799287
two_way_residual_minus_absolute_vina,absolute_difference_gt_5,5.0,0.0019606610801549715,0.0019606610801549715,,5000,0.0019409297426228513,0.0019736505432146985,0.005557774540581221,"[-0.009096344771444675, 0.012705636936775205]","[-0.007491858358009508, 0.01091144910081343]",-0.01942599939146819,0.021959677521947996,0.0019606610801549715,111,5000,0.0019669235458377276,0.002020834671448563,0.006603012981534385,"[-0.011258671380975846, 0.014730885316407306]","[-0.009288828101705823, 0.012644259544129337]",-0.02095951427235617,0.022515966017424744,0.0019606610801549715,103,5000,0.0017896516163837034,0.0017897521439540808,0.006753212890131571,"[-0.011619125485925445, 0.014905362815012233]","[-0.009433403519562828, 0.012797627068562472]",-0.020558732454789553,0.025073944022015383
two_way_residual_minus_absolute_vina,absolute_difference_gt_10,10.0,-0.0028477837820351363,-0.0028477837820351363,,5000,-0.002848828197289717,-0.002914691201509013,0.006294519284666387,"[-0.01504465114029094, 0.009439231753510942]","[-0.013175973029572675, 0.007618594371717078]",-0.031470709759600854,0.017490600226554825,-0.0028477837820351363,111,5000,-0.0028298318200513308,-0.002835475294028174,0.007804854106868145,"[-0.01793345407393822, 0.012104377974346553]","[-0.015512213214719999, 0.009841105344977605]",-0.02977810330830866,0.024188894348209138,-0.0028477837820351363,103,5000,-0.0026075013859614797,-0.0025174075139701418,0.0077872406188845816,"[-0.017932957900641634, 0.012433626854080523]","[-0.015409412180685847, 0.010213549195942485]",-0.02982736643404217,0.027399864352666593
two_way_residual_minus_absolute_vina,absolute_difference_gt_20,20.0,-0.012375369091648242,-0.012375369091648242,,5000,-0.012477967257205676,-0.012246841769014171,0.008998687785147699,"[-0.03027401703079204, 0.00446486358706775]","[-0.027630497413588473, 0.002034492269434451]",-0.0519621723882271,0.019903463098703174,-0.012375369091648242,111,5000,-0.01228128767850896,-0.012302666969706295,0.010217374052696055,"[-0.03265584851200272, 0.007989981953612214]","[-0.02909659827685157, 0.004463292095644405]",-0.051896593235765766,0.02700972628213458,-0.012375369091648242,103,5000,-0.01222642697914325,-0.012068617282556952,0.011499127558064664,"[-0.035355961294766154, 0.009660983006648294]","[-0.031841689427463744, 0.006354044005755833]",-0.053723678172989724,0.026427584982424226
two_way_residual_minus_column_standardized,exact_non_ties,0.0,-0.0020397330315789866,-0.0020397330315789866,,5000,-0.002001418236449788,-0.002011793735402617,0.0017380417024368466,"[-0.005478507969570235, 0.0013157359996748806]","[-0.0049027311093639775, 0.0008252068172687857]",-0.008200432870741984,0.0044782780207728535,-0.0020397330315789866,111,5000,-0.0019972746640125115,-0.0019647146772112604,0.0017422201567282242,"[-0.0054666610653533575, 0.0013860715257373022]","[-0.004887713618611627, 0.0008116610396939245]",-0.008564190149437231,0.005044583421005129,-0.0020397330315789866,103,5000,-0.002087237614237664,-0.002067046828884292,0.001752462215870133,"[-0.0056348225856124555, 0.0012946217268112801]","[-0.005002836045659813, 0.0007556068616961342]",-0.010065766944577968,0.004162413702174188
two_way_residual_minus_column_standardized,absolute_difference_gt_5,5.0,-0.001478833422615574,-0.001478833422615574,,5000,-0.0014551812055902558,-0.0014351446798554503,0.0019554129941967064,"[-0.0053043372116777215, 0.0023345284728447987]","[-0.004735274776104917, 0.0016883405884795496]",-0.008611912723502176,0.0054002214282374604,-0.001478833422615574,111,5000,-0.0014613888111621876,-0.0014175798814534959,0.0019040813745905486,"[-0.005180095281962738, 0.0023390592650324713]","[-0.0045580833243934115, 0.0016970463068007226]",-0.00834171064693224,0.004712053868395883,-0.001478833422615574,103,5000,-0.0014992384818749314,-0.0014498592791813824,0.0019077205042772366,"[-0.00531054464568473, 0.0021213538067402188]","[-0.004706887914624897, 0.001533869875891562]",-0.0095749986304724,0.005060385862824363
two_way_residual_minus_column_standardized,absolute_difference_gt_10,10.0,-0.0015275763058580857,-0.0015275763058580857,,5000,-0.0015234896578836272,-0.001457526045271878,0.0023601947893490526,"[-0.006462266682408087, 0.002938050937927198]","[-0.005498849136933009, 0.002299069838783548]",-0.010914873160639608,0.005822230426871024,-0.0015275763058580857,111,5000,-0.001562435721247213,-0.001540005654873536,0.0022148565814768145,"[-0.00610507122253539, 0.002732996183287597]","[-0.005290289739136521, 0.0020216468651688352]",-0.011555474002768174,0.0062328667630648866,-0.0015275763058580857,103,5000,-0.001578940714036918,-0.0015340629211121341,0.002216784714221358,"[-0.005991976545008702, 0.0027045841891398703]","[-0.005298001225682153, 0.002000750241193516]",-0.011078695894036667,0.00635248829649463
two_way_residual_minus_column_standardized,absolute_difference_gt_20,20.0,-0.0019742577363627326,-0.0019742577363627326,,5000,-0.002000869352971992,-0.0019338358072083649,0.0028291138445478946,"[-0.007607746010210981, 0.0034222507353487094]","[-0.006708493944010238, 0.002515829410124081]",-0.012262912698150713,0.008635140798988042,-0.0019742577363627326,111,5000,-0.001981492709011958,-0.0019244171407668386,0.0026686991582919985,"[-0.007251079306487179, 0.0031451378044013946]","[-0.00647121160488445, 0.002349447951900504]",-0.011578236764739574,0.009149569799498904,-0.0019742577363627326,103,5000,-0.001967852753240227,-0.0019173770407390997,0.002710303424953815,"[-0.007442621781024941, 0.0031686318346429874]","[-0.006498880718175539, 0.0024323884852498158]",-0.012241353366460357,0.00824221388363101
two_way_residual_minus_target_centered_residual_scaled,exact_non_ties,0.0,0.011394547575866344,0.011394547575866344,,5000,0.01145594672711078,0.011397460521341345,0.0033725961736657804,"[0.004789319286059394, 0.01801485595753321]","[0.005914470365625233, 0.01713150427827584]",-0.00020781233223933151,0.02441378066000641,0.011394547575866344,111,5000,0.011376316862910811,0.011368483166722045,0.0037821937382936906,"[0.004071030120017206, 0.01885459919591789]","[0.005161547570273787, 0.01764465809479363]",-0.0043993459587065575,0.02518304385535534,0.011394547575866344,103,5000,0.011253408111672773,0.011224354409468411,0.004107078101606532,"[0.003429444697279411, 0.01949433532921621]","[0.00456732420831994, 0.018107269225456076]",-0.0033998712917942086,0.02728152070389999
two_way_residual_minus_target_centered_residual_scaled,absolute_difference_gt_5,5.0,0.014535085336190792,0.014535085336190792,,5000,0.014509598078559659,0.01450357001435515,0.003431123552297438,"[0.007760820438986746, 0.021253239331540122]","[0.008838730939287732, 0.020244289215138097]",0.002672699728324946,0.028264310362680487,0.014535085336190792,111,5000,0.014503187738786652,0.01444994069240127,0.004073235866268028,"[0.006663000714192968, 0.022606451477409167]","[0.00787153862411877, 0.02135004461486432]",0.0019088331707317408,0.030070710588162214,0.014535085336190792,103,5000,0.014337696815009918,0.014162757085703179,0.0045622351063356655,"[0.005980952474476333, 0.023675910210519718]","[0.007203991966250078, 0.02212985282078203]",1.8976645054105338e-05,0.03177264984357524
