evaluation_identity,representation,roc_auc,average_precision
TXXYVBLFLGPQOR-GOEBONIOSA-N,target_centered_unscaled,0.19999999999999996,0.058823529411764705
UHBZCEYZFPBQEU-UHFFFAOYSA-N,target_centered_unscaled,0.9,0.3333333333333333
UJLAWZDWDVHWOW-YPMHNXCESA-N,target_centered_unscaled,0.95,0.5
UJPJYIXFJSSTRL-UHFFFAOYSA-N,target_centered_unscaled,0.95,0.5
VBJULRMRDQBSIN-UHFFFAOYSA-N,target_centered_unscaled,,
VBVQRWCLJVUBMP-UHFFFAOYSA-N,target_centered_unscaled,0.7631578947368421,0.5909090909090909
VFCFJSWYTMMESK-UHFFFAOYSA-N,target_centered_unscaled,1.0,1.0
VNDDOAWIHYNTOI-UHFFFAOYSA-N,target_centered_unscaled,0.5441176470588236,0.27699055330634276
VQYHPUHKYSSEOB-ZDUSSCGKSA-N,target_centered_unscaled,0.85,0.25
VRFCECOEWLDCBE-UHFFFAOYSA-N,target_centered_unscaled,0.47959183673469385,0.4158610812746151
VYPFXAQENHJVIR-UHFFFAOYSA-N,target_centered_unscaled,0.85,0.25
WHARNYOKNQYQGR-UHFFFAOYSA-N,target_centered_unscaled,0.30000000000000004,0.06666666666666667
WLALQQYUBWGRLL-UHFFFAOYSA-N,target_centered_unscaled,0.55,0.1
WNZMTWAJENZPDM-UHFFFAOYSA-N,target_centered_unscaled,1.0,1.0
WOZKSDHVBUBBLG-UHFFFAOYSA-N,target_centered_unscaled,0.25,0.0625
WQQPBXGJFFKXKX-UHFFFAOYSA-N,target_centered_unscaled,0.5588235294117647,0.24318181818181817
