descriptor,complete_median,complete_iqr,incomplete_median,incomplete_iqr,standardized_mean_difference_incomplete_minus_complete
molecular_weight,249.38300000000004,"[198.31399999999994, 297.40000000000003]",398.5910000000002,"[351.40225000000015, 497.26500000000016]",1.8624770860932627
heavy_atoms,17.0,"[13.0, 21.0]",28.0,"[24.0, 32.0]",2.03296802433997
clogp,2.3743000000000007,"[1.4211999999999998, 3.291120000000001]",3.4220100000000024,"[2.174075, 4.652975000000005]",0.4965986162669672
tpsa,40.4,"[26.02, 58.56]",65.07000000000001,"[41.03, 100.62000000000002]",0.8989987512778514
rotatable_bonds,3.0,"[2.0, 6.0]",6.0,"[4.0, 9.0]",0.818621088135219
ring_count,2.0,"[1.0, 2.0]",3.0,"[2.0, 4.0]",1.3516661016420517
