dataset,surface,n_targets,participation_ratio,mean_squared_offdiagonal_correlation,mean_absolute_offdiagonal_correlation,pc1_fraction,entropy_rank
Docking-44,column-standardized,44,1.834045574797235,0.5346669705261811,0.6944858422192661,0.7329495272570136,3.8971714547036647
Docking-44,residual,44,9.30291194271645,0.08673725276092123,0.24572754029801525,0.2741107508446659,19.990770268410262
DOCKSTRING-58,column-standardized,58,2.266322970109517,0.4314406289120782,0.6216815282719892,0.6586977522401546,6.205501023261391
DOCKSTRING-58,residual,58,18.205875537641614,0.038347100252547214,0.15486350937256313,0.17818131677247512,34.563127288474334
