dataset,target_set,removed_target,descriptor,loading_vector_cosine,absolute_descriptor_residual_pc1_score_correlation,median_raw_target_slope,median_residual_target_slope,conditional_mw_slope_median,conditional_rotatable_bond_slope_median,targets_with_positive_conditional_rotatable_bond_slope
Docking-44,primary,,molecular_weight,0.9625574909525806,0.6577885541824903,-0.19280045090776982,-0.0031979512727189604,-0.34971118652419036,0.10038014235930698,44
Docking-44,primary,,heavy_atoms,0.9585301083923974,0.7091605481418377,-0.06028867455387242,-0.0021303299616078544,-0.34971118652419036,0.10038014235930698,44
Docking-44,primary,,rotatable_bonds,0.8163239740543441,0.24274520562028695,0.0190341035586003,-0.0046020297568322086,-0.34971118652419036,0.10038014235930698,44
Docking-44,without_most_imputed_target,4mqs,molecular_weight,0.9595483712240455,0.6468755513786525,-0.20107909466834256,-0.0013265101242116472,-0.3536625176241577,0.10181544346344161,43
Docking-44,without_most_imputed_target,4mqs,heavy_atoms,0.9474900898478497,0.6809607840608338,-0.0624242262547384,-0.0018048290057700372,-0.3536625176241577,0.10181544346344161,43
Docking-44,without_most_imputed_target,4mqs,rotatable_bonds,0.8037609078862559,0.2390480887314651,0.017530763154601114,-0.0046896626037058195,-0.3536625176241577,0.10181544346344161,43
DOCKSTRING-58,primary,,molecular_weight,0.9287073112887777,0.7344087175721606,-0.45787601503010555,-0.06541046463411315,-0.777649553957296,0.15266217762543638,57
DOCKSTRING-58,primary,,heavy_atoms,0.9267699388608528,0.7516851067117182,-0.07162468152664195,-0.00924713405632092,-0.777649553957296,0.15266217762543638,57
DOCKSTRING-58,primary,,rotatable_bonds,0.6256211796333518,0.2634804980303648,-0.020601180608660445,-0.009372748488436328,-0.777649553957296,0.15266217762543638,57
