record_type,representation,experimental_margin_pkd,pair_stratum,mean_per_ligand_pairwise_concordance,pair_weighted_concordance,evaluated_ligands,evaluated_pairs,excluded_by_experimental_margin,excluded_both_censored_pairs,excluded_by_stratum,predicted_score_ties_half_credit,chance_concordance,difference_from_chance_0_5,mean_within_ligand_spearman,spearman_evaluated_ligands,top1_accuracy_allowing_experimental_ties,top1_evaluated_ligands,ligand_bootstrap_interval_95_low,ligand_bootstrap_interval_95_high,murcko_cluster_bootstrap_interval_95_low,murcko_cluster_bootstrap_interval_95_high,butina_cluster_bootstrap_interval_95_low,butina_cluster_bootstrap_interval_95_high
representation_estimate,absolute_vina,0.0,all_informative,0.5393789136767917,0.5159109645507007,56.0,6065.0,9.0,6316.0,0.0,222.0,0.5,0.039378913676791694,0.04372425418252428,56.0,0.03571428571428571,56.0,0.49991701414338285,0.5807788768650468,0.49782640242608606,0.5801739105959112,0.4964935818912657,0.5852542335406906
representation_estimate,absolute_vina,0.0,both_uncensored,0.45923629247458775,0.4860557768924303,49.0,1757.0,9.0,6316.0,4308.0,60.0,0.5,-0.04076370752541225,,0.0,,0.0,0.4034511851102993,0.5131705758276762,0.40273198514881114,0.5109613591241219,0.40094333061673054,0.5127668050654829
representation_estimate,absolute_vina,0.0,floor_vs_uncensored,0.5473020602833384,0.5280872794800371,56.0,4308.0,9.0,6316.0,1757.0,162.0,0.5,0.04730206028333839,,0.0,,0.0,0.4999543687367078,0.5927961871554229,0.49945603151708823,0.5952264919227047,0.4962770935612427,0.598173538679678
representation_estimate,absolute_vina,0.5,all_informative,0.5310746224393752,0.5091519219035997,54.0,4917.0,1157.0,6316.0,0.0,181.0,0.5,0.0310746224393752,0.04372425418252428,56.0,0.03571428571428571,56.0,0.4867133303194945,0.5763547405028792,0.48460160784930234,0.5750125601319636,0.48431827129165805,0.577036741176013
representation_estimate,absolute_vina,0.5,both_uncensored,0.45874818645903986,0.4755608974358974,47.0,1248.0,1157.0,6316.0,3669.0,45.0,0.5,-0.041251813540960136,,0.0,,0.0,0.38681074960010475,0.526572880786228,0.3875989262574399,0.5289982527636632,0.38512735737659376,0.5316057997313458
representation_estimate,absolute_vina,0.5,floor_vs_uncensored,0.5394219241621525,0.5205778141182884,54.0,3669.0,1157.0,6316.0,1248.0,136.0,0.5,0.03942192416215251,,0.0,,0.0,0.48973907515293197,0.5904965328240962,0.4903905376957823,0.5915147296755583,0.48465669540577894,0.5908085545861567
representation_estimate,absolute_vina,1.0,all_informative,0.5221725384689265,0.5043254933765883,53.0,3699.0,2375.0,6316.0,0.0,139.0,0.5,0.022172538468926528,0.04372425418252428,56.0,0.03571428571428571,56.0,0.47300372661825607,0.572384247722108,0.4722556916685679,0.5732580087883647,0.46908473599614275,0.5745546008743633
representation_estimate,absolute_vina,1.0,both_uncensored,0.4795190817188065,0.4892086330935252,45.0,834.0,2375.0,6316.0,2865.0,34.0,0.5,-0.020480918281193528,,0.0,,0.0,0.40101202691198345,0.5602492775775291,0.40055649295245044,0.5588753426720956,0.3987224466891116,0.557150536180896
representation_estimate,absolute_vina,1.0,floor_vs_uncensored,0.529360661965139,0.5087260034904014,53.0,2865.0,2375.0,6316.0,834.0,105.0,0.5,0.02936066196513898,,0.0,,0.0,0.47804157544423215,0.5814003833401179,0.4768199877121241,0.5813501527517406,0.47353007560372584,0.5850051611916798
representation_estimate,target_centered_unscaled,0.0,all_informative,0.5263861251163744,0.5185490519373455,56.0,6065.0,9.0,6316.0,0.0,0.0,0.5,0.026386125116374393,0.0381981954198542,56.0,0.05357142857142857,56.0,0.484175401867391,0.569145390739863,0.4831634826205028,0.5703277704350934,0.47870301445040997,0.571926464010966
representation_estimate,target_centered_unscaled,0.0,both_uncensored,0.48168344816003883,0.50199203187251,49.0,1757.0,9.0,6316.0,4308.0,0.0,0.5,-0.01831655183996117,,0.0,,0.0,0.42330427206076005,0.5420908401649666,0.42379681129239244,0.5398372128748762,0.4221397604045961,0.5403713422043254
representation_estimate,target_centered_unscaled,0.0,floor_vs_uncensored,0.5298303695839356,0.5253017641597029,56.0,4308.0,9.0,6316.0,1757.0,0.0,0.5,0.02983036958393559,,0.0,,0.0,0.48014593891383645,0.5785963815569549,0.47847332746289883,0.577796913260683,0.4759946785857868,0.5835493670371688
representation_estimate,target_centered_unscaled,0.5,all_informative,0.5145351733249528,0.5114907463900753,54.0,4917.0,1157.0,6316.0,0.0,0.0,0.5,0.0145351733249528,0.0381981954198542,56.0,0.05357142857142857,56.0,0.46584563635022047,0.5619133710049691,0.4679226402070443,0.5608698726907061,0.461971642181076,0.5629952044997378
representation_estimate,target_centered_unscaled,0.5,both_uncensored,0.4996087946952207,0.5016025641025641,47.0,1248.0,1157.0,6316.0,3669.0,0.0,0.5,-0.0003912053047793185,,0.0,,0.0,0.42098868482844326,0.5803122869574738,0.4210913729473191,0.5787864213973535,0.41848394767322267,0.580444141975983
representation_estimate,target_centered_unscaled,0.5,floor_vs_uncensored,0.5155929791467472,0.514854183701281,54.0,3669.0,1157.0,6316.0,1248.0,0.0,0.5,0.015592979146747177,,0.0,,0.0,0.4623775688344231,0.5675695059487925,0.46097914113073213,0.5673554558554198,0.4569189982921963,0.5730184047323331
representation_estimate,target_centered_unscaled,1.0,all_informative,0.5158776229950149,0.5128413084617465,53.0,3699.0,2375.0,6316.0,0.0,0.0,0.5,0.01587762299501494,0.0381981954198542,56.0,0.05357142857142857,56.0,0.4627753881791776,0.5673281292218098,0.4656279591205117,0.5676697237785048,0.45879012226549276,0.5706839108244223
representation_estimate,target_centered_unscaled,1.0,both_uncensored,0.49189337653660103,0.5239808153477218,45.0,834.0,2375.0,6316.0,2865.0,0.0,0.5,-0.008106623463398965,,0.0,,0.0,0.4093755603019614,0.5749740261070669,0.40781884839169597,0.5733039893373157,0.4089594302932473,0.5721241756397187
representation_estimate,target_centered_unscaled,1.0,floor_vs_uncensored,0.5168462551608349,0.5095986038394416,53.0,2865.0,2375.0,6316.0,834.0,0.0,0.5,0.016846255160834933,,0.0,,0.0,0.46083464153366765,0.5701912202840462,0.46002274533136395,0.5726450062227374,0.45591006273814505,0.5740600858497085
representation_estimate,column_standardized,0.0,all_informative,0.5236072665066815,0.5170651277823578,56.0,6065.0,9.0,6316.0,0.0,0.0,0.5,0.023607266506681546,0.034121819659735174,56.0,0.03571428571428571,56.0,0.47949735483428657,0.5665209259363073,0.48117958858743803,0.5663224352011544,0.4743180729905725,0.5704727350197376
representation_estimate,column_standardized,0.0,both_uncensored,0.4818544811642051,0.5014228799089356,49.0,1757.0,9.0,6316.0,4308.0,0.0,0.5,-0.018145518835794905,,0.0,,0.0,0.41854090646803727,0.545604897905068,0.4169933181990674,0.5465953078396132,0.4172527710692434,0.5447626761996774
representation_estimate,column_standardized,0.0,floor_vs_uncensored,0.5263696206212357,0.5234447539461468,56.0,4308.0,9.0,6316.0,1757.0,0.0,0.5,0.026369620621235712,,0.0,,0.0,0.47722415377785404,0.5741026264616403,0.47617710522926565,0.5758639287751482,0.46931088715476355,0.5782837224872857
representation_estimate,column_standardized,0.5,all_informative,0.5111162001693254,0.5094569859670531,54.0,4917.0,1157.0,6316.0,0.0,0.0,0.5,0.011116200169325352,0.034121819659735174,56.0,0.03571428571428571,56.0,0.46416570517823047,0.55796841362607,0.4640973805338712,0.5574191014091348,0.4581357606267143,0.5608733990178947
representation_estimate,column_standardized,0.5,both_uncensored,0.5117153356570701,0.5048076923076923,47.0,1248.0,1157.0,6316.0,3669.0,0.0,0.5,0.011715335657070058,,0.0,,0.0,0.43631457655691325,0.588846341445764,0.4355341045755651,0.5889870792078963,0.435157453431528,0.5914038335083086
representation_estimate,column_standardized,0.5,floor_vs_uncensored,0.5101808954721823,0.5110384300899428,54.0,3669.0,1157.0,6316.0,1248.0,0.0,0.5,0.010180895472182261,,0.0,,0.0,0.4566794692400368,0.5622611306809394,0.45670786909608674,0.5640027626364036,0.4531898365515695,0.5666857199935079
representation_estimate,column_standardized,1.0,all_informative,0.5148624355901391,0.5114895917815626,53.0,3699.0,2375.0,6316.0,0.0,0.0,0.5,0.014862435590139111,0.034121819659735174,56.0,0.03571428571428571,56.0,0.460843066588302,0.5677053345126605,0.46381521892024236,0.5669034872859862,0.4565821481245997,0.5708877383524175
representation_estimate,column_standardized,1.0,both_uncensored,0.5100668655702519,0.5275779376498801,45.0,834.0,2375.0,6316.0,2865.0,0.0,0.5,0.010066865570251937,,0.0,,0.0,0.4297248280669725,0.5888031662000233,0.4293279551501996,0.5900267014311863,0.426601800799655,0.5923427002848171
representation_estimate,column_standardized,1.0,floor_vs_uncensored,0.5121465523425213,0.506806282722513,53.0,2865.0,2375.0,6316.0,834.0,0.0,0.5,0.012146552342521266,,0.0,,0.0,0.456287952007853,0.5669995747947397,0.45599207011959275,0.5674700770531447,0.4486170511389023,0.5697012576506525
representation_estimate,target_centered_residual_scaled,0.0,all_informative,0.5055783523675234,0.49793899422918386,56.0,6065.0,9.0,6316.0,0.0,0.0,0.5,0.005578352367523354,0.004208898892792376,56.0,0.07142857142857142,56.0,0.4568952301541697,0.5528464844602552,0.45952572247009443,0.5528291405013981,0.45276886096960695,0.5559571383302327
representation_estimate,target_centered_residual_scaled,0.0,both_uncensored,0.46688938756765885,0.4906089926010245,49.0,1757.0,9.0,6316.0,4308.0,0.0,0.5,-0.03311061243234115,,0.0,,0.0,0.4060502743788157,0.5299348157614434,0.405281371525527,0.5305747849824948,0.40112090479831125,0.5328930035855063
representation_estimate,target_centered_residual_scaled,0.0,floor_vs_uncensored,0.5074363273111852,0.5009285051067781,56.0,4308.0,9.0,6316.0,1757.0,0.0,0.5,0.0074363273111851536,,0.0,,0.0,0.4546015194700752,0.5588705201939366,0.4552622878065326,0.5592930658452099,0.45155859207610305,0.5620978812081652
