deleted_target,endpoint,experimental_margin_name,representation,estimate,evaluated_ligands,evaluated_pairs
ABL1,pairwise_concordance,exact_non_ties,docking_target_prior,0.4819943494666812,154,22192
ABL1,pairwise_concordance,absolute_difference_gt_5,docking_target_prior,0.4729697397591674,154,17815
ABL1,pairwise_concordance,absolute_difference_gt_10,docking_target_prior,0.4740735074442013,153,14371
ABL1,pairwise_concordance,absolute_difference_gt_20,docking_target_prior,0.4710833810922632,149,9891
ABL1,roc_auc,,docking_target_prior,0.4333200557761428,121,4761
ABL1,average_precision,,docking_target_prior,0.20837636881409907,121,4761
AKT1,pairwise_concordance,exact_non_ties,absolute_vina,0.51855850419809,154,22614
AKT1,pairwise_concordance,absolute_difference_gt_5,absolute_vina,0.5256365042623832,154,18419
AKT1,pairwise_concordance,absolute_difference_gt_10,absolute_vina,0.5335316499373295,154,15111
AKT1,pairwise_concordance,absolute_difference_gt_20,absolute_vina,0.5545199300801111,151,10728
AKT1,roc_auc,,absolute_vina,0.5638036201288958,123,5052
AKT1,average_precision,,absolute_vina,0.2958522840510389,123,5052
AKT1,pairwise_concordance,exact_non_ties,target_centered_unscaled,0.5150156851446441,154,22614
AKT1,pairwise_concordance,absolute_difference_gt_5,target_centered_unscaled,0.5198435453055462,154,18419
AKT1,pairwise_concordance,absolute_difference_gt_10,target_centered_unscaled,0.5225408132946318,154,15111
AKT1,pairwise_concordance,absolute_difference_gt_20,target_centered_unscaled,0.5321439389091601,151,10728
AKT1,roc_auc,,target_centered_unscaled,0.5727789837958418,123,5052
AKT1,average_precision,,target_centered_unscaled,0.31171197218516733,123,5052
AKT1,pairwise_concordance,exact_non_ties,column_standardized,0.5128563036754888,154,22614
AKT1,pairwise_concordance,absolute_difference_gt_5,column_standardized,0.5172666736880609,154,18419
AKT1,pairwise_concordance,absolute_difference_gt_10,column_standardized,0.5193905243550004,154,15111
AKT1,pairwise_concordance,absolute_difference_gt_20,column_standardized,0.5282902031003078,151,10728
AKT1,roc_auc,,column_standardized,0.56957348032029,123,5052
AKT1,average_precision,,column_standardized,0.30936939845763645,123,5052
AKT1,pairwise_concordance,exact_non_ties,target_centered_residual_scaled,0.5014588881493042,154,22614
AKT1,pairwise_concordance,absolute_difference_gt_5,target_centered_residual_scaled,0.5035189622670633,154,18419
AKT1,pairwise_concordance,absolute_difference_gt_10,target_centered_residual_scaled,0.5053949427018951,154,15111
AKT1,pairwise_concordance,absolute_difference_gt_20,target_centered_residual_scaled,0.5067627973360673,151,10728
AKT1,roc_auc,,target_centered_residual_scaled,0.5504588497437549,123,5052
AKT1,average_precision,,target_centered_residual_scaled,0.2955430286957238,123,5052
AKT1,pairwise_concordance,exact_non_ties,two_way_residual,0.5129581616592279,154,22614
AKT1,pairwise_concordance,absolute_difference_gt_5,two_way_residual,0.5176849922207777,154,18419
AKT1,pairwise_concordance,absolute_difference_gt_10,two_way_residual,0.520542345301716,154,15111
AKT1,pairwise_concordance,absolute_difference_gt_20,two_way_residual,0.5293776922177574,151,10728
AKT1,roc_auc,,two_way_residual,0.5691056369367081,123,5052
AKT1,average_precision,,two_way_residual,0.29914638659482107,123,5052
AKT1,pairwise_concordance,exact_non_ties,docking_target_prior,0.5162011103903421,154,22614
AKT1,pairwise_concordance,absolute_difference_gt_5,docking_target_prior,0.5157520438180828,154,18419
AKT1,pairwise_concordance,absolute_difference_gt_10,docking_target_prior,0.5277323836294486,154,15111
AKT1,pairwise_concordance,absolute_difference_gt_20,docking_target_prior,0.5431890371801606,151,10728
AKT1,roc_auc,,docking_target_prior,0.4737835626960542,123,5052
AKT1,average_precision,,docking_target_prior,0.2667765141856602,123,5052
AKT2,pairwise_concordance,exact_non_ties,absolute_vina,0.5130812646196456,154,22442
AKT2,pairwise_concordance,absolute_difference_gt_5,absolute_vina,0.5176742905906319,154,18305
AKT2,pairwise_concordance,absolute_difference_gt_10,absolute_vina,0.5234857468334153,154,15067
AKT2,pairwise_concordance,absolute_difference_gt_20,absolute_vina,0.539773701213293,151,10786
AKT2,roc_auc,,absolute_vina,0.5486752358948283,123,5067
AKT2,average_precision,,absolute_vina,0.274456699049162,123,5067
AKT2,pairwise_concordance,exact_non_ties,target_centered_unscaled,0.5193070440928869,154,22442
AKT2,pairwise_concordance,absolute_difference_gt_5,target_centered_unscaled,0.5226425112929278,154,18305
AKT2,pairwise_concordance,absolute_difference_gt_10,target_centered_unscaled,0.5244442886221276,154,15067
AKT2,pairwise_concordance,absolute_difference_gt_20,target_centered_unscaled,0.5324778672436732,151,10786
AKT2,roc_auc,,target_centered_unscaled,0.5698421800902357,123,5067
AKT2,average_precision,,target_centered_unscaled,0.30183395660165996,123,5067
AKT2,pairwise_concordance,exact_non_ties,column_standardized,0.5184723754733225,154,22442
AKT2,pairwise_concordance,absolute_difference_gt_5,column_standardized,0.5214734366379614,154,18305
AKT2,pairwise_concordance,absolute_difference_gt_10,column_standardized,0.5230625793098048,154,15067
AKT2,pairwise_concordance,absolute_difference_gt_20,column_standardized,0.5307472668526342,151,10786
AKT2,roc_auc,,column_standardized,0.5680847440634686,123,5067
AKT2,average_precision,,column_standardized,0.3017514984873459,123,5067
