target_1,target_2,informative_ligands__exact_non_ties,informative_ligands__absolute_difference_gt_5,informative_ligands__absolute_difference_gt_10,informative_ligands__absolute_difference_gt_20,active_vs_inactive_ligands,both_active_unequal_ligands
IGF1R,JAK2,119,97,70,48,23,0
IGF1R,KDR,115,94,75,52,23,0
IGF1R,KIT,132,118,100,80,47,0
IGF1R,LCK,127,101,83,61,25,0
IGF1R,MAP2K1,101,70,52,33,4,0
IGF1R,MAPK1,96,72,47,17,0,0
IGF1R,MAPK14,119,94,75,54,40,0
IGF1R,MAPKAPK2,90,70,44,19,4,0
IGF1R,MET,99,75,51,34,14,0
IGF1R,PLK1,102,81,63,43,23,0
IGF1R,PTK2,95,69,50,26,8,0
IGF1R,ROCK1,110,89,71,47,10,0
IGF1R,SRC,102,76,51,28,12,0
JAK2,KDR,123,104,84,60,32,7
JAK2,KIT,138,121,107,77,48,11
JAK2,LCK,136,108,92,60,30,9
JAK2,MAP2K1,122,98,75,49,25,1
JAK2,MAPK1,125,91,73,50,23,0
JAK2,MAPK14,135,120,99,81,55,4
JAK2,MAPKAPK2,119,98,78,53,25,1
JAK2,MET,118,100,74,47,21,8
JAK2,PLK1,112,94,77,58,38,4
JAK2,PTK2,111,89,69,48,23,4
JAK2,ROCK1,124,101,83,61,21,6
JAK2,SRC,124,97,75,49,21,7
KDR,KIT,138,108,80,60,26,22
KDR,LCK,133,106,90,62,24,12
KDR,MAP2K1,116,88,71,51,25,1
KDR,MAPK1,118,96,68,45,23,0
KDR,MAPK14,131,109,95,79,51,6
KDR,MAPKAPK2,112,90,77,58,27,0
KDR,MET,114,92,73,49,25,5
KDR,PLK1,114,104,86,66,46,0
KDR,PTK2,109,94,77,58,27,2
KDR,ROCK1,125,107,94,74,31,1
KDR,SRC,109,88,61,37,23,6
KIT,LCK,140,104,87,60,32,20
KIT,MAP2K1,141,124,108,80,47,2
KIT,MAPK1,135,116,100,75,47,0
KIT,MAPK14,142,126,105,85,59,12
KIT,MAPKAPK2,127,117,104,80,49,1
KIT,MET,135,127,115,85,47,7
KIT,PLK1,136,124,109,91,66,2
KIT,PTK2,138,124,110,87,53,1
KIT,ROCK1,142,125,110,89,53,2
KIT,SRC,132,114,92,68,41,7
LCK,MAP2K1,133,111,92,63,25,2
LCK,MAPK1,133,108,86,56,25,0
LCK,MAPK14,140,117,105,76,45,10
LCK,MAPKAPK2,124,107,93,67,29,0
LCK,MET,132,110,94,63,25,7
LCK,PLK1,128,108,93,70,44,2
LCK,PTK2,128,105,91,61,29,2
LCK,ROCK1,134,118,100,72,31,2
LCK,SRC,127,99,79,38,13,12
MAP2K1,MAPK1,100,74,57,28,4,0
MAP2K1,MAPK14,124,106,87,65,42,1
MAP2K1,MAPKAPK2,101,79,62,42,8,0
MAP2K1,MET,107,87,72,51,16,1
MAP2K1,PLK1,99,73,59,45,27,0
MAP2K1,PTK2,98,67,56,42,12,0
MAP2K1,ROCK1,113,93,80,56,14,0
MAP2K1,SRC,109,81,64,42,14,1
MAPK1,MAPK14,121,96,73,56,40,0
MAPK1,MAPKAPK2,95,68,52,21,4,0
MAPK1,MET,96,75,53,36,14,0
MAPK1,PLK1,107,85,66,45,23,0
MAPK1,PTK2,88,58,42,26,8,0
MAPK1,ROCK1,118,94,72,45,10,0
MAPK1,SRC,100,74,52,30,12,0
MAPK14,MAPKAPK2,112,97,80,63,44,0
MAPK14,MET,128,115,92,76,50,2
MAPK14,PLK1,129,110,96,85,57,3
MAPK14,PTK2,124,103,87,71,46,1
MAPK14,ROCK1,120,102,88,73,48,1
MAPK14,SRC,125,98,79,67,40,5
MAPKAPK2,MET,102,83,64,42,18,0
MAPKAPK2,PLK1,108,91,72,55,27,0
MAPKAPK2,PTK2,98,70,56,39,12,0
MAPKAPK2,ROCK1,101,84,69,45,12,1
MAPKAPK2,SRC,103,83,67,40,16,0
MET,PLK1,108,97,75,56,31,3
MET,PTK2,91,74,54,33,14,4
MET,ROCK1,125,112,97,74,24,0
MET,SRC,99,74,54,38,16,5
PLK1,PTK2,98,78,63,48,25,3
PLK1,ROCK1,117,95,84,64,31,1
PLK1,SRC,109,92,73,54,33,1
PTK2,ROCK1,119,93,79,60,18,0
PTK2,SRC,100,72,57,39,16,2
ROCK1,SRC,118,98,80,60,18,2
