evaluation_identity,representation,experimental_margin_name,experimental_margin_percentage_points,pairwise_concordance,evaluated_pairs
FAICIPSJBXCWEZ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6742424242424242,132
FBHNLBFMQWTPTN-WBVHZDCISA-N,absolute_vina,exact_non_ties,0.0,0.4440993788819876,161
FISKNRRMNMXILF-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4861878453038674,181
FLUPOKVTJQLXSE-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.3241758241758242,182
FMTCKHIVPRUMEG-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.3371212121212121,132
FOHZGCHKLPIBBX-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5076335877862596,131
FTHCHPDGJBUELK-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5096618357487923,207
FUWKNYZEQAGYBA-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.4375,144
GALNGZPXDPAWDR-QGZVFWFLSA-N,absolute_vina,exact_non_ties,0.0,0.5402298850574713,174
GBRORGYPYNNDGL-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6080402010050251,199
GFMMXOIFOQCCGU-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5897435897435898,39
GIWGYHXKKYZEQA-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6181818181818182,165
GVVAOKGDOGVPSI-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6580459770114943,174
GWTAEVKZCDFFEX-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.7322580645161291,155
HABRRQSUPGOZTD-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.38372093023255816,172
HCRQPXYLXXLKPT-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5303030303030303,165
HEKAIDKUDLCBRU-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.3972972972972973,185
HESLKTSGTIBHJU-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5373563218390804,174
HNQXYQNMPSACKT-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5891089108910891,202
HVNQYDHDQBJAAH-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6888888888888889,90
HZJDBCYRQSJNLZ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.3453038674033149,181
IAUZTOZLTFSMIE-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.6025641025641025,195
IBAYIPZJRQHHLX-OAHLLOKOSA-N,absolute_vina,exact_non_ties,0.0,0.5717821782178217,202
IBCXZJCWDGCXQT-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.42702702702702705,185
IFPPYSWJNWHOLQ-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.61,200
IHKGTVZWLMITRF-UHFFFAOYSA-N,absolute_vina,exact_non_ties,0.0,0.5333333333333333,105
