representation,mean_per_ligand_pairwise_concordance,pair_weighted_concordance,evaluated_ligands,evaluated_pairs,median_pairs_per_evaluated_ligand,minimum_pairs_per_evaluated_ligand,maximum_pairs_per_evaluated_ligand,excluded_by_experimental_margin,excluded_by_activity_stratum_after_margin,predicted_score_ties_half_credit,chance_concordance,difference_from_chance_0_5,mean_within_ligand_spearman,spearman_evaluated_ligands,top1_accuracy_allowing_experimental_ties,top1_evaluated_ligands,pair_stratum,experimental_margin_name,experimental_margin_percentage_points,activity_threshold_percent,status,uncertainty.ligand_bootstrap.plugin_mean,uncertainty.ligand_bootstrap.n_clusters,uncertainty.ligand_bootstrap.n,uncertainty.ligand_bootstrap.mean,uncertainty.ligand_bootstrap.median,uncertainty.ligand_bootstrap.standard_deviation,uncertainty.ligand_bootstrap.interval_95,uncertainty.ligand_bootstrap.interval_90,uncertainty.ligand_bootstrap.minimum,uncertainty.ligand_bootstrap.maximum,uncertainty.murcko_cluster_bootstrap.plugin_mean,uncertainty.murcko_cluster_bootstrap.n_clusters,uncertainty.murcko_cluster_bootstrap.n,uncertainty.murcko_cluster_bootstrap.mean,uncertainty.murcko_cluster_bootstrap.median,uncertainty.murcko_cluster_bootstrap.standard_deviation,uncertainty.murcko_cluster_bootstrap.interval_95,uncertainty.murcko_cluster_bootstrap.interval_90,uncertainty.murcko_cluster_bootstrap.minimum,uncertainty.murcko_cluster_bootstrap.maximum,uncertainty.butina_cluster_bootstrap.plugin_mean,uncertainty.butina_cluster_bootstrap.n_clusters,uncertainty.butina_cluster_bootstrap.n,uncertainty.butina_cluster_bootstrap.mean,uncertainty.butina_cluster_bootstrap.median,uncertainty.butina_cluster_bootstrap.standard_deviation,uncertainty.butina_cluster_bootstrap.interval_95,uncertainty.butina_cluster_bootstrap.interval_90,uncertainty.butina_cluster_bootstrap.minimum,uncertainty.butina_cluster_bootstrap.maximum
absolute_vina,0.5144048281051141,0.46954314720812185,66,591,6.0,1,59,7608,24141,25,0.5,0.01440482810511412,,0,,0,both_active,exact_non_ties,0.0,65.0,secondary exploratory outcome-conditioned exact-non-tie sensitivity: inclusion requires both PKIS2 target values to be at least 65% inhibition/displacement and their absolute experimental difference to be greater than 0 percentage points; intervals are unadjusted for multiplicity,0.5144048281051141,,5000,0.5142244757845487,0.5135903267777218,0.044901739946208906,"[0.424989601905639, 0.6017820071956705]","[0.4409131773886748, 0.5882266805110251]",0.36376409265223575,0.699676992771648,0.5144048281051141,111,5000,0.5146286327750395,0.5163318668039155,0.04606547461788435,"[0.42137121963814517, 0.602112671491326]","[0.43631187995517223, 0.5899987719772514]",0.352846065208958,0.6895323006587301,0.5144048281051141,103,5000,0.5149915786491125,0.5153207655017586,0.053228241372995436,"[0.41472978030552554, 0.6211225326669295]","[0.42877941055264485, 0.6040851450312348]",0.330189659320367,0.692664120733039
target_centered_unscaled,0.5502680213805323,0.49915397631133673,66,591,6.0,1,59,7608,24141,0,0.5,0.050268021380532324,,0,,0,both_active,exact_non_ties,0.0,65.0,secondary exploratory outcome-conditioned exact-non-tie sensitivity: inclusion requires both PKIS2 target values to be at least 65% inhibition/displacement and their absolute experimental difference to be greater than 0 percentage points; intervals are unadjusted for multiplicity,0.5502680213805323,,5000,0.5508190156841171,0.5510846348460392,0.04387248222861108,"[0.46754027071501625, 0.6369294177083078]","[0.4809072416546796, 0.6218597588050465]",0.3848000097830606,0.71544937188876,0.5502680213805323,111,5000,0.5484958038487594,0.5494643945448164,0.04476374519269075,"[0.45832795896459594, 0.6361783202884502]","[0.4725468852465582, 0.6218408300719507]",0.3764618858615937,0.7080636105364678,0.5502680213805323,103,5000,0.5537309539211507,0.5528136064359133,0.0494815273311352,"[0.45846800412850297, 0.650813662908606]","[0.47404966728068776, 0.6368194823392076]",0.3941657059881726,0.7531472913051862
column_standardized,0.5391390125771048,0.5126903553299492,66,591,6.0,1,59,7608,24141,0,0.5,0.03913901257710484,,0,,0,both_active,exact_non_ties,0.0,65.0,secondary exploratory outcome-conditioned exact-non-tie sensitivity: inclusion requires both PKIS2 target values to be at least 65% inhibition/displacement and their absolute experimental difference to be greater than 0 percentage points; intervals are unadjusted for multiplicity,0.5391390125771048,,5000,0.5390567918920708,0.5393523402292708,0.04339952994284797,"[0.4527646252369342, 0.6233300913770398]","[0.46621741607837913, 0.6095350572501904]",0.38855332990926206,0.6933909525482737,0.5391390125771048,111,5000,0.5384971773223849,0.5393246298406631,0.042192230696719714,"[0.45584806725412713, 0.6194371099205479]","[0.4684093375127475, 0.60619319773276]",0.3658549783549784,0.7005994783076581,0.5391390125771048,103,5000,0.541904253521374,0.5417810004078493,0.047070579687967316,"[0.45274028253770104, 0.6365239061451977]","[0.4657231816286519, 0.6197966511117391]",0.374311370281765,0.7351139404752249
target_centered_residual_scaled,0.5552677639905331,0.5143824027072758,66,591,6.0,1,59,7608,24141,0,0.5,0.055267763990533125,,0,,0,both_active,exact_non_ties,0.0,65.0,secondary exploratory outcome-conditioned exact-non-tie sensitivity: inclusion requires both PKIS2 target values to be at least 65% inhibition/displacement and their absolute experimental difference to be greater than 0 percentage points; intervals are unadjusted for multiplicity,0.5552677639905331,,5000,0.5560821517457771,0.5571855945687902,0.043828987694273104,"[0.4686280689365882, 0.6417863711548774]","[0.48160729743033126, 0.628574727152571]",0.40561323366555924,0.7429576219720788,0.5552677639905331,111,5000,0.5541577908392311,0.5547264210302356,0.04395183131506173,"[0.4656311754915381, 0.6380130959978968]","[0.48052964712405183, 0.6246388762050142]",0.36389951036725937,0.6973389736910504,0.5552677639905331,103,5000,0.5553880644430598,0.5559550831244382,0.051071758898687036,"[0.455527207808193, 0.6557878511014805]","[0.47110834371484894, 0.6405265682817881]",0.3648016916498188,0.7220799769098215
two_way_residual,0.5617373439116663,0.5093062605752962,66,591,6.0,1,59,7608,24141,0,0.5,0.0617373439116663,,0,,0,both_active,exact_non_ties,0.0,65.0,secondary exploratory outcome-conditioned exact-non-tie sensitivity: inclusion requires both PKIS2 target values to be at least 65% inhibition/displacement and their absolute experimental difference to be greater than 0 percentage points; intervals are unadjusted for multiplicity,0.5617373439116663,,5000,0.5614584675948022,0.5615442277898364,0.04304202116421637,"[0.4777831998233294, 0.6432713226831647]","[0.491144161297138, 0.6322156064651212]",0.3745676380004738,0.7298741146297315,0.5617373439116663,111,5000,0.5605659621021261,0.5612551552291384,0.04237804416796553,"[0.4735595277102208, 0.6435517679130738]","[0.48785999242856876, 0.6296062033737125]",0.42232785630267594,0.7286912501935007,0.5617373439116663,103,5000,0.5633642643594093,0.5620733462052868,0.04952402066362437,"[0.4700481494686517, 0.663070219294149]","[0.48463047284256966, 0.6473853121656719]",0.34888932343982354,0.7410622139560001
docking_target_prior,0.4475560166309563,0.4500846023688663,66,591,6.0,1,59,7608,24141,0,0.5,-0.05244398336904371,,0,,0,both_active,exact_non_ties,0.0,65.0,secondary exploratory outcome-conditioned exact-non-tie sensitivity: inclusion requires both PKIS2 target values to be at least 65% inhibition/displacement and their absolute experimental difference to be greater than 0 percentage points; intervals are unadjusted for multiplicity,0.4475560166309563,,5000,0.4473839639476525,0.4469192924875922,0.041991608799719304,"[0.3636651888237582, 0.529325073643277]","[0.3776285086413932, 0.5154361609364431]",0.2953327874571648,0.6242460996613821,0.4475560166309563,111,5000,0.44607591676460406,0.4444355147474409,0.04780127898598406,"[0.35605184460521955, 0.540872215298927]","[0.36996511088919565, 0.5253426287073046]",0.2898069198482104,0.6196538827689378,0.4475560166309563,103,5000,0.4468963469660105,0.44641778345668603,0.04832868580895152,"[0.3553777622292832, 0.5432166103203863]","[0.367449838302763, 0.5274388322804664]",0.2865680293869411,0.610698209309086
