dataset,target,family,molecular_weight_raw_slope,molecular_weight_residual_slope,molecular_weight_residual_correlation,heavy_atoms_raw_slope,heavy_atoms_residual_slope,heavy_atoms_residual_correlation,rotatable_bonds_raw_slope,rotatable_bonds_residual_slope,rotatable_bonds_residual_correlation,imputed_cells,imputed_fraction,conditional_mw_slope_per_100_da,conditional_rotatable_bond_slope,residual_pc1_loading
Docking-44,1m2z,Nuclear receptor,-0.06430635176844662,0.12529614786660423,0.17976198747079428,-0.03169336556813477,0.026464979024129896,0.22353375906512818,0.050484228777391664,0.0268480954619593,0.10225886059960504,411,0.03248755039127342,-0.20829244371021538,0.09518891385644894,0.12259363084239104
Docking-44,1pbq,Ion channel,-0.37689659864235064,-0.1872940990072998,-0.5474306402726539,-0.09039812518566052,-0.03223978059339582,-0.5547643058078745,-0.011527808576902498,-0.03516394189233494,-0.27285372368699295,0,0.0,-0.5322552018471733,0.10270725802671812,-0.18938408198438594
Docking-44,1xoq,Enzyme,-0.3442895066560409,-0.1546870070209899,-0.4427576124798865,-0.08528981517839201,-0.02713147058612741,-0.45719024988000384,0.011118482576263139,-0.012517650739169363,-0.0951179221190548,1,7.904513477195479e-05,-0.5346961283425324,0.12587743208380733,-0.18748325263462798
Docking-44,2rh1,Adrenergic GPCR,-0.3228637196427476,-0.13326122000769633,-0.31888879443648,-0.08938654938035075,-0.031228204788086186,-0.43994047355875276,-0.007473756856793264,-0.031109890172225676,-0.1976338248783106,7,0.0005533159434036835,-0.46132829367043493,0.09153864954277563,-0.16500058581462673
Docking-44,2vt4,Adrenergic GPCR,-0.3997943666789243,-0.21019186704387305,-0.5279442152744998,-0.09722459806154157,-0.03906625346927716,-0.5776773195060109,-0.011505143746706274,-0.035141277062138494,-0.23432411851826235,15,0.0011856770215793219,-0.5662109407355157,0.11001766016793259,-0.22194093462978665
Docking-44,2ydo,Peptide GPCR,-0.16680346051612147,0.02279903911892955,0.05567652777136738,-0.058153122853006445,5.221739258062586e-06,7.507272957842684e-05,0.029181079990396486,0.005544946674963846,0.03594846057697313,2,0.00015809026954390957,-0.3123467640381467,0.0962183832792961,0.0062549092132985215
Docking-44,2z5x,Enzyme,-0.060385947147243456,0.12921655248780733,0.18432726285961346,-0.04216863717622612,0.01598970741603846,0.1342837209245831,0.017530763154601114,-0.006105370160831472,-0.023121220115711206,343,0.02711248122678049,-0.12867910019651296,0.04514846520885682,0.14574237189713138
Docking-44,3b66,Nuclear receptor,0.09812264693825676,0.2877251465733075,0.3169337950885734,-0.0016192862169499755,0.05653905837531474,0.3666491883200327,0.04613021707850169,0.022494083763069286,0.06577886313792855,634,0.050114615445419335,0.04196995323343867,0.03712243211682699,0.19259331618440073
Docking-44,3kk6,Enzyme,-0.27095243606044506,-0.08134993642539444,-0.21597095083287374,-0.07330066512306332,-0.015142320530798574,-0.2366693309054155,0.012662627314373507,-0.010973506001058854,-0.07734119036417345,10,0.0007904513477195479,-0.429563665606124,0.10485756271511981,-0.12731394880480457
Docking-44,3ln1,Enzyme,0.09388753247523442,0.2834900321102851,0.33693597957373433,-0.006203440814188546,0.051954903778075996,0.3635361191021278,0.08266272697883914,0.05902659366340691,0.18624500837695918,451,0.03564935578215161,-0.04612563946839554,0.09256242448958481,0.19126194855350145
Docking-44,3rze,Histamine GPCR,0.1848747820570796,0.3744772816921305,0.5187197368579243,0.004302622357149943,0.06246096694941461,0.5093630366014966,0.0651055656116562,0.041469432296223886,0.15249749556630682,3,0.00023713540431586437,0.12792426892070508,0.037649868927697276,0.18746915813043533
Docking-44,4djh,Opioid GPCR,-0.38919705439533686,-0.19959455476028626,-0.5578341984979336,-0.0931299740640897,-0.034971629471825,-0.5754183938791584,-0.02129155832989293,-0.04492769164532533,-0.3333480171542912,0,0.0,-0.5286000154548721,0.09215901530959311,-0.17841819143556775
Docking-44,4ey7,Enzyme,-0.2538226882585949,-0.0642201886235444,-0.15432522466413084,-0.07841095269147245,-0.0202526080992078,-0.28652183604857384,0.021702874354006654,-0.0019332589614256066,-0.012333396600549424,0,0.0,-0.42444758312150777,0.1127997725324744,-0.08118312248671442
Docking-44,4iar,Serotonin GPCR,-0.3739576860533099,-0.1843551864182593,-0.4321198430968532,-0.09194762053684861,-0.03378927594458387,-0.466271811333411,-0.0024246209910162753,-0.026060754306448594,-0.16216725134223423,30,0.0023713540431586438,-0.5482926164494039,0.11525246951181249,-0.21490461013302298
Docking-44,4mqs,Muscarinic GPCR,0.24685115145539963,0.4364536510904509,0.29058357089588766,0.04766691964599602,0.10582526423826068,0.41479519088547245,0.08451155827183547,0.06087542495640315,0.10759751854289024,3352,0.26495929175559246,0.17622829213192967,0.04668862930981342,0.0914310946243915
