dataset,estimand,surface,n_ligands,n_targets,algebraic_ceiling,participation_ratio,dimension_fraction_of_ceiling,entropy_rank,pc1_fraction,pcs_for_90pct,target_sd_cv
Docking-44,correlation,raw,12651,44,44,1.834045574797235,0.041682853972664434,3.8971714547036647,0.7329495272570136,8,
Docking-44,correlation,residual,12651,44,43,9.30291194271645,0.21634678936549886,19.990770268410262,0.2741107508446659,29,
Docking-44,covariance,raw,12651,44,44,1.9151488500594995,0.04352611022862499,4.061775164427455,0.715795195469041,8,0.13047995331664794
Docking-44,covariance,residual,12651,44,43,6.911393904958379,0.16073009081298556,14.547568646931854,0.3131653042387822,21,0.45762854826267463
DOCKSTRING-58,correlation,raw,260060,58,58,2.266322970109517,0.03907453396740546,6.205501023261391,0.6586977522401546,22,
DOCKSTRING-58,correlation,residual,260060,58,57,18.205875537641614,0.3194013252217827,34.563127288474334,0.17818131677247512,43,
DOCKSTRING-58,covariance,raw,260060,58,58,2.47421042334239,0.042658800402455,6.490942376774537,0.6244914787736414,20,0.1634801198806974
DOCKSTRING-58,covariance,residual,260060,58,57,8.234745960038808,0.1444692273691019,21.901936992741682,0.318836685097574,37,0.4285911132143455
