match_variant,identity_column,matched_ligands_after_identity_collapse,matched_dockstring_rows_before_identity_collapse,representations.absolute_vina.mean_per_ligand_pairwise_concordance,representations.absolute_vina.pair_weighted_concordance,representations.absolute_vina.evaluated_pairs,representations.absolute_vina.mean_within_ligand_spearman,representations.absolute_vina.top1_accuracy_allowing_experimental_ties,representations.target_centered_unscaled.mean_per_ligand_pairwise_concordance,representations.target_centered_unscaled.pair_weighted_concordance,representations.target_centered_unscaled.evaluated_pairs,representations.target_centered_unscaled.mean_within_ligand_spearman,representations.target_centered_unscaled.top1_accuracy_allowing_experimental_ties,representations.column_standardized.mean_per_ligand_pairwise_concordance,representations.column_standardized.pair_weighted_concordance,representations.column_standardized.evaluated_pairs,representations.column_standardized.mean_within_ligand_spearman,representations.column_standardized.top1_accuracy_allowing_experimental_ties,representations.target_centered_residual_scaled.mean_per_ligand_pairwise_concordance,representations.target_centered_residual_scaled.pair_weighted_concordance,representations.target_centered_residual_scaled.evaluated_pairs,representations.target_centered_residual_scaled.mean_within_ligand_spearman,representations.target_centered_residual_scaled.top1_accuracy_allowing_experimental_ties,representations.two_way_residual.mean_per_ligand_pairwise_concordance,representations.two_way_residual.pair_weighted_concordance,representations.two_way_residual.evaluated_pairs,representations.two_way_residual.mean_within_ligand_spearman,representations.two_way_residual.top1_accuracy_allowing_experimental_ties,representations.docking_target_prior.mean_per_ligand_pairwise_concordance,representations.docking_target_prior.pair_weighted_concordance,representations.docking_target_prior.evaluated_pairs,representations.docking_target_prior.mean_within_ligand_spearman,representations.docking_target_prior.top1_accuracy_allowing_experimental_ties,representations.paired_comparisons.two_way_residual_minus_absolute_vina,representations.paired_comparisons.two_way_residual_minus_column_standardized,representations.paired_comparisons.two_way_residual_minus_target_centered_residual_scaled,representations.paired_comparisons.target_centered_residual_scaled_minus_target_centered_unscaled,representations.paired_comparisons.target_centered_unscaled_minus_absolute_vina,representations.paired_comparisons.column_standardized_minus_absolute_vina,representations.paired_comparisons.absolute_vina_minus_docking_target_prior
standard_full_inchikey,standard_inchikey,59,61,0.5393789136767917,0.5159109645507007,6065,0.04372425418252428,0.03571428571428571,0.5263861251163744,0.5185490519373455,6065,0.0381981954198542,0.05357142857142857,0.5236072665066815,0.5170651277823578,6065,0.034121819659735174,0.03571428571428571,0.5055783523675234,0.49793899422918386,6065,0.004208898892792376,0.07142857142857142,0.5301429582811821,0.5208573784006595,6065,0.043259769408575066,0.07142857142857142,0.521980099424031,0.4964550700741962,6065,0.014089642530983937,0.0,-0.009235955395609605,0.006535691774500534,0.024564605913658732,-0.0208077727488511,-0.012992788560417242,-0.015771647170110138,0.017398814252760714
canonical_isomeric_graph,canonical_isomeric_smiles,57,57,0.547050842253515,0.5185370741482966,5988,0.05235853347660764,0.037037037037037035,0.5340856243774837,0.5217100868403474,5988,0.04837484315622423,0.05555555555555555,0.5319606611177847,0.5207080828323313,5988,0.04468878946063516,0.037037037037037035,0.5125109492895399,0.500501002004008,5988,0.012326256012423287,0.07407407407407407,0.5383027298902922,0.5245490981963928,5988,0.05387442723528852,0.07407407407407407,0.5187818315014643,0.49465597862391447,5988,0.010155730645185237,0.0,-0.008748112363222786,0.006342068772507458,0.02579178060075226,-0.021574675087943824,-0.012965217876031217,-0.015090181135730244,0.028269010752050752
canonical_nonisomeric_graph,canonical_nonisomeric_smiles,68,89,0.549850530868934,0.5250034921078363,7159,0.060705707208822283,0.046875,0.5356653632611454,0.5243749126973041,7159,0.05257793871106569,0.078125,0.5306685461880959,0.5214415421148205,7159,0.04437400300296197,0.0625,0.5119059671082162,0.5032825813661126,7159,0.012638629499180307,0.09375,0.5357079860478097,0.5252130185780137,7159,0.0537238333117185,0.09375,0.5255821794162764,0.501746053918145,7159,0.02139915183797081,0.0,-0.01414254482112441,0.005039439859713784,0.02380201893959329,-0.02375939615292909,-0.014185167607788608,-0.019181984680838194,0.024268351452657582
standard_inchi_connectivity,connectivity_block,70,98,0.5498544751084753,0.5289402173913044,7360,0.06502436418646816,0.045454545454545456,0.5375522985013393,0.5293478260869565,7360,0.05874041171275896,0.07575757575757576,0.5336731658296198,0.5270380434782609,7360,0.052418417699032785,0.06060606060606061,0.5154127825131332,0.5088315217391305,7360,0.020624519651504254,0.10606060606060606,0.5377939260393007,0.5304347826086957,7360,0.06007337268075268,0.09090909090909091,0.5256901026584753,0.5020380434782609,7360,0.021229223864869202,0.0,-0.012060549069174737,0.004120760209681008,0.022381143526167453,-0.02213951598820603,-0.012302176607136166,-0.016181309278855745,0.02416437245000006
