representation,mean_per_ligand_roc_auc,mean_per_ligand_average_precision,mean_per_ligand_active_prevalence,evaluated_ligands_with_both_classes,positive_negative_pairs,positive_class,negative_class,prediction_direction,identity_check_auc_vs_active_inactive_pairwise_max_abs_difference,active_inactive_pairwise_summary.mean_per_ligand_pairwise_concordance,active_inactive_pairwise_summary.pair_weighted_concordance,active_inactive_pairwise_summary.evaluated_ligands,active_inactive_pairwise_summary.evaluated_pairs,active_inactive_pairwise_summary.median_pairs_per_evaluated_ligand,active_inactive_pairwise_summary.minimum_pairs_per_evaluated_ligand,active_inactive_pairwise_summary.maximum_pairs_per_evaluated_ligand,active_inactive_pairwise_summary.excluded_by_experimental_margin,active_inactive_pairwise_summary.excluded_by_activity_stratum_after_margin,active_inactive_pairwise_summary.predicted_score_ties_half_credit,active_inactive_pairwise_summary.chance_concordance,active_inactive_pairwise_summary.difference_from_chance_0_5,active_inactive_pairwise_summary.mean_within_ligand_spearman,active_inactive_pairwise_summary.spearman_evaluated_ligands,active_inactive_pairwise_summary.top1_accuracy_allowing_experimental_ties,active_inactive_pairwise_summary.top1_evaluated_ligands,roc_auc_uncertainty.ligand_bootstrap.plugin_mean,roc_auc_uncertainty.ligand_bootstrap.n_clusters,roc_auc_uncertainty.ligand_bootstrap.n,roc_auc_uncertainty.ligand_bootstrap.mean,roc_auc_uncertainty.ligand_bootstrap.median,roc_auc_uncertainty.ligand_bootstrap.standard_deviation,roc_auc_uncertainty.ligand_bootstrap.interval_95,roc_auc_uncertainty.ligand_bootstrap.interval_90,roc_auc_uncertainty.ligand_bootstrap.minimum,roc_auc_uncertainty.ligand_bootstrap.maximum,roc_auc_uncertainty.murcko_cluster_bootstrap.plugin_mean,roc_auc_uncertainty.murcko_cluster_bootstrap.n_clusters,roc_auc_uncertainty.murcko_cluster_bootstrap.n,roc_auc_uncertainty.murcko_cluster_bootstrap.mean,roc_auc_uncertainty.murcko_cluster_bootstrap.median,roc_auc_uncertainty.murcko_cluster_bootstrap.standard_deviation,roc_auc_uncertainty.murcko_cluster_bootstrap.interval_95,roc_auc_uncertainty.murcko_cluster_bootstrap.interval_90,roc_auc_uncertainty.murcko_cluster_bootstrap.minimum,roc_auc_uncertainty.murcko_cluster_bootstrap.maximum,roc_auc_uncertainty.butina_cluster_bootstrap.plugin_mean,roc_auc_uncertainty.butina_cluster_bootstrap.n_clusters,roc_auc_uncertainty.butina_cluster_bootstrap.n,roc_auc_uncertainty.butina_cluster_bootstrap.mean,roc_auc_uncertainty.butina_cluster_bootstrap.median,roc_auc_uncertainty.butina_cluster_bootstrap.standard_deviation,roc_auc_uncertainty.butina_cluster_bootstrap.interval_95,roc_auc_uncertainty.butina_cluster_bootstrap.interval_90,roc_auc_uncertainty.butina_cluster_bootstrap.minimum,roc_auc_uncertainty.butina_cluster_bootstrap.maximum,average_precision_uncertainty.ligand_bootstrap.plugin_mean,average_precision_uncertainty.ligand_bootstrap.n_clusters,average_precision_uncertainty.ligand_bootstrap.n,average_precision_uncertainty.ligand_bootstrap.mean,average_precision_uncertainty.ligand_bootstrap.median,average_precision_uncertainty.ligand_bootstrap.standard_deviation,average_precision_uncertainty.ligand_bootstrap.interval_95,average_precision_uncertainty.ligand_bootstrap.interval_90,average_precision_uncertainty.ligand_bootstrap.minimum,average_precision_uncertainty.ligand_bootstrap.maximum,average_precision_uncertainty.murcko_cluster_bootstrap.plugin_mean,average_precision_uncertainty.murcko_cluster_bootstrap.n_clusters,average_precision_uncertainty.murcko_cluster_bootstrap.n,average_precision_uncertainty.murcko_cluster_bootstrap.mean,average_precision_uncertainty.murcko_cluster_bootstrap.median,average_precision_uncertainty.murcko_cluster_bootstrap.standard_deviation,average_precision_uncertainty.murcko_cluster_bootstrap.interval_95,average_precision_uncertainty.murcko_cluster_bootstrap.interval_90,average_precision_uncertainty.murcko_cluster_bootstrap.minimum,average_precision_uncertainty.murcko_cluster_bootstrap.maximum,average_precision_uncertainty.butina_cluster_bootstrap.plugin_mean,average_precision_uncertainty.butina_cluster_bootstrap.n_clusters,average_precision_uncertainty.butina_cluster_bootstrap.n,average_precision_uncertainty.butina_cluster_bootstrap.mean,average_precision_uncertainty.butina_cluster_bootstrap.median,average_precision_uncertainty.butina_cluster_bootstrap.standard_deviation,average_precision_uncertainty.butina_cluster_bootstrap.interval_95,average_precision_uncertainty.butina_cluster_bootstrap.interval_90,average_precision_uncertainty.butina_cluster_bootstrap.minimum,average_precision_uncertainty.butina_cluster_bootstrap.maximum
absolute_vina,0.5541369735600605,0.2737656943132155,0.1289198606271777,123,5426,PKIS2 percentage inhibition >= 65,PKIS2 percentage inhibition < 65,more-negative docking score predicts activity,1.1102230246251565e-16,0.5541369735600605,0.5266310357537781,123,5426,38.0,20,110,7608,19306,233,0.5,0.05413697356006053,,0,,0,0.5541369735600605,,5000,0.5540674415656566,0.5538770040066606,0.02248003164141324,"[0.5096693083219324, 0.5986246165236476]","[0.5171515209932955, 0.5916527869048679]",0.4801629472630329,0.6230529755693768,0.5541369735600605,111,5000,0.5534920075935049,0.5536089302897905,0.02613852271183347,"[0.5029029104940371, 0.6048841491811404]","[0.5103227203421039, 0.5962915715005701]",0.45360214234947394,0.6448411464262772,0.5541369735600605,103,5000,0.55311151698889,0.5532662608575427,0.027672411402052396,"[0.49970244309617495, 0.6074794930187419]","[0.5078141142870287, 0.5994723444210733]",0.45430437927661643,0.6551685561641332,0.2737656943132155,,5000,0.2735432645388747,0.2732624387832459,0.019444956121749513,"[0.2359989210945933, 0.3128400360093297]","[0.2423635104349608, 0.30611759714510656]",0.20704562739505947,0.36255125104692687,0.2737656943132155,111,5000,0.27354071303956395,0.2731183453658448,0.0196686905913041,"[0.23656704298187403, 0.31471753870326213]","[0.24303505873919345, 0.3072219273197047]",0.19544036594639033,0.3669714148023346,0.2737656943132155,103,5000,0.2740051118882978,0.27393409539386826,0.019722292724608806,"[0.2352912251560668, 0.3126024376250248]","[0.24130280276796098, 0.30650536282541885]",0.20766679437289132,0.34549652639242423
target_centered_unscaled,0.5741646487984177,0.2999123699419551,0.1289198606271777,123,5426,PKIS2 percentage inhibition >= 65,PKIS2 percentage inhibition < 65,more-negative docking score predicts activity,1.1102230246251565e-16,0.5741646487984177,0.5455215628455584,123,5426,38.0,20,110,7608,19306,0,0.5,0.07416464879841766,,0,,0,0.5741646487984177,,5000,0.5742308550970574,0.5741359235262602,0.021348527330365134,"[0.5318137077585008, 0.6156076124351061]","[0.5395303014866567, 0.6090599786630067]",0.4969602026301978,0.6505894000299766,0.5741646487984177,111,5000,0.5736695101016207,0.5743128025461457,0.02269739324083387,"[0.5275909741621516, 0.6169208241361465]","[0.5350145762866099, 0.6105549562252596]",0.49361503288406455,0.6457895019793791,0.5741646487984177,103,5000,0.5746940144001187,0.5749044031990094,0.02351483835973037,"[0.5290378117769734, 0.6196254989128718]","[0.5360187189186466, 0.6127443725725151]",0.4875893354395994,0.65480525121908,0.2999123699419551,,5000,0.2997339633251584,0.2990758669024193,0.021084273359116307,"[0.25959566980736903, 0.3421628656221799]","[0.2656864297690356, 0.3353463358575603]",0.22980509834165225,0.3852611444321417,0.2999123699419551,111,5000,0.30015598946203953,0.29997202048102245,0.022445907961175605,"[0.2564208996203423, 0.3448222558485319]","[0.2637735937785242, 0.3373119553993927]",0.22286428558454152,0.4115848253728499,0.2999123699419551,103,5000,0.30048599068144877,0.2997498844947346,0.024753206995740427,"[0.25458469379416726, 0.3511658903661255]","[0.2612269228574289, 0.34233855006835856]",0.21985758757288326,0.40604800102208627
column_standardized,0.5738057896217373,0.3006296987449631,0.1289198606271777,123,5426,PKIS2 percentage inhibition >= 65,PKIS2 percentage inhibition < 65,more-negative docking score predicts activity,1.1102230246251565e-16,0.5738057896217373,0.5396240324364172,123,5426,38.0,20,110,7608,19306,0,0.5,0.07380578962173734,,0,,0,0.5738057896217373,,5000,0.5739789813559452,0.5736995614692995,0.021813858531009877,"[0.5306792794895666, 0.6160740227082164]","[0.537954050330154, 0.6091487925710095]",0.4920734974083419,0.6559066138653606,0.5738057896217373,111,5000,0.5731645098838438,0.5731798690700582,0.023601170638864723,"[0.5271931196026087, 0.6200934606472411]","[0.535424731348274, 0.6120684888748784]",0.4922855484081409,0.6586038740889584,0.5738057896217373,103,5000,0.5737917324916609,0.5738897300338006,0.02496371174641673,"[0.5248006989451746, 0.6229622063260967]","[0.5324049540289555, 0.6145330744521992]",0.4874111905470941,0.671102338442661,0.3006296987449631,,5000,0.300709090735894,0.2998263970009544,0.02263289562012654,"[0.25763425389085814, 0.3477119945525905]","[0.26475315893292495, 0.3400644892922811]",0.2237646969270744,0.3884778751854587,0.3006296987449631,111,5000,0.30164030002215897,0.3009223672621433,0.023326282403884922,"[0.2579524038169533, 0.34937995502566577]","[0.264418123576675, 0.3419852773716195]",0.2295323581248672,0.3855439975320678,0.3006296987449631,103,5000,0.3021337765525803,0.30132255895405075,0.02505487828794019,"[0.25673624533869227, 0.35343743611582135]","[0.2624501144130569, 0.34523046916575517]",0.22548325651411383,0.41807348182229565
target_centered_residual_scaled,0.5486349399721873,0.28225139321778275,0.1289198606271777,123,5426,PKIS2 percentage inhibition >= 65,PKIS2 percentage inhibition < 65,more-negative docking score predicts activity,1.1102230246251565e-16,0.5486349399721873,0.501658680427571,123,5426,38.0,20,110,7608,19306,0,0.5,0.04863493997218726,,0,,0,0.5486349399721873,,5000,0.5485650964856835,0.5487656294860975,0.022116117255830462,"[0.5044496554685045, 0.5905751489438453]","[0.5120122195916512, 0.5845226909347052]",0.4687316468849696,0.6379320369852435,0.5486349399721873,111,5000,0.5484431557798354,0.5483583240603623,0.02529472277713289,"[0.4995441416605606, 0.5969234032277686]","[0.5073588407452124, 0.588895787704504]",0.44830894586528874,0.6413617850370448,0.5486349399721873,103,5000,0.5486812006058761,0.5485444615302939,0.026002337876913816,"[0.49793210495396667, 0.5996641511158732]","[0.505907863446048, 0.5913050549835613]",0.45604394792650355,0.6427711680478527,0.28225139321778275,,5000,0.2821298950037347,0.28172872289474116,0.021362933261880986,"[0.24149199216628808, 0.3261091677153409]","[0.24790859184465036, 0.3178266411819237]",0.21177196623277966,0.3566322532122258,0.28225139321778275,111,5000,0.28263724290473957,0.28213186567104853,0.021857888746301884,"[0.2416871807136014, 0.32767188693589305]","[0.24804408456683225, 0.3193814603113172]",0.2106419692654903,0.3844590107613924,0.28225139321778275,103,5000,0.2824813294359583,0.28142264320198884,0.023637941109894908,"[0.2397218393185603, 0.33078570533274904]","[0.24626941631917015, 0.32259431034947217]",0.20556966837380056,0.392055503677664
two_way_residual,0.5706542211996576,0.2883662024641521,0.1289198606271777,123,5426,PKIS2 percentage inhibition >= 65,PKIS2 percentage inhibition < 65,more-negative docking score predicts activity,1.1102230246251565e-16,0.5706542211996576,0.5405455215628455,123,5426,38.0,20,110,7608,19306,0,0.5,0.07065422119965759,,0,,0,0.5706542211996576,,5000,0.5707540310636782,0.5711577660765126,0.02164489998669673,"[0.5285849934405726, 0.6129944878098265]","[0.534900230023569, 0.6062161038546243]",0.4916306630621111,0.6491786168017336,0.5706542211996576,111,5000,0.5700776464585808,0.5706179776271181,0.02290517633911609,"[0.5247930730817723, 0.6132654445223759]","[0.5310554333576861, 0.6064954500187392]",0.47534695133496974,0.6502042805061383,0.5706542211996576,103,5000,0.5702998794100573,0.570544481306908,0.024382653908165318,"[0.5226325821556469, 0.6177031403806006]","[0.5301580199877836, 0.6108214174756726]",0.48788539195629604,0.6578703804529873,0.2883662024641521,,5000,0.2880517769373728,0.28759449329906484,0.020432058601661304,"[0.2488568553198822, 0.3297815549012313]","[0.2551796523821011, 0.3224777933250363]",0.2180183521311191,0.3779866854652632,0.2883662024641521,111,5000,0.28892637630479906,0.2883096661214565,0.02097696468241874,"[0.2502740123257815, 0.33156327435475896]","[0.2551776853406545, 0.3247259585195415]",0.22589218908130407,0.37554854637798846,0.2883662024641521,103,5000,0.28897468440346263,0.2884400069973143,0.022437874941575855,"[0.2462481129896603, 0.3341001998755564]","[0.2522829416884999, 0.3265544882929329]",0.18990284503197896,0.3824730404950007
docking_target_prior,0.4519086844065359,0.21381893326983964,0.1289198606271777,123,5426,PKIS2 percentage inhibition >= 65,PKIS2 percentage inhibition < 65,more-negative docking score predicts activity,1.1102230246251565e-16,0.4519086844065359,0.46314043494286766,123,5426,38.0,20,110,7608,19306,0,0.5,-0.04809131559346408,,0,,0,0.4519086844065359,,5000,0.45251886938087266,0.4525291056620194,0.025656023622277504,"[0.40231934967283384, 0.5036428329044036]","[0.4107321600948178, 0.4951715257136793]",0.3511990689193361,0.5466086438664944,0.4519086844065359,111,5000,0.4519159667491147,0.4520329873574537,0.03644345107588946,"[0.3800152582125741, 0.5208957746087755]","[0.39063529356382876, 0.5113717536430678]",0.318566788413105,0.5699083018189197,0.4519086844065359,103,5000,0.45099955175094053,0.4504064163768358,0.03868766042973379,"[0.375824547028048, 0.5272727118864485]","[0.3888868407286515, 0.5140801899524011]",0.31185299839387637,0.5833666769495601,0.21381893326983964,,5000,0.21402282986119459,0.21373675849432228,0.012528390273055409,"[0.1900911597016488, 0.2387857199331254]","[0.1935335910581751, 0.23471506701729813]",0.17139187199564293,0.2670330622747284,0.21381893326983964,111,5000,0.21353312877411412,0.21365558528168035,0.0146361342800747,"[0.184895027816633, 0.24245241124161643]","[0.18989321600080156, 0.23725282579601806]",0.15336111966012456,0.26066419085385006,0.21381893326983964,103,5000,0.21412097375129105,0.21405740142698243,0.01445050992248597,"[0.1853001756165518, 0.2420124085981661]","[0.19052156452780247, 0.23792050312585622]",0.1587189224522008,0.2689368980932242
