contrast,binary_metric,plugin_mean_difference,uncertainty.ligand_bootstrap.plugin_mean,uncertainty.ligand_bootstrap.n_clusters,uncertainty.ligand_bootstrap.n,uncertainty.ligand_bootstrap.mean,uncertainty.ligand_bootstrap.median,uncertainty.ligand_bootstrap.standard_deviation,uncertainty.ligand_bootstrap.interval_95,uncertainty.ligand_bootstrap.interval_90,uncertainty.ligand_bootstrap.minimum,uncertainty.ligand_bootstrap.maximum,uncertainty.murcko_cluster_bootstrap.plugin_mean,uncertainty.murcko_cluster_bootstrap.n_clusters,uncertainty.murcko_cluster_bootstrap.n,uncertainty.murcko_cluster_bootstrap.mean,uncertainty.murcko_cluster_bootstrap.median,uncertainty.murcko_cluster_bootstrap.standard_deviation,uncertainty.murcko_cluster_bootstrap.interval_95,uncertainty.murcko_cluster_bootstrap.interval_90,uncertainty.murcko_cluster_bootstrap.minimum,uncertainty.murcko_cluster_bootstrap.maximum,uncertainty.butina_cluster_bootstrap.plugin_mean,uncertainty.butina_cluster_bootstrap.n_clusters,uncertainty.butina_cluster_bootstrap.n,uncertainty.butina_cluster_bootstrap.mean,uncertainty.butina_cluster_bootstrap.median,uncertainty.butina_cluster_bootstrap.standard_deviation,uncertainty.butina_cluster_bootstrap.interval_95,uncertainty.butina_cluster_bootstrap.interval_90,uncertainty.butina_cluster_bootstrap.minimum,uncertainty.butina_cluster_bootstrap.maximum
two_way_residual_minus_absolute_vina,roc_auc,0.016517247639597093,0.016517247639597093,,5000,0.016647345164066758,0.016848177096595224,0.015927967316411756,"[-0.015042123030656045, 0.04805093741635566]","[-0.009599252444563557, 0.04287155542896295]",-0.03969068429209843,0.07144622177938034,0.016517247639597093,111,5000,0.01679195124997869,0.01704075948472602,0.021386000778679262,"[-0.024467899043445103, 0.05889577375984632]","[-0.018950914709383867, 0.0516567883695828]",-0.05948598284229599,0.09032333565348728,0.016517247639597093,103,5000,0.017432832028544586,0.017983188277992678,0.024578090239139445,"[-0.03275256400080279, 0.06375835009551477]","[-0.024326751184582437, 0.05711188914439428]",-0.0751225934215377,0.08917598126157658
two_way_residual_minus_absolute_vina,average_precision,0.01460050815093656,0.01460050815093656,,5000,0.014386868318333643,0.013806075930915108,0.015385516830885187,"[-0.014547478386874193, 0.045714871850165824]","[-0.009995647695052757, 0.040083522174995334]",-0.03468115957457558,0.07701810328048661,0.01460050815093656,111,5000,0.01500779150517739,0.014497794234162748,0.01817424955887339,"[-0.01836968973776649, 0.05211823113361986]","[-0.014036730353855564, 0.04579201396288958]",-0.03603299638191645,0.09108928833197379,0.01460050815093656,103,5000,0.015500455141666378,0.015188164783854033,0.018763389270170506,"[-0.02019735952182909, 0.05391959007502735]","[-0.014667407615495549, 0.04723136581267581]",-0.04383389868005774,0.08852253598308775
two_way_residual_minus_column_standardized,roc_auc,-0.003151568422079706,-0.003151568422079706,,5000,-0.003107745118425315,-0.0030124198412388365,0.004985059773102467,"[-0.013358055901820355, 0.0062670609903423095]","[-0.01130021378918098, 0.004957074749018838]",-0.02385300618173622,0.011693380240867895,-0.003151568422079706,111,5000,-0.003280734175019723,-0.0030275637731908343,0.00532655258321127,"[-0.014194109937688068, 0.006720146679102794]","[-0.012412520424976306, 0.005132299067595335]",-0.030766406002799892,0.01205086245732535,-0.003151568422079706,103,5000,-0.0031390664417332874,-0.0030280833441435192,0.00497948395865198,"[-0.013674279450648679, 0.006068119178377489]","[-0.011776227963253913, 0.004684508746746933]",-0.024206826668016393,0.01370134373751908
two_way_residual_minus_column_standardized,average_precision,-0.012263496280811059,-0.012263496280811059,,5000,-0.01234392223559976,-0.01183571120934823,0.008188102641427412,"[-0.029776271005915712, 0.0021601431961861565]","[-0.02628898799710227, 0.00018427673895137083]",-0.048468289388701284,0.012062440845089631,-0.012263496280811059,111,5000,-0.01225738776201263,-0.011582866563874618,0.008578927726664192,"[-0.030807337176377656, 0.0027689273659812137]","[-0.027534705525449687, 0.0009458799425155946]",-0.04794738330077934,0.013117546911384342,-0.012263496280811059,103,5000,-0.012246309705482438,-0.011584171916200934,0.008516248726468778,"[-0.03028453166471625, 0.0025929387976729697]","[-0.02686206463170521, 0.00045810808010439126]",-0.055260131473188354,0.013586131357063743
two_way_residual_minus_target_centered_residual_scaled,roc_auc,0.022019281227470284,0.022019281227470284,,5000,0.02196954813071228,0.021825272110689988,0.006720914932895417,"[0.00893804414019115, 0.03505156251943322]","[0.010928677808776462, 0.03329716496477035]",0.0002759136234940416,0.046562971561206146,0.022019281227470284,111,5000,0.0221036608427494,0.021824517006086157,0.007960474596234867,"[0.007109250907337659, 0.03814224230428683]","[0.009455005760020415, 0.03563275577571261]",-0.0020382610221679805,0.05224081986429607,0.022019281227470284,103,5000,0.021799805781261675,0.02148930917104093,0.008867954987540052,"[0.005635134210498636, 0.04002960070089093]","[0.007915327695530083, 0.03698678716179645]",-0.005006891924418466,0.05630088747090569
two_way_residual_minus_target_centered_residual_scaled,average_precision,0.006114809246369312,0.006114809246369312,,5000,0.006057261002959329,0.006442434559600424,0.0078685192157927,"[-0.009758231614996886, 0.02058881946924142]","[-0.007136612462513317, 0.018649984509318245]",-0.027047232061428197,0.03260759299193047,0.006114809246369312,111,5000,0.005933628865878384,0.006163473343746513,0.008028412262390042,"[-0.01078350996539904, 0.021169517391555353]","[-0.0077475417205443535, 0.01862760344570796]",-0.030037994083489252,0.03075164592902929,0.006114809246369312,103,5000,0.005768772731854577,0.006093970890022816,0.008411483190580089,"[-0.011314479528535128, 0.021389571849312745]","[-0.008358598158069951, 0.01910772491690252]",-0.028234988615330255,0.03161077340671619
target_centered_residual_scaled_minus_target_centered_unscaled,roc_auc,-0.025529708826230263,-0.025529708826230263,,5000,-0.02553774173850037,-0.025458508922909885,0.007299489142768113,"[-0.03998513740795692, -0.011585067355114661]","[-0.03781746538881395, -0.013726993049124883]",-0.052304770067745206,-0.002576515075578792,-0.025529708826230263,111,5000,-0.025394010588863796,-0.025160662265533908,0.00869452508109365,"[-0.04321882730424051, -0.009024189545049865]","[-0.04023182382117426, -0.011589027072455906]",-0.05973134916449084,0.004129280553063355,-0.025529708826230263,103,5000,-0.025308085107248742,-0.025077455029101362,0.009712428055596621,"[-0.045222426148465555, -0.007778343998092084]","[-0.04209705878006778, -0.010049543120655313]",-0.06346772402168246,0.00838455403032695
target_centered_residual_scaled_minus_target_centered_unscaled,average_precision,-0.01766097672417228,-0.01766097672417228,,5000,-0.017519331120009116,-0.01775247949804299,0.010829968582554313,"[-0.03823141985124589, 0.004063128137905493]","[-0.035095017037968246, 0.0008043564688595139]",-0.06012091417337106,0.027003692707060333,-0.01766097672417228,111,5000,-0.017886829157317503,-0.0181192736549561,0.011450623452521704,"[-0.039466821566976555, 0.004874279493396471]","[-0.03604915811353064, 0.001278486063754245]",-0.06019407280311554,0.02731581726075928,-0.01766097672417228,103,5000,-0.01748863569498202,-0.017372156109729794,0.012847214322998637,"[-0.04189408218687887, 0.008498579310640717]","[-0.03810195674215396, 0.0038761781945281016]",-0.06522202145637027,0.033326340705624194
target_centered_unscaled_minus_absolute_vina,roc_auc,0.020027675238357072,0.020027675238357072,,5000,0.02025944716160744,0.02038250047473729,0.01608615261658333,"[-0.011594286697346546, 0.05179820856239289]","[-0.006467814819292981, 0.046768778306646074]",-0.03980416795702144,0.07314322611088012,0.020027675238357072,111,5000,0.020142345002568573,0.01957619109410236,0.021748964040444005,"[-0.021313136371849197, 0.062482403274805316]","[-0.015048864526613281, 0.055917649006375726]",-0.06164748936109484,0.09834617584654869,0.020027675238357072,103,5000,0.021207747729611794,0.021695488837320406,0.025150751752769596,"[-0.02932023157740047, 0.06883247546097292]","[-0.021133279909221526, 0.06111674132757337]",-0.062287990226959744,0.10763195042053954
target_centered_unscaled_minus_absolute_vina,average_precision,0.026146675628739523,0.026146675628739523,,5000,0.02624689698304877,0.025852825252389078,0.014889321233837884,"[-0.002073969676860215, 0.05707878399776266]","[0.0024969354218043003, 0.051489324510700804]",-0.019722137592047422,0.08066135885556143,0.026146675628739523,111,5000,0.02667486655146616,0.026443111370364977,0.01770996787068917,"[-0.007466979896598408, 0.061539578706171355]","[-0.0020777900855927533, 0.05627716290425046]",-0.03802911920563587,0.0941876520489471,0.026146675628739523,103,5000,0.02742480049846026,0.02655988329749967,0.01820558722372782,"[-0.006601622739493602, 0.06508283169198138]","[-0.0019521895310306975, 0.058251641520853666]",-0.0349078928065339,0.09344346506556564
