duplicate_aggregation,representations.absolute_vina.mean_per_ligand_pairwise_concordance,representations.absolute_vina.pair_weighted_concordance,representations.absolute_vina.evaluated_pairs,representations.absolute_vina.mean_within_ligand_spearman,representations.absolute_vina.top1_accuracy_allowing_experimental_ties,representations.target_centered_unscaled.mean_per_ligand_pairwise_concordance,representations.target_centered_unscaled.pair_weighted_concordance,representations.target_centered_unscaled.evaluated_pairs,representations.target_centered_unscaled.mean_within_ligand_spearman,representations.target_centered_unscaled.top1_accuracy_allowing_experimental_ties,representations.column_standardized.mean_per_ligand_pairwise_concordance,representations.column_standardized.pair_weighted_concordance,representations.column_standardized.evaluated_pairs,representations.column_standardized.mean_within_ligand_spearman,representations.column_standardized.top1_accuracy_allowing_experimental_ties,representations.target_centered_residual_scaled.mean_per_ligand_pairwise_concordance,representations.target_centered_residual_scaled.pair_weighted_concordance,representations.target_centered_residual_scaled.evaluated_pairs,representations.target_centered_residual_scaled.mean_within_ligand_spearman,representations.target_centered_residual_scaled.top1_accuracy_allowing_experimental_ties,representations.two_way_residual.mean_per_ligand_pairwise_concordance,representations.two_way_residual.pair_weighted_concordance,representations.two_way_residual.evaluated_pairs,representations.two_way_residual.mean_within_ligand_spearman,representations.two_way_residual.top1_accuracy_allowing_experimental_ties,representations.docking_target_prior.mean_per_ligand_pairwise_concordance,representations.docking_target_prior.pair_weighted_concordance,representations.docking_target_prior.evaluated_pairs,representations.docking_target_prior.mean_within_ligand_spearman,representations.docking_target_prior.top1_accuracy_allowing_experimental_ties,representations.paired_comparisons.two_way_residual_minus_absolute_vina,representations.paired_comparisons.two_way_residual_minus_column_standardized,representations.paired_comparisons.two_way_residual_minus_target_centered_residual_scaled,representations.paired_comparisons.target_centered_residual_scaled_minus_target_centered_unscaled,representations.paired_comparisons.target_centered_unscaled_minus_absolute_vina,representations.paired_comparisons.column_standardized_minus_absolute_vina,representations.paired_comparisons.absolute_vina_minus_docking_target_prior
median,0.5393789136767917,0.5159109645507007,6065,0.04372425418252428,0.03571428571428571,0.5263861251163744,0.5185490519373455,6065,0.0381981954198542,0.05357142857142857,0.5236072665066815,0.5170651277823578,6065,0.034121819659735174,0.03571428571428571,0.5055783523675234,0.49793899422918386,6065,0.004208898892792376,0.07142857142857142,0.5301429582811821,0.5208573784006595,6065,0.043259769408575066,0.07142857142857142,0.521980099424031,0.4964550700741962,6065,0.014089642530983937,0.0,-0.009235955395609605,0.006535691774500534,0.024564605913658732,-0.0208077727488511,-0.012992788560417242,-0.015771647170110138,0.017398814252760714
mean,0.5393789136767917,0.5159109645507007,6065,0.04372425418252428,0.03571428571428571,0.5263861251163744,0.5185490519373455,6065,0.0381981954198542,0.05357142857142857,0.5236072665066815,0.5170651277823578,6065,0.034121819659735174,0.03571428571428571,0.5055783523675234,0.49793899422918386,6065,0.004208898892792376,0.07142857142857142,0.5301429582811821,0.5208573784006595,6065,0.043259769408575066,0.07142857142857142,0.521980099424031,0.4964550700741962,6065,0.014089642530983937,0.0,-0.009235955395609605,0.006535691774500534,0.024564605913658732,-0.0208077727488511,-0.012992788560417242,-0.015771647170110138,0.017398814252760714
first,0.5392240829583772,0.5156636438582028,6065,0.04399858037902229,0.03571428571428571,0.5256635817637733,0.5173948887056884,6065,0.03707477228431616,0.05357142857142857,0.5227815026751375,0.5157460840890354,6065,0.032913837793565236,0.03571428571428571,0.5047525885359792,0.4966199505358615,6065,0.0026143628294480617,0.07142857142857142,0.5292139739706948,0.5193734542456719,6065,0.04143571679065846,0.07142857142857142,0.521980099424031,0.4964550700741962,6065,0.014089642530983937,0.0,-0.010010108987682273,0.006432471295557512,0.024461385434715713,-0.020910993227794123,-0.013560501194603863,-0.016442580283239784,0.01724398353434618
